#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
136030at50557_103372_0:002306|STRG.4987.1:0-635|+   -            212 136030at50557        -            176   1.8e-67  225.5  14.0   1   1   4.2e-70   5.1e-67  224.0  14.0     1   175     1   209     1   211 0.88 -
98739at50557_103372_0:00015a|STRG.15389.1:109-843|+ -            245 136030at50557        -            176   0.00024   19.9  10.2   1   2   4.2e-07   0.00051   18.8   2.9    75   149    32   105    27   116 0.87 -
98739at50557_103372_0:00015a|STRG.15389.1:109-843|+ -            245 136030at50557        -            176   0.00024   19.9  10.2   2   2    0.0064       7.7    5.2   0.6    29    52   216   239   196   241 0.81 -
98739at50557_103372_0:00015a|STRG.15389.2:0-785|+   -            262 136030at50557        -            176   0.00029   19.6  10.1   1   2   4.8e-07   0.00059   18.6   2.9    75   149    49   122    44   133 0.87 -
98739at50557_103372_0:00015a|STRG.15389.2:0-785|+   -            262 136030at50557        -            176   0.00029   19.6  10.1   2   2    0.0067       8.1    5.1   0.6    29    52   233   256   213   259 0.81 -
127373at50557_307658_0:002c10|STRG.2176.1:147-842|+ -            232 136030at50557        -            176   0.00045   19.0   6.5   1   1   6.9e-06    0.0083   14.9   6.5    92   175   147   229    50   231 0.81 -
127373at50557_34720_0:00046f|STRG.2176.2:134-832|+  -            233 136030at50557        -            176   0.00046   18.9   6.6   1   1     7e-06    0.0084   14.8   6.6    92   175   148   230    51   232 0.81 -
141493at50557_74873_0:00258f|STRG.2675.1:9-617|+    -            203 136030at50557        -            176     0.028   13.1   4.5   1   2     0.058        70    2.1   0.3    99   138    91   130    59   139 0.67 -
141493at50557_74873_0:00258f|STRG.2675.1:9-617|+    -            203 136030at50557        -            176     0.028   13.1   4.5   2   2   2.3e-05     0.028   13.2   1.3    73   167   109   201   100   203 0.74 -
141493at50557_74873_0:00258f|STRG.2675.2:9-747|+    -            203 136030at50557        -            176     0.038   12.7   4.9   1   2     0.061        74    2.0   0.8    98   138    90   130    31   139 0.69 -
141493at50557_74873_0:00258f|STRG.2675.2:9-747|+    -            203 136030at50557        -            176     0.038   12.7   4.9   2   2   2.5e-05      0.03   13.0   1.5    73   167   109   201   100   203 0.74 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/136030at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/136030at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/136030at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:58 2024
# [ok]
