#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
34006at50557_34720_0:00248d|STRG.17583.1:0-1976|+      -            659 34006at50557         -            414  5.2e-229  758.9   4.6   1   1  5.9e-230  2.3e-228  756.8   4.6     1   414   178   643   178   643 0.93 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 34006at50557         -            414     9e-22   76.3  12.4   1   4      0.21       7.9    4.1   0.1   155   214     8    76     2    79 0.44 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 34006at50557         -            414     9e-22   76.3  12.4   2   4   6.9e-11   2.7e-09   35.3   0.6   111   218    47   164    40   172 0.74 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 34006at50557         -            414     9e-22   76.3  12.4   3   4   9.1e-15   3.5e-13   48.0   1.1   109   252    87   242    82   253 0.80 -
40115at50557_110193_0:00292f|STRG.15028.1:541-1401|+   -            287 34006at50557         -            414     9e-22   76.3  12.4   4   4   0.00017    0.0066   14.2   0.2   106   180   211   287   207   287 0.82 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 34006at50557         -            414     9e-22   76.3  12.4   1   4      0.21       7.9    4.1   0.1   155   214     8    76     2    79 0.44 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 34006at50557         -            414     9e-22   76.3  12.4   2   4   6.9e-11   2.7e-09   35.3   0.6   111   218    47   164    40   172 0.74 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 34006at50557         -            414     9e-22   76.3  12.4   3   4   9.1e-15   3.5e-13   48.0   1.1   109   252    87   242    82   253 0.80 -
40115at50557_110193_0:00292f|STRG.15028.2:384-1244|+   -            287 34006at50557         -            414     9e-22   76.3  12.4   4   4   0.00017    0.0066   14.2   0.2   106   180   211   287   207   287 0.82 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 34006at50557         -            414     9e-19   66.4   1.8   1   3   9.7e-11   3.7e-09   34.8   0.1   119   245    28   164    14   165 0.76 -
40115at50557_156304_0:001c45|STRG.9047.1:153-1079|+    -            309 34006at50557         -            414     9e-19   66.4   1.8   2   3   9.4e-08   3.6e-06   24.9   0.1   128   217   162   260   161   265 0.84 -
