#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
25127at50557_103372_0:001365|STRG.881.1:124-2979|+  -            952 25127at50557         -            775         0 1133.7  13.0   1   1         0         0 1130.6  13.0     1   749     5   904     5   952 0.87 -
25127at50557_7536_0:0015c2|STRG.881.2:124-1185|+    -            354 25127at50557         -            775  4.9e-125  417.5  12.4   1   1  1.7e-127  2.5e-124  415.2  12.4     1   286     5   354     5   354 0.88 -
25127at50557_76194_0:000860|STRG.881.3:18-781|+     -            245 25127at50557         -            775   6.8e-66  221.9   7.2   1   1     3e-68   4.2e-65  219.3   7.2   103   289     1   245     1   245 0.82 -
25127at50557_69820_0:000b3c|STRG.10602.1:249-2657|+ -            803 25127at50557         -            775   6.3e-22   76.5   1.5   1   3   1.9e-15   2.7e-12   44.7   0.9    21   121    22   120     8   190 0.75 -
25127at50557_69820_0:000b3c|STRG.10602.1:249-2657|+ -            803 25127at50557         -            775   6.3e-22   76.5   1.5   2   3     2e-10   2.9e-07   28.1   0.0   250   450   310   529   254   566 0.75 -
25127at50557_69820_0:000b3c|STRG.10602.1:249-2657|+ -            803 25127at50557         -            775   6.3e-22   76.5   1.5   3   3     0.058        82    0.1   0.1   443   522   675   752   656   786 0.72 -
6568at50557_28588_0:002ef2|STRG.3467.1:280-2433|+   -            718 25127at50557         -            775    0.0023   15.2   2.9   1   3       0.1   1.5e+02   -0.7   0.0   420   468    53   102    47   119 0.81 -
6568at50557_28588_0:002ef2|STRG.3467.1:280-2433|+   -            718 25127at50557         -            775    0.0023   15.2   2.9   2   3     2e-06    0.0028   14.9   0.4   229   329   156   251   112   269 0.84 -
6568at50557_28588_0:002ef2|STRG.3467.1:280-2433|+   -            718 25127at50557         -            775    0.0023   15.2   2.9   3   3      0.67   9.5e+02   -3.4   0.0   411   464   630   682   620   687 0.68 -
6568at50557_28588_0:002ef2|STRG.3467.2:126-2279|+   -            718 25127at50557         -            775    0.0023   15.2   2.9   1   3       0.1   1.5e+02   -0.7   0.0   420   468    53   102    47   119 0.81 -
6568at50557_28588_0:002ef2|STRG.3467.2:126-2279|+   -            718 25127at50557         -            775    0.0023   15.2   2.9   2   3     2e-06    0.0028   14.9   0.4   229   329   156   251   112   269 0.84 -
6568at50557_28588_0:002ef2|STRG.3467.2:126-2279|+   -            718 25127at50557         -            775    0.0023   15.2   2.9   3   3      0.67   9.5e+02   -3.4   0.0   411   464   630   682   620   687 0.68 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/25127at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/25127at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/25127at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:53:59 2024
# [ok]
