#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83902at50557_13686_0:0017a1|STRG.14905.1:0-851|+       -            284 83902at50557         -            211  3.2e-106  352.4  11.3   1   1  1.9e-107  1.4e-105  350.3  11.3     1   211    15   256    15   256 0.93 -
54603at50557_103372_0:00290d|STRG.14974.1:0-1844|+     -            615 83902at50557         -            211     2e-47  160.2  27.9   1   6   7.2e-07   5.2e-05   21.7   0.0   144   184   139   179   123   183 0.87 -
54603at50557_103372_0:00290d|STRG.14974.1:0-1844|+     -            615 83902at50557         -            211     2e-47  160.2  27.9   2   6   3.9e-06   0.00028   19.3   0.6   138   181   179   222   178   225 0.92 -
54603at50557_103372_0:00290d|STRG.14974.1:0-1844|+     -            615 83902at50557         -            211     2e-47  160.2  27.9   3   6   4.3e-15   3.1e-13   48.6   4.5    82   183   190   293   189   297 0.93 -
54603at50557_103372_0:00290d|STRG.14974.1:0-1844|+     -            615 83902at50557         -            211     2e-47  160.2  27.9   4   6   6.8e-06   0.00049   18.5   0.1   141   188   297   344   293   363 0.72 -
54603at50557_103372_0:00290d|STRG.14974.1:0-1844|+     -            615 83902at50557         -            211     2e-47  160.2  27.9   5   6   1.8e-18   1.3e-16   59.6   7.2    32   184   364   527   358   530 0.87 -
54603at50557_103372_0:00290d|STRG.14974.1:0-1844|+     -            615 83902at50557         -            211     2e-47  160.2  27.9   6   6   2.6e-06   0.00019   19.9   0.1   137   201   526   590   525   598 0.85 -
54603at50557_217634_0:0030bb|STRG.6456.1:514-1614|+    -            367 83902at50557         -            211   7.9e-44  148.5  21.9   1   5   4.2e-07   3.1e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.6456.1:514-1614|+    -            367 83902at50557         -            211   7.9e-44  148.5  21.9   2   5     7e-23   5.1e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.6456.1:514-1614|+    -            367 83902at50557         -            211   7.9e-44  148.5  21.9   3   5     8e-06   0.00058   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.6456.1:514-1614|+    -            367 83902at50557         -            211   7.9e-44  148.5  21.9   4   5   1.2e-08   8.5e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
54603at50557_217634_0:0030bb|STRG.6456.1:514-1614|+    -            367 83902at50557         -            211   7.9e-44  148.5  21.9   5   5   2.6e-07   1.9e-05   23.1   0.0   137   179   322   364   321   367 0.95 -
54603at50557_217634_0:0030bb|STRG.6456.2:514-1614|+    -            367 83902at50557         -            211   7.9e-44  148.5  21.9   1   5   4.2e-07   3.1e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.6456.2:514-1614|+    -            367 83902at50557         -            211   7.9e-44  148.5  21.9   2   5     7e-23   5.1e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.6456.2:514-1614|+    -            367 83902at50557         -            211   7.9e-44  148.5  21.9   3   5     8e-06   0.00058   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.6456.2:514-1614|+    -            367 83902at50557         -            211   7.9e-44  148.5  21.9   4   5   1.2e-08   8.5e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
54603at50557_217634_0:0030bb|STRG.6456.2:514-1614|+    -            367 83902at50557         -            211   7.9e-44  148.5  21.9   5   5   2.6e-07   1.9e-05   23.1   0.0   137   179   322   364   321   367 0.95 -
54603at50557_217634_0:0030bb|STRG.6456.4:36-1136|+     -            367 83902at50557         -            211   7.9e-44  148.5  21.9   1   5   4.2e-07   3.1e-05   22.4   0.2   102   145    32    74    23    77 0.79 -
54603at50557_217634_0:0030bb|STRG.6456.4:36-1136|+     -            367 83902at50557         -            211   7.9e-44  148.5  21.9   2   5     7e-23   5.1e-21   74.0   5.3    31   185    69   232    68   235 0.89 -
54603at50557_217634_0:0030bb|STRG.6456.4:36-1136|+     -            367 83902at50557         -            211   7.9e-44  148.5  21.9   3   5     8e-06   0.00058   18.3   0.1   140   183   233   276   230   278 0.89 -
54603at50557_217634_0:0030bb|STRG.6456.4:36-1136|+     -            367 83902at50557         -            211   7.9e-44  148.5  21.9   4   5   1.2e-08   8.5e-07   27.5   0.8   139   185   278   324   275   325 0.96 -
54603at50557_217634_0:0030bb|STRG.6456.4:36-1136|+     -            367 83902at50557         -            211   7.9e-44  148.5  21.9   5   5   2.6e-07   1.9e-05   23.1   0.0   137   179   322   364   321   367 0.95 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   1   9     5e-07   3.7e-05   22.2   1.2    34   174    25   181    15   185 0.80 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   2   9    0.0062      0.45    8.8   0.0    37    72   173   208   166   217 0.90 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   3   9   5.8e-09   4.2e-07   28.5   4.2    38   178   197   352   195   361 0.81 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   4   9   1.2e-05   0.00084   17.7   4.4    91   160   435   508   381   530 0.72 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   5   9   2.4e-05    0.0017   16.7   0.6   117   181   556   625   528   632 0.77 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   6   9   1.2e-12   8.5e-11   40.6   5.8    34   177   631   792   627   795 0.75 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   7   9   9.7e-06    0.0007   18.0   0.3    90   154   796   864   792   867 0.90 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   8   9   5.2e-08   3.8e-06   25.4   0.5    86   178   816   912   814   917 0.87 -
25718at50557_29031_0:000108|STRG.8365.1:765-3776|+     -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   9   9       2.5   1.8e+02    0.3   0.1    95   115   920   939   914   958 0.50 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   1   9     5e-07   3.7e-05   22.2   1.2    34   174    25   181    15   185 0.80 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   2   9    0.0062      0.45    8.8   0.0    37    72   173   208   166   217 0.90 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   3   9   5.8e-09   4.2e-07   28.5   4.2    38   178   197   352   195   361 0.81 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   4   9   1.2e-05   0.00084   17.7   4.4    91   160   435   508   381   530 0.72 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   5   9   2.4e-05    0.0017   16.7   0.6   117   181   556   625   528   632 0.77 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   6   9   1.2e-12   8.5e-11   40.6   5.8    34   177   631   792   627   795 0.75 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   7   9   9.7e-06    0.0007   18.0   0.3    90   154   796   864   792   867 0.90 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   8   9   5.2e-08   3.8e-06   25.4   0.5    86   178   816   912   814   917 0.87 -
25718at50557_29031_0:000108|STRG.8365.2:1173-4184|+    -           1004 83902at50557         -            211   2.4e-39  133.8  57.2   9   9       2.5   1.8e+02    0.3   0.1    95   115   920   939   914   958 0.50 -
54603at50557_7070_0:002ddb|STRG.5722.2:33-1214|+       -            394 83902at50557         -            211   7.3e-39  132.3  21.1   1   4      0.14        10    4.4   0.0    38   136    11    47     6    56 0.52 -
54603at50557_7070_0:002ddb|STRG.5722.2:33-1214|+       -            394 83902at50557         -            211   7.3e-39  132.3  21.1   2   4   4.1e-25     3e-23   81.3   2.6    34   184    54   213    46   223 0.86 -
54603at50557_7070_0:002ddb|STRG.5722.2:33-1214|+       -            394 83902at50557         -            211   7.3e-39  132.3  21.1   3   4   4.6e-10   3.3e-08   32.1   0.3    81   183   223   327   221   332 0.90 -
54603at50557_7070_0:002ddb|STRG.5722.2:33-1214|+       -            394 83902at50557         -            211   7.3e-39  132.3  21.1   4   4   6.8e-08     5e-06   25.0   2.1    35    84   331   380   327   385 0.91 -
54603at50557_7070_0:002ddb|STRG.5722.1:50-1294|+       -            415 83902at50557         -            211   1.1e-38  131.7  21.3   1   4     0.096         7    4.9   0.0    37    77    10    51     6    59 0.50 -
54603at50557_7070_0:002ddb|STRG.5722.1:50-1294|+       -            415 83902at50557         -            211   1.1e-38  131.7  21.3   2   4   5.8e-25   4.2e-23   80.8   3.0    34   184    54   213    47   225 0.86 -
54603at50557_7070_0:002ddb|STRG.5722.1:50-1294|+       -            415 83902at50557         -            211   1.1e-38  131.7  21.3   3   4   5.1e-10   3.7e-08   32.0   0.3    81   183   223   327   221   332 0.90 -
54603at50557_7070_0:002ddb|STRG.5722.1:50-1294|+       -            415 83902at50557         -            211   1.1e-38  131.7  21.3   4   4   9.4e-08   6.8e-06   24.6   2.2    35    84   331   380   328   385 0.91 -
54603at50557_116153_0:001d7a|STRG.11848.1:258-1724|+   -            489 83902at50557         -            211   1.2e-35  121.8  35.5   1   5   3.9e-14   2.8e-12   45.4   9.4    61   181    11   133     1   133 0.80 -
54603at50557_116153_0:001d7a|STRG.11848.1:258-1724|+   -            489 83902at50557         -            211   1.2e-35  121.8  35.5   2   5   2.1e-09   1.5e-07   30.0   0.2    32    85    90   143    87   147 0.94 -
54603at50557_116153_0:001d7a|STRG.11848.1:258-1724|+   -            489 83902at50557         -            211   1.2e-35  121.8  35.5   3   5     0.092       6.7    5.0   0.0    34    72   138   175   136   181 0.77 -
54603at50557_116153_0:001d7a|STRG.11848.1:258-1724|+   -            489 83902at50557         -            211   1.2e-35  121.8  35.5   4   5   2.8e-08   2.1e-06   26.3   2.4    81   184   168   273   164   293 0.85 -
54603at50557_116153_0:001d7a|STRG.11848.1:258-1724|+   -            489 83902at50557         -            211   1.2e-35  121.8  35.5   5   5   1.9e-15   1.4e-13   49.7   6.0    33   172   339   489   319   489 0.87 -
8280at50557_609295_0:000daa|STRG.13463.1:51-3371|+     -           1107 83902at50557         -            211   3.9e-31  107.1  63.9   1  10   0.00033     0.024   13.0   1.0    91   187    62   167    11   168 0.75 -
8280at50557_609295_0:000daa|STRG.13463.1:51-3371|+     -           1107 83902at50557         -            211   3.9e-31  107.1  63.9   2  10   0.00044     0.032   12.6   0.4   104   179   167   247   159   253 0.84 -
8280at50557_609295_0:000daa|STRG.13463.1:51-3371|+     -           1107 83902at50557         -            211   3.9e-31  107.1  63.9   3  10   0.00084     0.061   11.7   0.4    34    85   254   307   248   310 0.84 -
8280at50557_609295_0:000daa|STRG.13463.1:51-3371|+     -           1107 83902at50557         -            211   3.9e-31  107.1  63.9   4  10   7.6e-06   0.00055   18.3   2.0    33   158   350   491   319   496 0.74 -
