#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
35897at50557_34720_0:0012e8|STRG.9199.1:0-2072|+      -            691 35897at50557         -            554    1e-229  762.4  15.1   1   1  3.9e-232  2.1e-229  761.4  15.1     4   554    73   685    68   685 0.90 -
35897at50557_136037_0:00227d|STRG.12543.1:777-2447|+  -            557 35897at50557         -            554   3.9e-15   54.1  16.6   1   5   2.3e-05     0.012   12.9   0.3   281   346    25    94     1    99 0.70 -
35897at50557_136037_0:00227d|STRG.12543.1:777-2447|+  -            557 35897at50557         -            554   3.9e-15   54.1  16.6   2   5     3e-06    0.0016   15.7   0.5   250   359   118   235   113   242 0.77 -
35897at50557_136037_0:00227d|STRG.12543.1:777-2447|+  -            557 35897at50557         -            554   3.9e-15   54.1  16.6   3   5   0.00074      0.39    7.9   0.8   291   343   242   298   237   304 0.84 -
35897at50557_136037_0:00227d|STRG.12543.1:777-2447|+  -            557 35897at50557         -            554   3.9e-15   54.1  16.6   4   5   8.5e-05     0.045   11.0   0.0   246   308   326   390   319   404 0.74 -
35897at50557_136037_0:00227d|STRG.12543.1:777-2447|+  -            557 35897at50557         -            554   3.9e-15   54.1  16.6   5   5   9.5e-06    0.0051   14.1   0.1   272   346   421   500   392   520 0.82 -
35897at50557_136037_0:00227d|STRG.12543.2:1008-2504|+ -            499 35897at50557         -            554     1e-14   52.7  17.2   1   5   1.7e-05    0.0092   13.2   0.4   281   346    25    94     1   105 0.69 -
35897at50557_136037_0:00227d|STRG.12543.2:1008-2504|+ -            499 35897at50557         -            554     1e-14   52.7  17.2   2   5   2.5e-06    0.0013   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.12543.2:1008-2504|+ -            499 35897at50557         -            554     1e-14   52.7  17.2   3   5   0.00069      0.37    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.12543.2:1008-2504|+ -            499 35897at50557         -            554     1e-14   52.7  17.2   4   5   8.1e-05     0.043   11.0   0.0   246   308   326   390   321   398 0.71 -
35897at50557_136037_0:00227d|STRG.12543.2:1008-2504|+ -            499 35897at50557         -            554     1e-14   52.7  17.2   5   5   2.5e-05     0.013   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_136037_0:00227d|STRG.12543.3:777-2273|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   1   5   1.7e-05    0.0092   13.2   0.4   281   346    25    94     1   105 0.69 -
35897at50557_136037_0:00227d|STRG.12543.3:777-2273|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   2   5   2.5e-06    0.0013   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.12543.3:777-2273|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   3   5   0.00069      0.37    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.12543.3:777-2273|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   4   5   8.1e-05     0.043   11.0   0.0   246   308   326   390   321   398 0.71 -
35897at50557_136037_0:00227d|STRG.12543.3:777-2273|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   5   5   2.5e-05     0.013   12.7   0.1   272   344   421   498   391   499 0.78 -
35897at50557_136037_0:00227d|STRG.12543.4:777-2273|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   1   5   1.7e-05    0.0092   13.2   0.4   281   346    25    94     1   105 0.69 -
35897at50557_136037_0:00227d|STRG.12543.4:777-2273|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   2   5   2.5e-06    0.0013   16.0   0.6   250   359   118   235   114   244 0.77 -
35897at50557_136037_0:00227d|STRG.12543.4:777-2273|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   3   5   0.00069      0.37    8.0   0.9   291   343   242   298   237   303 0.84 -
35897at50557_136037_0:00227d|STRG.12543.4:777-2273|+  -            499 35897at50557         -            554     1e-14   52.7  17.2   4   5   8.1e-05     0.043   11.0   0.0   246   308   326   390   321   398 0.71 -
