#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
89317at50557_307658_0:00251a|STRG.6105.2:148-954|+    -            269 89317at50557         -            194  2.6e-113  375.6  14.0   1   1  9.3e-116    3e-113  375.4  14.0     1   194    21   234    21   234 0.95 -
89317at50557_13686_0:000743|STRG.6105.1:201-455|+     -             85 89317at50557         -            194   4.2e-41  140.0   3.7   1   1   1.4e-43   4.7e-41  139.9   3.7   116   193     1    85     1    85 0.94 -
89317at50557_108931_0:002c91|STRG.6116.1:249-872|+    -            208 89317at50557         -            194   5.6e-35  120.0  14.5   1   1     2e-37   6.6e-35  119.8  14.5     1   181     1   203     1   208 0.82 -
89317at50557_7038_0:001f22|STRG.6115.1:253-930|+      -            226 89317at50557         -            194   1.4e-26   92.6   9.3   1   1   5.1e-29   1.7e-26   92.4   9.3     1   183    21   225    21   226 0.80 -
89317at50557_66420_0:0017df|STRG.6112.1:166-717|+     -            184 89317at50557         -            194   5.9e-25   87.3   5.6   1   2   1.3e-23   4.2e-21   74.8   3.0    14   118    32   146    21   155 0.86 -
89317at50557_66420_0:0017df|STRG.6112.1:166-717|+     -            184 89317at50557         -            194   5.9e-25   87.3   5.6   2   2   4.6e-05     0.015   14.2   0.1     3    38   148   184   146   184 0.86 -
89317at50557_13249_0:000fb7|STRG.6112.2:15-578|+      -            188 89317at50557         -            194   6.6e-25   87.2   5.6   1   2   1.4e-23   4.5e-21   74.6   3.0    14   118    36   150    25   159 0.86 -
89317at50557_13249_0:000fb7|STRG.6112.2:15-578|+      -            188 89317at50557         -            194   6.6e-25   87.2   5.6   2   2   4.7e-05     0.015   14.2   0.1     3    38   152   188   150   188 0.86 -
89317at50557_108931_0:002c91|STRG.6117.1:3452-4048|+  -            199 89317at50557         -            194   2.5e-24   85.3  14.2   1   1   8.8e-27   2.9e-24   85.1  14.2     3   181     1   194     1   199 0.83 -
89317at50557_108931_0:002c91|STRG.6117.2:168-764|+    -            199 89317at50557         -            194   2.5e-24   85.3  14.2   1   1   8.8e-27   2.9e-24   85.1  14.2     3   181     1   194     1   199 0.83 -
89317at50557_108931_0:002c91|STRG.6117.3:3327-3923|+  -            199 89317at50557         -            194   2.5e-24   85.3  14.2   1   1   8.8e-27   2.9e-24   85.1  14.2     3   181     1   194     1   199 0.83 -
89317at50557_108931_0:002c91|STRG.6117.4:1724-2320|+  -            199 89317at50557         -            194   2.5e-24   85.3  14.2   1   1   8.8e-27   2.9e-24   85.1  14.2     3   181     1   194     1   199 0.83 -
89317at50557_108931_0:002c91|STRG.6117.5:3448-4044|+  -            199 89317at50557         -            194   2.5e-24   85.3  14.2   1   1   8.8e-27   2.9e-24   85.1  14.2     3   181     1   194     1   199 0.83 -
89317at50557_108931_0:002c91|STRG.976.1:246-824|+     -            193 89317at50557         -            194   3.9e-22   78.1  13.4   1   1   6.2e-24     2e-21   75.8  13.4     3   181     1   193     1   193 0.83 -
89317at50557_104688_0:0015ad|STRG.6113.1:164-790|+    -            209 89317at50557         -            194   3.2e-19   68.6  11.2   1   1   1.7e-21   5.5e-19   67.8  11.2     3   181    11   208    10   209 0.81 -
89317at50557_104688_0:0015ad|STRG.6113.2:42-656|+     -            205 89317at50557         -            194   3.4e-19   68.5   9.0   1   1   4.3e-21   1.4e-18   66.5   9.0     3   178    11   205    10   205 0.80 -
89317at50557_54969_0:001249|STRG.3107.1:623-1306|+    -            228 89317at50557         -            194   1.8e-17   62.9  14.5   1   3   9.3e-05     0.031   13.2   1.9     3    57     2    58     1    76 0.85 -
89317at50557_54969_0:001249|STRG.3107.1:623-1306|+    -            228 89317at50557         -            194   1.8e-17   62.9  14.5   2   3   2.8e-08     9e-06   24.7   0.2     2    56    82   137    81   148 0.87 -
89317at50557_54969_0:001249|STRG.3107.1:623-1306|+    -            228 89317at50557         -            194   1.8e-17   62.9  14.5   3   3   6.5e-11   2.1e-08   33.3   0.9     3    54   169   222   167   228 0.90 -
89317at50557_38123_0:00252b|STRG.6110.1:563-883|+     -            107 89317at50557         -            194   3.3e-12   45.7   3.8   1   1   2.4e-14   7.9e-12   44.5   3.8     8   105     1   107     1   107 0.85 -
89317at50557_39758_0:000b5a|STRG.6116.2:259-492|+     -             78 89317at50557         -            194   5.4e-12   45.0   1.1   1   1   1.7e-14   5.7e-12   45.0   1.1   118   181     5    73     1    78 0.73 -
89317at50557_28612_0:006203|STRG.15125.1:305-532|+    -             76 89317at50557         -            194   1.6e-11   43.5   1.7   1   1   5.2e-14   1.7e-11   43.4   1.7     1    56     8    63     8    73 0.94 -
89317at50557_680683_0:000b83|STRG.19731.1:3501-4193|+ -            231 89317at50557         -            194   2.4e-11   42.9  10.4   1   2   2.6e-05    0.0084   15.0   0.2    74   113     6    45     1    70 0.60 -
