#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109797at50557_83485_0:000ec1|STRG.6890.1:452-1357|+     -            302 109797at50557        -            227  3.8e-140  463.7   0.0   1   1  8.8e-142  4.7e-140  463.4   0.0     1   222    21   246    21   251 0.98 -
109797at50557_456900_0:0023c9|STRG.6890.2:32-843|+      -            244 109797at50557        -            227  1.3e-116  386.7   0.1   1   1    3e-118  1.6e-116  386.4   0.1    39   222     1   188     1   193 0.97 -
104262at50557_39758_0:003743|STRG.8006.1:6-617|+        -            204 109797at50557        -            227   8.7e-49  164.8   0.3   1   1   1.9e-50     1e-48  164.6   0.3     1   164     1   167     1   180 0.94 -
104262at50557_411798_0:001745|STRG.18960.1:3-518|+      -            172 109797at50557        -            227   8.1e-48  161.7   0.3   1   1   1.7e-49   9.1e-48  161.5   0.3     1   165     3   170     3   172 0.95 -
104262at50557_132113_0:00109a|STRG.3897.1:197-706|+     -            170 109797at50557        -            227   3.5e-43  146.5   0.3   1   1   7.5e-45     4e-43  146.3   0.3     2   157    12   170    11   170 0.93 -
104262at50557_132113_0:00109a|STRG.3897.2:197-706|+     -            170 109797at50557        -            227   3.5e-43  146.5   0.3   1   1   7.5e-45     4e-43  146.3   0.3     2   157    12   170    11   170 0.93 -
104262at50557_132113_0:00109a|STRG.3897.3:197-706|+     -            170 109797at50557        -            227   3.5e-43  146.5   0.3   1   1   7.5e-45     4e-43  146.3   0.3     2   157    12   170    11   170 0.93 -
107216at50557_103372_0:00094d|STRG.18724.1:353-997|+    -            215 109797at50557        -            227   4.5e-41  139.6   0.2   1   1     1e-42   5.5e-41  139.3   0.2     2   160     7   168     6   181 0.93 -
107216at50557_103372_0:00094d|STRG.18724.2:353-997|+    -            215 109797at50557        -            227   4.5e-41  139.6   0.2   1   1     1e-42   5.5e-41  139.3   0.2     2   160     7   168     6   181 0.93 -
104262at50557_104421_0:0019e6|STRG.16833.1:9-494|+      -            162 109797at50557        -            227   1.4e-37  128.1   0.1   1   1   2.9e-39   1.6e-37  128.0   0.1     6   159     5   161     1   162 0.94 -
107216at50557_110193_0:000c8b|STRG.9147.1:30-608|+      -            193 109797at50557        -            227     1e-36  125.4   0.6   1   1   2.2e-38   1.1e-36  125.2   0.6     2   167     8   178     7   192 0.87 -
