#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
37657at50557_307658_0:001de5|STRG.14347.1:45-1694|+    -            550 37657at50557         -            403  2.2e-211  700.9   0.2   1   1  8.8e-213  1.7e-210  697.9   0.2     1   402    66   549    66   550 0.90 -
37657at50557_88501_0:001bdf|STRG.14347.2:466-1818|+    -            451 37657at50557         -            403  5.3e-179  594.2   1.0   1   1  2.9e-180  5.6e-178  590.9   1.0    62   402    28   450     7   451 0.87 -
37657at50557_34740_0:00111c|STRG.15119.1:9-896|+       -            296 37657at50557         -            403     1e-15   56.5   0.0   1   2   4.2e-13   8.2e-11   40.3   0.0   126   211    15    99     2   106 0.94 -
37657at50557_34740_0:00111c|STRG.15119.1:9-896|+       -            296 37657at50557         -            403     1e-15   56.5   0.0   2   2   4.8e-05    0.0093   13.8   0.0   306   349   242   290   219   295 0.77 -
37657at50557_76194_0:0021a4|STRG.8440.1:2581-2883|+    -            101 37657at50557         -            403   1.8e-12   45.8   0.0   1   1     1e-14   1.9e-12   45.7   0.0     2    95     8   101     7   101 0.98 -
37657at50557_76194_0:0021a4|STRG.8440.2:1633-1935|+    -            101 37657at50557         -            403   1.8e-12   45.8   0.0   1   1     1e-14   1.9e-12   45.7   0.0     2    95     8   101     7   101 0.98 -
37657at50557_76194_0:0021a4|STRG.8440.4:614-916|+      -            101 37657at50557         -            403   1.8e-12   45.8   0.0   1   1     1e-14   1.9e-12   45.7   0.0     2    95     8   101     7   101 0.98 -
37657at50557_76194_0:0021a4|STRG.8440.5:2599-2901|+    -            101 37657at50557         -            403   1.8e-12   45.8   0.0   1   1     1e-14   1.9e-12   45.7   0.0     2    95     8   101     7   101 0.98 -
102616at50557_197043_0:0010e9|STRG.9633.1:395-640|+    -             82 37657at50557         -            403   4.6e-07   28.0   0.1   1   1   3.9e-09   7.5e-07   27.3   0.1     2    93     1    81     1    82 0.81 -
102616at50557_197043_0:0010e9|STRG.9633.2:270-515|+    -             82 37657at50557         -            403   4.6e-07   28.0   0.1   1   1   3.9e-09   7.5e-07   27.3   0.1     2    93     1    81     1    82 0.81 -
35377at50557_103372_0:001618|STRG.18474.1:5-1474|+     -            467 37657at50557         -            403   1.1e-06   26.8   0.4   1   1   2.2e-08   4.2e-06   24.8   0.4    81   210    83   229    77   233 0.71 -
35377at50557_103372_0:001618|STRG.18474.2:0-1400|+     -            467 37657at50557         -            403   1.1e-06   26.8   0.4   1   1   2.2e-08   4.2e-06   24.8   0.4    81   210    83   229    77   233 0.71 -
45452at50557_45779_0:0017c6|STRG.13376.1:245-1132|+    -            296 37657at50557         -            403   9.3e-06   23.7   0.1   1   1   7.2e-08   1.4e-05   23.1   0.1   138   211    73   146    53   152 0.92 -
45452at50557_45779_0:0017c6|STRG.13376.2:245-1132|+    -            296 37657at50557         -            403   9.3e-06   23.7   0.1   1   1   7.2e-08   1.4e-05   23.1   0.1   138   211    73   146    53   152 0.92 -
110125at50557_217634_0:000c22|STRG.6456.6:652-915|+    -             88 37657at50557         -            403   2.3e-05   22.4   0.1   1   1   1.2e-07   2.3e-05   22.4   0.1    45    96    18    70     9    88 0.75 -
