#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108755at50557_456900_0:000c82|STRG.10032.1:0-634|+      -            207 108755at50557        -            150   2.2e-95  315.3   2.5   1   1     5e-97   2.6e-95  315.1   2.5     1   150    11   165    11   165 0.98 -
108755at50557_178035_0:0020de|STRG.10032.2:235-861|+    -            209 108755at50557        -            150   2.2e-95  315.3   2.5   1   1   5.1e-97   2.7e-95  315.0   2.5     1   150    11   165    11   165 0.98 -
104262at50557_39758_0:003743|STRG.8006.1:6-617|+        -            204 108755at50557        -            150   9.1e-41  138.0   1.1   1   1   2.1e-42   1.1e-40  137.7   1.1     4   149     7   157     5   158 0.92 -
107216at50557_51655_0:0016fc|STRG.14620.1:1771-2367|+   -            199 108755at50557        -            150   1.5e-40  137.4   0.0   1   1   3.5e-42   1.8e-40  137.1   0.0     4   149    10   161     8   162 0.92 -
104262at50557_411798_0:001745|STRG.18960.1:3-518|+      -            172 108755at50557        -            150   4.3e-40  135.9   1.2   1   1   9.9e-42   5.2e-40  135.6   1.2     4   149     9   159     7   160 0.93 -
106023at50557_456900_0:0019f7|STRG.15057.1:924-1571|+   -            216 108755at50557        -            150     5e-40  135.7   0.1   1   1   1.2e-41     6e-40  135.4   0.1     3   149    22   173    20   174 0.94 -
106023at50557_456900_0:0019f7|STRG.15057.3:1051-1698|+  -            216 108755at50557        -            150     5e-40  135.7   0.1   1   1   1.2e-41     6e-40  135.4   0.1     3   149    22   173    20   174 0.94 -
106023at50557_456900_0:0019f7|STRG.15057.4:151-886|+    -            216 108755at50557        -            150     5e-40  135.7   0.1   1   1   1.2e-41     6e-40  135.4   0.1     3   149    22   173    20   174 0.94 -
106023at50557_456900_0:0019f7|STRG.15057.5:1851-2501|+  -            217 108755at50557        -            150     5e-40  135.6   0.1   1   1   1.2e-41   6.1e-40  135.4   0.1     3   149    23   174    21   175 0.94 -
106023at50557_34720_0:001fd2|STRG.15057.6:1951-2935|+   -            232 108755at50557        -            150     6e-40  135.4   0.1   1   1   1.4e-41   7.5e-40  135.1   0.1     3   149    38   189    36   190 0.94 -
106023at50557_609295_0:001bec|STRG.15057.2:32-934|+     -            301 108755at50557        -            150   1.1e-39  134.5   0.1   1   1     3e-41   1.6e-39  134.0   0.1     3   149   107   258   105   259 0.94 -
