#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
69102at50557_103372_0:001d18|STRG.5888.1:0-2018|+   -            673 69102at50557         -            161   8.9e-80  265.3   0.1   1   1   2.2e-82   1.4e-79  264.6   0.1     1   160   440   620   440   621 0.90 -
69102at50557_69004_0:0020c7|STRG.11137.3:236-1176|+ -            310 69102at50557         -            161   1.2e-49  167.3   1.2   1   1     9e-51   5.9e-48  161.9   1.2     5   160   113   295   109   296 0.83 -
69102at50557_69004_0:0020c7|STRG.11137.1:236-1168|+ -            311 69102at50557         -            161   1.5e-49  167.0   1.3   1   1   1.1e-50   7.2e-48  161.6   1.3     5   160   113   296   109   297 0.80 -
69102at50557_69004_0:0020c7|STRG.11137.2:255-1187|+ -            311 69102at50557         -            161   1.5e-49  167.0   1.3   1   1   1.1e-50   7.2e-48  161.6   1.3     5   160   113   296   109   297 0.80 -
69102at50557_41427_0:0029ce|STRG.11947.1:605-1456|+ -            284 69102at50557         -            161   2.2e-39  134.0   0.0   1   1   4.7e-42   3.1e-39  133.5   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.11947.2:0-851|+    -            284 69102at50557         -            161   2.2e-39  134.0   0.0   1   1   4.7e-42   3.1e-39  133.5   0.0     5   160   116   284   112   284 0.86 -
69102at50557_43041_0:0020cc|STRG.9072.2:778-1575|+  -            266 69102at50557         -            161   9.1e-13   47.5   0.0   1   2   3.3e-10   2.2e-07   30.0   0.0     7    57    75   127    69   139 0.78 -
69102at50557_43041_0:0020cc|STRG.9072.2:778-1575|+  -            266 69102at50557         -            161   9.1e-13   47.5   0.0   2   2   1.2e-05     0.008   15.1   0.0    62   124   188   264   182   266 0.78 -
69102at50557_41427_0:0029ce|STRG.1106.1:455-1676|+  -            247 69102at50557         -            161   2.3e-11   42.9   0.0   1   2   1.1e-08   7.4e-06   25.0   0.0     5    64    87   157    83   168 0.80 -
69102at50557_41427_0:0029ce|STRG.1106.1:455-1676|+  -            247 69102at50557         -            161   2.3e-11   42.9   0.0   2   2   6.7e-06    0.0043   16.0   0.0    69   121   186   246   164   247 0.77 -
69102at50557_41427_0:0029ce|STRG.1106.2:27-818|+    -            264 69102at50557         -            161   3.2e-11   42.5   0.0   1   2   1.4e-08   9.3e-06   24.7   0.0     6    65   105   175   101   188 0.80 -
69102at50557_41427_0:0029ce|STRG.1106.2:27-818|+    -            264 69102at50557         -            161   3.2e-11   42.5   0.0   2   2   7.5e-06    0.0049   15.8   0.0    69   121   203   263   181   264 0.77 -
69102at50557_41427_0:0029ce|STRG.1106.3:27-818|+    -            264 69102at50557         -            161   3.2e-11   42.5   0.0   1   2   1.4e-08   9.3e-06   24.7   0.0     6    65   105   175   101   188 0.80 -
69102at50557_41427_0:0029ce|STRG.1106.3:27-818|+    -            264 69102at50557         -            161   3.2e-11   42.5   0.0   2   2   7.5e-06    0.0049   15.8   0.0    69   121   203   263   181   264 0.77 -
48331at50557_103372_0:001fed|STRG.9252.1:0-1430|+   -            477 69102at50557         -            161   6.7e-09   34.9   0.0   1   2   1.4e-06   0.00091   18.2   0.0     5    87   218   315   214   321 0.75 -
48331at50557_103372_0:001fed|STRG.9252.1:0-1430|+   -            477 69102at50557         -            161   6.7e-09   34.9   0.0   2   2     3e-05      0.02   13.9   0.0    96   125   351   380   334   387 0.80 -
69102at50557_7029_0:00259a|STRG.311.1:299-1087|+    -            263 69102at50557         -            161   6.8e-09   34.9   0.0   1   1   2.2e-11   1.5e-08   33.8   0.0     5    80   105   192   102   260 0.72 -
69102at50557_7029_0:00259a|STRG.311.2:63-968|+      -            302 69102at50557         -            161   9.8e-09   34.4   0.1   1   1   3.1e-11     2e-08   33.4   0.1     5    79   144   230   141   299 0.72 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/69102at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/69102at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/69102at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:56:20 2024
# [ok]
