#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
31793at50557_456900_0:001971|STRG.6484.1:41-1828|+     -            596 31793at50557         -            153   2.3e-91  302.5   6.9   1   1   1.1e-92   5.2e-90  298.1   6.9     1   153   104   285   104   285 0.93 -
31793at50557_307491_0:003733|STRG.6482.1:371-1294|+    -            308 31793at50557         -            153   7.8e-47  157.9   7.5   1   1   4.4e-48   2.1e-45  153.3   7.5     2   153   110   290   109   290 0.91 -
31793at50557_307491_0:003733|STRG.6482.2:288-1211|+    -            308 31793at50557         -            153   7.8e-47  157.9   7.5   1   1   4.4e-48   2.1e-45  153.3   7.5     2   153   110   290   109   290 0.91 -
31793at50557_7004_0:0042c4|STRG.1881.1:189-1019|+      -            277 31793at50557         -            153     5e-44  148.8   8.0   1   1   3.4e-45   1.6e-42  143.9   8.0     2   151    94   272    93   275 0.89 -
31793at50557_7004_0:0042c4|STRG.12690.1:1049-1870|+    -            274 31793at50557         -            153     6e-25   86.9   1.1   1   1   1.2e-25   5.8e-23   80.4   1.1     4   149    77   251    73   254 0.80 -
31793at50557_7004_0:0042c4|STRG.12690.2:1019-1840|+    -            274 31793at50557         -            153     6e-25   86.9   1.1   1   1   1.2e-25   5.8e-23   80.4   1.1     4   149    77   251    73   254 0.80 -
31793at50557_7004_0:0042c4|STRG.12690.3:973-1794|+     -            274 31793at50557         -            153     6e-25   86.9   1.1   1   1   1.2e-25   5.8e-23   80.4   1.1     4   149    77   251    73   254 0.80 -
31793at50557_7004_0:0042c4|STRG.12690.4:911-1732|+     -            274 31793at50557         -            153     6e-25   86.9   1.1   1   1   1.2e-25   5.8e-23   80.4   1.1     4   149    77   251    73   254 0.80 -
31793at50557_51655_0:0011f1|STRG.12685.4:799-1476|+    -            226 31793at50557         -            153   4.4e-24   84.1   2.0   1   1   1.5e-24   6.9e-22   76.9   2.0     2   149    46   223    45   226 0.79 -
31793at50557_7004_0:0042c4|STRG.12685.1:959-1819|+     -            287 31793at50557         -            153   5.2e-24   83.8   0.9   1   1   1.5e-24   6.9e-22   76.9   0.9     4   149    77   251    73   254 0.79 -
31793at50557_7004_0:0042c4|STRG.12685.2:815-1675|+     -            287 31793at50557         -            153   5.2e-24   83.8   0.9   1   1   1.5e-24   6.9e-22   76.9   0.9     4   149    77   251    73   254 0.79 -
31793at50557_7004_0:0042c4|STRG.12685.3:803-1663|+     -            287 31793at50557         -            153   5.2e-24   83.8   0.9   1   1   1.5e-24   6.9e-22   76.9   0.9     4   149    77   251    73   254 0.79 -
31793at50557_7004_0:0042c4|STRG.19592.1:558-1394|+     -            279 31793at50557         -            153   1.2e-13   50.2   0.2   1   1   7.6e-14   3.6e-11   42.1   0.2     6   149    80   252    75   256 0.80 -
31793at50557_7004_0:0042c4|STRG.19592.2:429-1265|+     -            279 31793at50557         -            153   1.2e-13   50.2   0.2   1   1   7.6e-14   3.6e-11   42.1   0.2     6   149    80   252    75   256 0.80 -
58189at50557_103372_0:000235|STRG.16009.1:1-756|+      -            252 31793at50557         -            153   0.00014   20.8   0.3   1   1   4.3e-05      0.02   13.7   0.3    62   147     9   116     6   124 0.66 -
58189at50557_121225_0:000d00|STRG.3154.1:12816-13856|+ -            347 31793at50557         -            153     0.042   12.7   0.0   1   1   0.00021       0.1   11.5   0.0   120   149   203   232   175   236 0.87 -
58189at50557_121225_0:000d00|STRG.3154.4:15303-16343|+ -            347 31793at50557         -            153     0.042   12.7   0.0   1   1   0.00021       0.1   11.5   0.0   120   149   203   232   175   236 0.87 -
58189at50557_121225_0:000d00|STRG.3154.5:15185-16225|+ -            347 31793at50557         -            153     0.042   12.7   0.0   1   1   0.00021       0.1   11.5   0.0   120   149   203   232   175   236 0.87 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/31793at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/31793at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/31793at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:54:22 2024
# [ok]
