#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
15852at50557_103372_0:0023aa|STRG.4488.1:0-2792|+     -            931 15852at50557         -            780         0 1541.8  27.9   1   1         0         0 1528.0  27.9     1   780    11   912    11   912 0.93 -
30983at50557_103372_0:001d08|STRG.5867.1:87-2102|+    -            672 15852at50557         -            780   2.8e-14   51.4  13.0   1   3   2.2e-11   3.2e-08   31.3   4.0   489   630    82   222    63   240 0.92 -
30983at50557_103372_0:001d08|STRG.5867.1:87-2102|+    -            672 15852at50557         -            780   2.8e-14   51.4  13.0   2   3   1.7e-08   2.4e-05   21.8   0.3   387   628   209   484   205   487 0.73 -
30983at50557_103372_0:001d08|STRG.5867.1:87-2102|+    -            672 15852at50557         -            780   2.8e-14   51.4  13.0   3   3   0.00046      0.65    7.2   0.2   326   401   473   556   468   592 0.69 -
30983at50557_103372_0:001d08|STRG.5867.2:460-2088|+   -            543 15852at50557         -            780   1.4e-10   39.2   4.7   1   2   7.7e-12   1.1e-08   32.9   1.2   323   628    11   355     6   358 0.74 -
30983at50557_103372_0:001d08|STRG.5867.2:460-2088|+   -            543 15852at50557         -            780   1.4e-10   39.2   4.7   2   2   0.00031      0.44    7.7   0.2   326   401   344   427   338   463 0.69 -
30983at50557_197043_0:003345|STRG.19085.1:3405-4061|+ -            219 15852at50557         -            780   1.8e-05   22.2   1.0   1   2   0.00035       0.5    7.5   0.1   498   548    23    78    13    92 0.71 -
30983at50557_197043_0:003345|STRG.19085.1:3405-4061|+ -            219 15852at50557         -            780   1.8e-05   22.2   1.0   2   2   5.3e-06    0.0075   13.6   0.1   507   618   104   217    87   219 0.76 -
30983at50557_197043_0:003345|STRG.19085.2:3329-3985|+ -            219 15852at50557         -            780   1.8e-05   22.2   1.0   1   2   0.00035       0.5    7.5   0.1   498   548    23    78    13    92 0.71 -
30983at50557_197043_0:003345|STRG.19085.2:3329-3985|+ -            219 15852at50557         -            780   1.8e-05   22.2   1.0   2   2   5.3e-06    0.0075   13.6   0.1   507   618   104   217    87   219 0.76 -
89121at50557_34720_0:000746|STRG.3628.2:660-1589|+    -            310 15852at50557         -            780     0.038   11.2   0.1   1   2     0.037        52    0.9   0.1   506   582    85   161    74   170 0.75 -
89121at50557_34720_0:000746|STRG.3628.2:660-1589|+    -            310 15852at50557         -            780     0.038   11.2   0.1   2   2   0.00023      0.32    8.2   0.0   368   437   178   251   154   280 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/15852at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/15852at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/15852at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:53:16 2024
# [ok]
