#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
57153at50557_103372_0:001f4c|STRG.4213.3:765-1856|+  -            364 57153at50557         -            185   5.2e-83  276.5  13.9   1   1   1.9e-82   6.9e-80  266.3  13.9     1   185   118   345   118   345 0.89 -
57153at50557_34720_0:000896|STRG.4213.1:218-1696|+   -            493 57153at50557         -            185   1.4e-82  275.0  13.8   1   1     4e-82   1.5e-79  265.2  13.8     1   185   247   474   247   474 0.89 -
57153at50557_34720_0:000896|STRG.4213.4:0-1478|+     -            493 57153at50557         -            185   1.4e-82  275.0  13.8   1   1     4e-82   1.5e-79  265.2  13.8     1   185   247   474   247   474 0.89 -
57153at50557_34720_0:000896|STRG.4213.2:163-1641|+   -            493 57153at50557         -            185   1.5e-82  275.0  13.8   1   1     4e-82   1.5e-79  265.2  13.8     1   185   247   474   247   474 0.89 -
57153at50557_199890_0:0011f4|STRG.16972.4:301-1347|+ -            202 57153at50557         -            185   1.4e-26   92.5   7.4   1   1   1.3e-28     5e-26   90.7   7.4     1   174     7   202     7   202 0.84 -
57153at50557_39758_0:001278|STRG.16972.3:232-1215|+  -            328 57153at50557         -            185   3.2e-24   84.8   8.5   1   2      0.91   3.4e+02   -0.0   0.1     1    22    30    51    29    61 0.71 -
57153at50557_39758_0:001278|STRG.16972.3:232-1215|+  -            328 57153at50557         -            185   3.2e-24   84.8   8.5   2   2   8.7e-27   3.2e-24   84.8   4.7    24   177   146   324   141   328 0.82 -
57153at50557_7244_0:001c0f|STRG.16972.2:323-1285|+   -            321 57153at50557         -            185   3.5e-24   84.7   6.5   1   2      0.49   1.8e+02    0.9   0.0     1    24    84   107    84   118 0.76 -
57153at50557_7244_0:001c0f|STRG.16972.2:323-1285|+   -            321 57153at50557         -            185   3.5e-24   84.7   6.5   2   2   5.7e-26   2.1e-23   82.2   4.5    24   174   146   321   141   321 0.83 -
57153at50557_7244_0:001c0f|STRG.16972.1:323-1447|+   -            375 57153at50557         -            185   2.2e-23   82.1   7.6   1   2       1.1   4.1e+02   -0.3   0.1     1    22    84   105    83   114 0.72 -
57153at50557_7244_0:001c0f|STRG.16972.1:323-1447|+   -            375 57153at50557         -            185   2.2e-23   82.1   7.6   2   2   8.4e-26   3.1e-23   81.6   4.4    24   174   200   375   195   375 0.83 -
119324at50557_609295_0:001eaf|STRG.13757.1:147-656|+ -            170 57153at50557         -            185   1.9e-05   23.6   1.8   1   3     0.002      0.73    8.7   0.1   143   176    55    88    48    96 0.76 -
119324at50557_609295_0:001eaf|STRG.13757.1:147-656|+ -            170 57153at50557         -            185   1.9e-05   23.6   1.8   2   3    0.0035       1.3    7.9   0.1   148   181    97   127    92   134 0.82 -
119324at50557_609295_0:001eaf|STRG.13757.1:147-656|+ -            170 57153at50557         -            185   1.9e-05   23.6   1.8   3   3     0.019         7    5.5   0.0   140   169   130   159   126   167 0.79 -
119324at50557_28612_0:006210|STRG.14245.1:545-997|+  -            151 57153at50557         -            185   0.00021   20.2   4.4   1   3    0.0013      0.48    9.3   0.0     1    25    11    35    11    45 0.86 -
119324at50557_28612_0:006210|STRG.14245.1:545-997|+  -            151 57153at50557         -            185   0.00021   20.2   4.4   2   3    0.0018      0.66    8.8   0.2     3    22    49    68    47    78 0.87 -
119324at50557_28612_0:006210|STRG.14245.1:545-997|+  -            151 57153at50557         -            185   0.00021   20.2   4.4   3   3      0.39   1.4e+02    1.2   0.1     3    16   130   143   128   148 0.85 -
119324at50557_28612_0:006210|STRG.14245.2:541-993|+  -            151 57153at50557         -            185   0.00021   20.2   4.4   1   3    0.0013      0.48    9.3   0.0     1    25    11    35    11    45 0.86 -
119324at50557_28612_0:006210|STRG.14245.2:541-993|+  -            151 57153at50557         -            185   0.00021   20.2   4.4   2   3    0.0018      0.66    8.8   0.2     3    22    49    68    47    78 0.87 -
119324at50557_28612_0:006210|STRG.14245.2:541-993|+  -            151 57153at50557         -            185   0.00021   20.2   4.4   3   3      0.39   1.4e+02    1.2   0.1     3    16   130   143   128   148 0.85 -
119324at50557_28612_0:006210|STRG.14245.3:387-839|+  -            151 57153at50557         -            185   0.00021   20.2   4.4   1   3    0.0013      0.48    9.3   0.0     1    25    11    35    11    45 0.86 -
119324at50557_28612_0:006210|STRG.14245.3:387-839|+  -            151 57153at50557         -            185   0.00021   20.2   4.4   2   3    0.0018      0.66    8.8   0.2     3    22    49    68    47    78 0.87 -
119324at50557_28612_0:006210|STRG.14245.3:387-839|+  -            151 57153at50557         -            185   0.00021   20.2   4.4   3   3      0.39   1.4e+02    1.2   0.1     3    16   130   143   128   148 0.85 -
119324at50557_28612_0:006210|STRG.14245.4:469-921|+  -            151 57153at50557         -            185   0.00021   20.2   4.4   1   3    0.0013      0.48    9.3   0.0     1    25    11    35    11    45 0.86 -
119324at50557_28612_0:006210|STRG.14245.4:469-921|+  -            151 57153at50557         -            185   0.00021   20.2   4.4   2   3    0.0018      0.66    8.8   0.2     3    22    49    68    47    78 0.87 -
119324at50557_28612_0:006210|STRG.14245.4:469-921|+  -            151 57153at50557         -            185   0.00021   20.2   4.4   3   3      0.39   1.4e+02    1.2   0.1     3    16   130   143   128   148 0.85 -
119324at50557_28612_0:006210|STRG.14245.5:668-1120|+ -            151 57153at50557         -            185   0.00021   20.2   4.4   1   3    0.0013      0.48    9.3   0.0     1    25    11    35    11    45 0.86 -
119324at50557_28612_0:006210|STRG.14245.5:668-1120|+ -            151 57153at50557         -            185   0.00021   20.2   4.4   2   3    0.0018      0.66    8.8   0.2     3    22    49    68    47    78 0.87 -
119324at50557_28612_0:006210|STRG.14245.5:668-1120|+ -            151 57153at50557         -            185   0.00021   20.2   4.4   3   3      0.39   1.4e+02    1.2   0.1     3    16   130   143   128   148 0.85 -
119324at50557_319348_0:001162|STRG.13231.1:250-666|+ -            139 57153at50557         -            185   0.00048   19.0   0.3   1   3      0.13        47    2.8   0.0     1    22     7    28     7    41 0.85 -
119324at50557_319348_0:001162|STRG.13231.1:250-666|+ -            139 57153at50557         -            185   0.00048   19.0   0.3   2   3       1.1   4.2e+02   -0.3   0.0   155   175    49    69    31    79 0.71 -
119324at50557_319348_0:001162|STRG.13231.1:250-666|+ -            139 57153at50557         -            185   0.00048   19.0   0.3   3   3   0.00011      0.04   12.8   0.1   122   169    89   137    78   139 0.86 -
