#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
59552at50557_520822_0:001fd5|STRG.8462.1:35-1201|+   -            389 59552at50557         -            337  2.3e-177  588.0   2.1   1   1  3.2e-180  2.7e-177  587.8   2.1     1   335     2   366     2   368 0.94 -
127380at50557_286306_0:001b9f|STRG.2534.5:366-1208|+ -            281 59552at50557         -            337     5e-09   34.6   0.0   1   1   8.7e-12   7.4e-09   34.0   0.0   181   305    31   160    12   190 0.84 -
127380at50557_286306_0:001b9f|STRG.2534.6:268-1110|+ -            281 59552at50557         -            337     5e-09   34.6   0.0   1   1   8.7e-12   7.4e-09   34.0   0.0   181   305    31   160    12   190 0.84 -
127380at50557_286306_0:001b9f|STRG.2534.4:437-1282|+ -            282 59552at50557         -            337   5.1e-09   34.6   0.0   1   1   8.8e-12   7.5e-09   34.0   0.0   181   305    32   161    13   191 0.84 -
127380at50557_286306_0:001b9f|STRG.2534.3:124-975|+  -            284 59552at50557         -            337   5.1e-09   34.6   0.0   1   1   8.9e-12   7.6e-09   34.0   0.0   181   305    34   163    14   193 0.84 -
127380at50557_103372_0:000884|STRG.2534.7:372-1190|+ -            273 59552at50557         -            337   5.3e-09   34.5   0.0   1   1   8.2e-12   6.9e-09   34.1   0.0   181   305    29   158    11   188 0.84 -
127380at50557_103372_0:000884|STRG.2534.2:372-1193|+ -            274 59552at50557         -            337   5.3e-09   34.5   0.0   1   1   8.2e-12     7e-09   34.1   0.0   181   305    29   158    11   188 0.84 -
127380at50557_103372_0:000884|STRG.2534.1:372-1235|+ -            288 59552at50557         -            337     6e-09   34.3   0.0   1   1   9.4e-12     8e-09   33.9   0.0   181   305    29   158    11   188 0.84 -
67170at50557_34720_0:000218|STRG.1060.1:182-1337|+   -            382 59552at50557         -            337    0.0002   19.4   0.1   1   2       0.7   5.9e+02   -1.8   0.4   255   301    89   136    56   148 0.75 -
67170at50557_34720_0:000218|STRG.1060.1:182-1337|+   -            382 59552at50557         -            337    0.0002   19.4   0.1   2   2   2.4e-07    0.0002   19.4   0.1   212   334   235   368   194   371 0.71 -
67170at50557_34720_0:000218|STRG.1060.2:0-1154|+     -            385 59552at50557         -            337   0.00021   19.4   0.1   1   2       0.7   5.9e+02   -1.8   0.3   255   301    92   139    60   151 0.75 -
67170at50557_34720_0:000218|STRG.1060.2:0-1154|+     -            385 59552at50557         -            337   0.00021   19.4   0.1   2   2   2.4e-07   0.00021   19.4   0.1   212   334   238   371   197   374 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/59552at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/59552at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/59552at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:55:59 2024
# [ok]
