#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104469at50557_123851_0:002509|STRG.14933.1:309-1169|+  -            287 104469at50557        -            153   3.8e-41  139.5   0.2   1   1     1e-43   6.3e-41  138.8   0.2     5   153   143   286   138   286 0.91 -
104469at50557_7130_0:000905|STRG.2968.1:656-1141|+     -            162 104469at50557        -            153   1.4e-36  124.7   0.1   1   1   2.8e-39   1.7e-36  124.4   0.1     2   153     5   155     4   155 0.89 -
104469at50557_6973_0:003e54|STRG.12192.3:1784-2218|+   -            145 104469at50557        -            153   1.3e-24   85.8   0.0   1   1   2.4e-27   1.4e-24   85.7   0.0    10   151     5   144     1   145 0.88 -
104469at50557_7130_0:000905|STRG.12192.2:1784-2290|+   -            169 104469at50557        -            153   1.7e-19   69.2   0.5   1   2   3.8e-05     0.023   13.6   0.1    10    54     5    47     1    58 0.76 -
104469at50557_7130_0:000905|STRG.12192.2:1784-2290|+   -            169 104469at50557        -            153   1.7e-19   69.2   0.5   2   2   6.8e-18   4.1e-15   55.0   0.1    45   151    57   168    43   169 0.79 -
104469at50557_7130_0:000905|STRG.12192.1:1571-2062|+   -            164 104469at50557        -            153   2.5e-19   68.7   0.5   1   1   1.9e-19   1.1e-16   60.0   0.5    13   151     9   163     1   164 0.73 -
104469at50557_7130_0:000905|STRG.12192.4:1784-2275|+   -            164 104469at50557        -            153   2.5e-19   68.7   0.5   1   1   1.9e-19   1.1e-16   60.0   0.5    13   151     9   163     1   164 0.73 -
1859at50557_34720_0:002187|STRG.16046.1:190-10268|+    -           3314 104469at50557        -            153   2.8e-15   55.5   5.1   1   4   6.3e-06    0.0038   16.1   0.1    85   151  1998  2064  1986  2068 0.88 -
1859at50557_34720_0:002187|STRG.16046.1:190-10268|+    -           3314 104469at50557        -            153   2.8e-15   55.5   5.1   2   4    0.0028       1.7    7.5   0.0    94   152  2264  2322  2254  2323 0.88 -
1859at50557_34720_0:002187|STRG.16046.1:190-10268|+    -           3314 104469at50557        -            153   2.8e-15   55.5   5.1   3   4   1.3e-06   0.00079   18.3   0.2    96   152  2572  2628  2563  2629 0.90 -
1859at50557_34720_0:002187|STRG.16046.1:190-10268|+    -           3314 104469at50557        -            153   2.8e-15   55.5   5.1   4   4   0.00014     0.082   11.8   0.0    96   153  2862  2919  2853  2919 0.94 -
1859at50557_34720_0:002187|STRG.16046.2:190-10131|+    -           3314 104469at50557        -            153   2.8e-15   55.5   5.1   1   4   6.3e-06    0.0038   16.1   0.1    85   151  1998  2064  1986  2068 0.88 -
1859at50557_34720_0:002187|STRG.16046.2:190-10131|+    -           3314 104469at50557        -            153   2.8e-15   55.5   5.1   2   4    0.0028       1.7    7.5   0.0    94   152  2264  2322  2254  2323 0.88 -
1859at50557_34720_0:002187|STRG.16046.2:190-10131|+    -           3314 104469at50557        -            153   2.8e-15   55.5   5.1   3   4   1.3e-06   0.00079   18.3   0.2    96   152  2572  2628  2563  2629 0.90 -
1859at50557_34720_0:002187|STRG.16046.2:190-10131|+    -           3314 104469at50557        -            153   2.8e-15   55.5   5.1   4   4   0.00014     0.082   11.8   0.0    96   153  2862  2919  2853  2919 0.94 -
104469at50557_319348_0:00387c|STRG.12192.5:1722-2033|+ -            104 104469at50557        -            153   3.3e-15   55.3   0.1   1   1     6e-18   3.6e-15   55.2   0.1    49   151     1   103     1   104 0.88 -
1859at50557_34720_0:002187|STRG.16046.3:0-8723|+       -           2908 104469at50557        -            153   3.5e-12   45.4   2.7   1   3   5.5e-06    0.0033   16.3   0.1    85   151  1998  2064  1986  2068 0.88 -
1859at50557_34720_0:002187|STRG.16046.3:0-8723|+       -           2908 104469at50557        -            153   3.5e-12   45.4   2.7   2   3    0.0025       1.5    7.7   0.0    94   152  2264  2322  2254  2323 0.88 -
1859at50557_34720_0:002187|STRG.16046.3:0-8723|+       -           2908 104469at50557        -            153   3.5e-12   45.4   2.7   3   3   1.1e-06   0.00068   18.5   0.2    96   152  2572  2628  2563  2629 0.90 -
104469at50557_7397_0:004245|STRG.20120.1:386-550|+     -             55 104469at50557        -            153     4e-07   29.0   0.5   1   1     7e-10   4.2e-07   28.9   0.5   100   153     1    54     1    54 0.95 -
