#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
43564at50557_411798_0:001912|STRG.18163.3:3144-4901|+  -            586 43564at50557         -            303  2.7e-184  610.2  14.7   1   1  3.2e-186  2.5e-183  607.1  14.7     1   303    18   372    18   372 0.94 -
43564at50557_156304_0:00228f|STRG.18163.4:0-1841|+     -            614 43564at50557         -            303  4.9e-184  609.4  15.3   1   1  5.5e-186  4.2e-183  606.3  15.3     1   303    18   372    18   372 0.94 -
43564at50557_29058_0:001267|STRG.1789.2:2061-3311|+    -            417 43564at50557         -            303   2.4e-50  170.4   7.8   1   2   2.6e-32     2e-29  101.7   0.6    11   217    13   242     8   252 0.78 -
43564at50557_29058_0:001267|STRG.1789.2:2061-3311|+    -            417 43564at50557         -            303   2.4e-50  170.4   7.8   2   2   2.2e-23   1.7e-20   72.3   1.4   224   303   270   357   262   357 0.85 -
43564at50557_29058_0:001267|STRG.1789.1:2061-3311|+    -            417 43564at50557         -            303   4.2e-50  169.6   8.6   1   2   2.6e-32     2e-29  101.7   0.6    11   217    13   242     8   252 0.78 -
43564at50557_29058_0:001267|STRG.1789.1:2061-3311|+    -            417 43564at50557         -            303   4.2e-50  169.6   8.6   2   2   3.2e-23   2.5e-20   71.8   1.9   224   303   270   357   262   357 0.84 -
43564at50557_1049336_0:00338e|STRG.20071.1:333-1631|+  -            433 43564at50557         -            303   8.7e-49  165.3  10.6   1   2   1.2e-13   8.9e-11   40.5   0.0    12    76     6    78     2   121 0.74 -
43564at50557_1049336_0:00338e|STRG.20071.1:333-1631|+  -            433 43564at50557         -            303   8.7e-49  165.3  10.6   2   2   1.7e-39   1.3e-36  125.3   7.6   107   303   150   370   127   370 0.83 -
43564at50557_1049336_0:00338e|STRG.20071.2:333-1631|+  -            433 43564at50557         -            303   8.7e-49  165.3  10.6   1   2   1.2e-13   8.9e-11   40.5   0.0    12    76     6    78     2   121 0.74 -
43564at50557_1049336_0:00338e|STRG.20071.2:333-1631|+  -            433 43564at50557         -            303   8.7e-49  165.3  10.6   2   2   1.7e-39   1.3e-36  125.3   7.6   107   303   150   370   127   370 0.83 -
43564at50557_1049336_0:00338e|STRG.20071.3:333-1631|+  -            433 43564at50557         -            303   8.7e-49  165.3  10.6   1   2   1.2e-13   8.9e-11   40.5   0.0    12    76     6    78     2   121 0.74 -
43564at50557_1049336_0:00338e|STRG.20071.3:333-1631|+  -            433 43564at50557         -            303   8.7e-49  165.3  10.6   2   2   1.7e-39   1.3e-36  125.3   7.6   107   303   150   370   127   370 0.83 -
43564at50557_315563_0:002f80|STRG.1505.2:171-1433|+    -            421 43564at50557         -            303   3.9e-48  163.1   5.3   1   2     6e-50   4.6e-47  159.6   3.8    11   303    19   365    11   365 0.77 -
43564at50557_315563_0:002f80|STRG.1505.2:171-1433|+    -            421 43564at50557         -            303   3.9e-48  163.1   5.3   2   2       1.1   8.5e+02   -2.2   0.0   251   284   375   408   374   413 0.82 -
43564at50557_7091_0:001523|STRG.1505.3:591-1307|+      -            239 43564at50557         -            303   2.8e-33  114.3   0.4   1   2     1e-35   7.9e-33  112.9   0.1   132   303     1   183     1   183 0.84 -
43564at50557_7091_0:001523|STRG.1505.3:591-1307|+      -            239 43564at50557         -            303   2.8e-33  114.3   0.4   2   2      0.43   3.3e+02   -0.8   0.0   251   285   193   227   191   233 0.83 -
43564at50557_246812_0:003262|STRG.1505.1:171-695|+     -            175 43564at50557         -            303   3.2e-10   38.6   2.2   1   1   1.6e-12   1.3e-09   36.7   2.2    10   113    18   148    11   175 0.74 -
43564at50557_1155016_0:00126f|STRG.3664.1:78-689|+     -            204 43564at50557         -            303   5.3e-07   28.1   4.9   1   1   1.7e-09   1.3e-06   26.7   4.9   170   303     3   158     1   158 0.73 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/43564at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/43564at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/43564at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:54:57 2024
# [ok]
