#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
126015at50557_286306_0:0004a8|STRG.8887.1:0-515|+      -            172 126015at50557        -            146   1.3e-71  238.0   0.5   1   1   1.3e-73   3.3e-71  236.7   0.5     1   146     1   172     1   172 0.90 -
126015at50557_66420_0:002d42|STRG.19707.4:1441-1791|+  -            117 126015at50557        -            146     1e-10   40.5   0.0   1   1   4.4e-13   1.1e-10   40.3   0.0    42   128    28   117     5   117 0.83 -
150518at50557_7004_0:003f1b|STRG.19707.1:1246-1881|+   -            212 126015at50557        -            146   5.4e-10   38.1   0.0   1   1   2.8e-12   7.2e-10   37.7   0.0    43   129    94   183    69   199 0.81 -
150518at50557_7004_0:003f1b|STRG.19707.2:1246-1881|+   -            212 126015at50557        -            146   5.4e-10   38.1   0.0   1   1   2.8e-12   7.2e-10   37.7   0.0    43   129    94   183    69   199 0.81 -
150518at50557_7004_0:003f1b|STRG.19707.3:1246-1881|+   -            212 126015at50557        -            146   5.4e-10   38.1   0.0   1   1   2.8e-12   7.2e-10   37.7   0.0    43   129    94   183    69   199 0.81 -
150518at50557_7004_0:003f1b|STRG.19707.5:1246-1881|+   -            212 126015at50557        -            146   5.4e-10   38.1   0.0   1   1   2.8e-12   7.2e-10   37.7   0.0    43   129    94   183    69   199 0.81 -
21787at50557_52612_0:002557|STRG.13317.1:5408-6214|+   -            269 126015at50557        -            146   6.2e-06   25.0   0.0   1   1   4.5e-08   1.1e-05   24.1   0.0    71   111   203   243   192   266 0.83 -
21787at50557_52612_0:002557|STRG.13317.2:5135-5941|+   -            269 126015at50557        -            146   6.2e-06   25.0   0.0   1   1   4.5e-08   1.1e-05   24.1   0.0    71   111   203   243   192   266 0.83 -
21787at50557_52612_0:002557|STRG.13317.3:4522-5328|+   -            269 126015at50557        -            146   6.2e-06   25.0   0.0   1   1   4.5e-08   1.1e-05   24.1   0.0    71   111   203   243   192   266 0.83 -
21787at50557_52612_0:002557|STRG.13317.4:4364-5170|+   -            269 126015at50557        -            146   6.2e-06   25.0   0.0   1   1   4.5e-08   1.1e-05   24.1   0.0    71   111   203   243   192   266 0.83 -
126015at50557_136037_0:0009b5|STRG.4920.1:793-1203|+   -            137 126015at50557        -            146   0.00013   20.7   0.1   1   1   7.4e-07   0.00019   20.1   0.1    57    95    62    99    12   104 0.76 -
126015at50557_136037_0:0009b5|STRG.4920.2:793-1203|+   -            137 126015at50557        -            146   0.00013   20.7   0.1   1   1   7.4e-07   0.00019   20.1   0.1    57    95    62    99    12   104 0.76 -
126015at50557_136037_0:0009b5|STRG.4920.3:438-848|+    -            137 126015at50557        -            146   0.00013   20.7   0.1   1   1   7.4e-07   0.00019   20.1   0.1    57    95    62    99    12   104 0.76 -
21787at50557_1507135_0:00034b|STRG.4273.1:298-1122|+   -            275 126015at50557        -            146    0.0012   17.6   0.2   1   1   9.5e-06    0.0024   16.5   0.2    67    94   205   232   140   238 0.78 -
21787at50557_1507135_0:00034b|STRG.4273.2:298-1122|+   -            275 126015at50557        -            146    0.0012   17.6   0.2   1   1   9.5e-06    0.0024   16.5   0.2    67    94   205   232   140   238 0.78 -
21787at50557_1507135_0:00034b|STRG.4273.3:298-1122|+   -            275 126015at50557        -            146    0.0012   17.6   0.2   1   1   9.5e-06    0.0024   16.5   0.2    67    94   205   232   140   238 0.78 -
21787at50557_1507135_0:00034b|STRG.4273.4:2766-3590|+  -            275 126015at50557        -            146    0.0012   17.6   0.2   1   1   9.5e-06    0.0024   16.5   0.2    67    94   205   232   140   238 0.78 -
21787at50557_1507135_0:00034b|STRG.4273.5:3130-3954|+  -            275 126015at50557        -            146    0.0012   17.6   0.2   1   1   9.5e-06    0.0024   16.5   0.2    67    94   205   232   140   238 0.78 -
21787at50557_1507135_0:00034b|STRG.4273.6:2965-3789|+  -            275 126015at50557        -            146    0.0012   17.6   0.2   1   1   9.5e-06    0.0024   16.5   0.2    67    94   205   232   140   238 0.78 -
21787at50557_1507135_0:00034b|STRG.4273.7:2898-3722|+  -            275 126015at50557        -            146    0.0012   17.6   0.2   1   1   9.5e-06    0.0024   16.5   0.2    67    94   205   232   140   238 0.78 -
21787at50557_123851_0:0009c4|STRG.13844.1:2447-3232|+  -            262 126015at50557        -            146    0.0012   17.5   0.2   1   1   1.1e-05    0.0027   16.4   0.2    76   124   189   244   180   252 0.80 -
21787at50557_123851_0:0009c4|STRG.13844.2:2429-3214|+  -            262 126015at50557        -            146    0.0012   17.5   0.2   1   1   1.1e-05    0.0027   16.4   0.2    76   124   189   244   180   252 0.80 -
21787at50557_1507135_0:00034b|STRG.12510.1:3614-4528|+ -            305 126015at50557        -            146     0.016   13.9   0.0   1   1   0.00012      0.03   13.0   0.0    75   121   248   301   225   305 0.76 -
21787at50557_123851_0:0009c4|STRG.5539.1:3333-4163|+   -            277 126015at50557        -            146     0.018   13.7   0.0   1   1   0.00014     0.035   12.8   0.0    74    93   214   233   193   268 0.85 -
21787at50557_307491_0:004719|STRG.2254.1:1109-1768|+   -            220 126015at50557        -            146     0.028   13.1   0.5   1   1   0.00023     0.059   12.0   0.5    62    93   151   182   137   187 0.80 -
21787at50557_29053_0:00139e|STRG.13968.5:209-628|+     -            140 126015at50557        -            146     0.041   12.6   0.0   1   1   0.00022     0.057   12.1   0.0    75    96    64    85    32   127 0.63 -
21787at50557_123851_0:0009c4|STRG.4103.1:3740-4471|+   -            244 126015at50557        -            146     0.056   12.1   0.0   1   1   0.00033     0.084   11.5   0.0    62    95   165   199   156   232 0.75 -
21787at50557_123851_0:0009c4|STRG.4103.2:3533-4264|+   -            244 126015at50557        -            146     0.056   12.1   0.0   1   1   0.00033     0.084   11.5   0.0    62    95   165   199   156   232 0.75 -
21787at50557_123851_0:0009c4|STRG.4103.3:3737-4468|+   -            244 126015at50557        -            146     0.056   12.1   0.0   1   1   0.00033     0.084   11.5   0.0    62    95   165   199   156   232 0.75 -
21787at50557_123851_0:0009c4|STRG.4103.4:3236-3967|+   -            244 126015at50557        -            146     0.056   12.1   0.0   1   1   0.00033     0.084   11.5   0.0    62    95   165   199   156   232 0.75 -
17115at50557_7493_0:000f73|STRG.19123.1:1058-2485|+    -            476 126015at50557        -            146     0.062   12.0   0.0   1   2       2.2   5.8e+02   -0.9   0.0    80    94   290   304   275   309 0.83 -
17115at50557_7493_0:000f73|STRG.19123.1:1058-2485|+    -            476 126015at50557        -            146     0.062   12.0   0.0   2   2    0.0013      0.34    9.6   0.0    72    98   308   334   298   342 0.84 -
17115at50557_7493_0:000f73|STRG.19123.2:1479-2906|+    -            476 126015at50557        -            146     0.062   12.0   0.0   1   2       2.2   5.8e+02   -0.9   0.0    80    94   290   304   275   309 0.83 -
17115at50557_7493_0:000f73|STRG.19123.2:1479-2906|+    -            476 126015at50557        -            146     0.062   12.0   0.0   2   2    0.0013      0.34    9.6   0.0    72    98   308   334   298   342 0.84 -
17115at50557_7493_0:000f73|STRG.19123.3:234-1661|+     -            476 126015at50557        -            146     0.062   12.0   0.0   1   2       2.2   5.8e+02   -0.9   0.0    80    94   290   304   275   309 0.83 -
17115at50557_7493_0:000f73|STRG.19123.3:234-1661|+     -            476 126015at50557        -            146     0.062   12.0   0.0   2   2    0.0013      0.34    9.6   0.0    72    98   308   334   298   342 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/126015at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/126015at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/126015at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:45 2024
# [ok]
