#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
74932at50557_103372_0:0007c3|STRG.15435.1:0-1115|+     -            372 74932at50557         -            280  1.3e-152  505.6   1.3   1   1  8.5e-155  1.6e-152  505.4   1.3     1   280    36   342    36   342 0.94 -
74932at50557_286706_0:00199c|STRG.12910.1:294-1307|+   -            338 74932at50557         -            280   1.7e-50  170.6   2.5   1   1   8.7e-51   1.6e-48  164.1   2.5     5   280    10   338     6   338 0.77 -
74932at50557_286706_0:00199c|STRG.12910.2:307-1320|+   -            338 74932at50557         -            280   1.7e-50  170.6   2.5   1   1   8.7e-51   1.6e-48  164.1   2.5     5   280    10   338     6   338 0.77 -
74932at50557_286706_0:00199c|STRG.12910.3:9-1004|+     -            332 74932at50557         -            280   2.7e-50  170.0   3.0   1   1   1.4e-50   2.5e-48  163.5   3.0    12   280    19   332     1   332 0.77 -
74932at50557_64838_0:002280|STRG.3633.1:166-1167|+     -            334 74932at50557         -            280   4.4e-34  116.8   0.0   1   3   6.9e-21   1.3e-18   66.1   0.0     2    67     3    75     2    94 0.90 -
74932at50557_64838_0:002280|STRG.3633.1:166-1167|+     -            334 74932at50557         -            280   4.4e-34  116.8   0.0   2   3      0.21        38    2.2   0.0    86   123   165   202   147   208 0.70 -
74932at50557_64838_0:002280|STRG.3633.1:166-1167|+     -            334 74932at50557         -            280   4.4e-34  116.8   0.0   3   3   1.2e-14   2.3e-12   45.6   0.0   160   280   205   334   194   334 0.87 -
74932at50557_64838_0:002280|STRG.3633.2:3-998|+        -            332 74932at50557         -            280   5.9e-34  116.4   0.0   1   3   9.3e-21   1.7e-18   65.6   0.0     3    67     2    73     1    92 0.89 -
74932at50557_64838_0:002280|STRG.3633.2:3-998|+        -            332 74932at50557         -            280   5.9e-34  116.4   0.0   2   3      0.23        43    2.0   0.0    86   120   163   197   145   205 0.70 -
74932at50557_64838_0:002280|STRG.3633.2:3-998|+        -            332 74932at50557         -            280   5.9e-34  116.4   0.0   3   3   9.9e-15   1.8e-12   45.9   0.0   158   280   201   332   188   332 0.87 -
73951at50557_34720_0:00262d|STRG.18404.2:38-1732|+     -            528 74932at50557         -            280   6.2e-22   76.9   3.7   1   2   1.8e-20   3.3e-18   64.7   0.6     2    63    82   151    81   161 0.90 -
73951at50557_34720_0:00262d|STRG.18404.2:38-1732|+     -            528 74932at50557         -            280   6.2e-22   76.9   3.7   2   2   0.00013     0.024   12.7   0.1   153   280   295   420   280   420 0.81 -
73951at50557_34720_0:00262d|STRG.18404.3:38-1621|+     -            528 74932at50557         -            280   6.2e-22   76.9   3.7   1   2   1.8e-20   3.3e-18   64.7   0.6     2    63    82   151    81   161 0.90 -
73951at50557_34720_0:00262d|STRG.18404.3:38-1621|+     -            528 74932at50557         -            280   6.2e-22   76.9   3.7   2   2   0.00013     0.024   12.7   0.1   153   280   295   420   280   420 0.81 -
109756at50557_1629725_0:000447|STRG.6590.1:285-497|+   -             71 74932at50557         -            280   7.5e-18   63.5   0.6   1   1   4.1e-20   7.5e-18   63.5   0.6    12    66    15    70     1    71 0.92 -
108140at50557_29031_0:00184e|STRG.6590.2:9-425|+       -            139 74932at50557         -            280   1.3e-17   62.8   3.6   1   2   1.6e-18     3e-16   58.3   0.4    12    80    16    86     1    94 0.85 -
108140at50557_29031_0:00184e|STRG.6590.2:9-425|+       -            139 74932at50557         -            280   1.3e-17   62.8   3.6   2   2     0.012       2.1    6.3   0.3    51    89    93   136    89   139 0.76 -
109756at50557_52612_0:003ea0|STRG.8003.1:244-465|+     -             74 74932at50557         -            280   5.7e-16   57.4   0.4   1   1   3.6e-18   6.7e-16   57.1   0.4     2    64     3    73     2    74 0.90 -
109756at50557_103372_0:00251e|STRG.3082.2:171-794|+    -            208 74932at50557         -            280   6.1e-15   54.0   0.1   1   1   4.2e-17   7.8e-15   53.6   0.1     5    62    13    78     9    97 0.85 -
109756at50557_103372_0:00251e|STRG.3082.3:171-860|+    -            230 74932at50557         -            280   7.5e-15   53.7   0.1   1   1   5.4e-17   9.9e-15   53.3   0.1     5    62    13    78     9    96 0.85 -
109756at50557_103372_0:00251e|STRG.3082.1:171-914|+    -            248 74932at50557         -            280   8.6e-15   53.5   0.1   1   1   6.2e-17   1.1e-14   53.1   0.1     5    62    13    78     9    96 0.85 -
74932at50557_64838_0:002280|STRG.6421.2:75-833|+       -            253 74932at50557         -            280   1.1e-14   53.1   0.1   1   3   1.4e-09   2.5e-07   29.0   0.1    12    68    34    89    17   108 0.87 -
74932at50557_64838_0:002280|STRG.6421.2:75-833|+       -            253 74932at50557         -            280   1.1e-14   53.1   0.1   2   3      0.37        68    1.3   0.0   197   242   131   177   112   185 0.74 -
74932at50557_64838_0:002280|STRG.6421.2:75-833|+       -            253 74932at50557         -            280   1.1e-14   53.1   0.1   3   3   1.1e-06    0.0002   19.5   0.0   164   228   185   253   180   253 0.91 -
