#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
139832at50557_39758_0:0016a4|STRG.9083.2:339-698|+     -            120 139832at50557        -             99     4e-18   64.1   1.2   1   1   7.6e-21   5.4e-18   63.7   1.2    24    92    54   120    31   120 0.90 -
75748at50557_535359_0:0007e6|STRG.9203.1:592-759|+     -             56 139832at50557        -             99   2.3e-14   52.1   0.4   1   1   3.3e-17   2.4e-14   52.1   0.4    31    82     5    54     1    56 0.92 -
75748at50557_535359_0:0007e6|STRG.9203.2:700-867|+     -             56 139832at50557        -             99   2.3e-14   52.1   0.4   1   1   3.3e-17   2.4e-14   52.1   0.4    31    82     5    54     1    56 0.92 -
139832at50557_326594_0:00063f|STRG.2744.1:624-959|+    -            112 139832at50557        -             99   5.7e-13   47.6   0.9   1   2         2   1.4e+03   -1.7   0.0    42    51    22    31    17    55 0.64 -
139832at50557_326594_0:00063f|STRG.2744.1:624-959|+    -            112 139832at50557        -             99   5.7e-13   47.6   0.9   2   2   1.3e-15   9.1e-13   47.0   0.5    29    81    62   112    45   112 0.90 -
139832at50557_315563_0:0025cb|STRG.17022.1:600-827|+   -             76 139832at50557        -             99   4.4e-11   41.6   0.6   1   1   7.6e-14   5.3e-11   41.3   0.6    28    81    25    76     4    76 0.86 -
139832at50557_7038_0:002dbe|STRG.10561.1:147-515|+     -            123 139832at50557        -             99   4.1e-10   38.5   1.8   1   3       4.9   3.5e+03   -3.0   0.0    56    64     2    10     1    16 0.81 -
139832at50557_7038_0:002dbe|STRG.10561.1:147-515|+     -            123 139832at50557        -             99   4.1e-10   38.5   1.8   2   3      0.38   2.7e+02    0.5   0.1    14    42    20    48    10    52 0.77 -
139832at50557_7038_0:002dbe|STRG.10561.1:147-515|+     -            123 139832at50557        -             99   4.1e-10   38.5   1.8   3   3   1.6e-12   1.1e-09   37.1   0.0    30    82    66   116    56   122 0.87 -
75748at50557_34720_0:000cd7|STRG.6307.1:1-1599|+       -            533 139832at50557        -             99   1.1e-05   24.3   0.2   1   1   3.8e-08   2.7e-05   23.0   0.2    19    83    65   127    42   142 0.81 -
114148at50557_110193_0:0001b8|STRG.11791.1:2409-2936|+ -            176 139832at50557        -             99    0.0005   18.9   0.5   1   2   6.7e-06    0.0047   15.8   0.2    38    82    12    56     2    67 0.84 -
114148at50557_110193_0:0001b8|STRG.11791.1:2409-2936|+ -            176 139832at50557        -             99    0.0005   18.9   0.5   2   2      0.23   1.6e+02    1.3   0.0    43    57    62    76    56    88 0.84 -
114148at50557_110193_0:0001b8|STRG.11791.2:2797-3324|+ -            176 139832at50557        -             99    0.0005   18.9   0.5   1   2   6.7e-06    0.0047   15.8   0.2    38    82    12    56     2    67 0.84 -
114148at50557_110193_0:0001b8|STRG.11791.2:2797-3324|+ -            176 139832at50557        -             99    0.0005   18.9   0.5   2   2      0.23   1.6e+02    1.3   0.0    43    57    62    76    56    88 0.84 -
114148at50557_110193_0:0001b8|STRG.11791.3:2504-3031|+ -            176 139832at50557        -             99    0.0005   18.9   0.5   1   2   6.7e-06    0.0047   15.8   0.2    38    82    12    56     2    67 0.84 -
114148at50557_110193_0:0001b8|STRG.11791.3:2504-3031|+ -            176 139832at50557        -             99    0.0005   18.9   0.5   2   2      0.23   1.6e+02    1.3   0.0    43    57    62    76    56    88 0.84 -
114148at50557_110193_0:0001b8|STRG.11791.4:2500-3027|+ -            176 139832at50557        -             99    0.0005   18.9   0.5   1   2   6.7e-06    0.0047   15.8   0.2    38    82    12    56     2    67 0.84 -
114148at50557_110193_0:0001b8|STRG.11791.4:2500-3027|+ -            176 139832at50557        -             99    0.0005   18.9   0.5   2   2      0.23   1.6e+02    1.3   0.0    43    57    62    76    56    88 0.84 -
114148at50557_110193_0:0001b8|STRG.11791.5:2793-3320|+ -            176 139832at50557        -             99    0.0005   18.9   0.5   1   2   6.7e-06    0.0047   15.8   0.2    38    82    12    56     2    67 0.84 -
114148at50557_110193_0:0001b8|STRG.11791.5:2793-3320|+ -            176 139832at50557        -             99    0.0005   18.9   0.5   2   2      0.23   1.6e+02    1.3   0.0    43    57    62    76    56    88 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/139832at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/139832at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/139832at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:53:05 2024
# [ok]
