#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111744at50557_103372_0:001abd|STRG.17077.1:0-1172|+    -            391 111744at50557        -            301  1.1e-123  411.1  17.3   1   1  7.6e-123    2e-120  400.5  17.3     1   301    22   387    22   387 0.86 -
92128at50557_116153_0:00269b|STRG.4854.1:850-1764|+    -            305 111744at50557        -            301   9.4e-15   53.5   8.8   1   2     0.033       8.8    4.3   7.3     7    83     2    65     1   123 0.74 -
92128at50557_116153_0:00269b|STRG.4854.1:850-1764|+    -            305 111744at50557        -            301   9.4e-15   53.5   8.8   2   2   1.6e-15   4.2e-13   48.1   0.0   215   288   225   302   223   304 0.78 -
92128at50557_116153_0:00269b|STRG.4854.2:850-1764|+    -            305 111744at50557        -            301   9.4e-15   53.5   8.8   1   2     0.033       8.8    4.3   7.3     7    83     2    65     1   123 0.74 -
92128at50557_116153_0:00269b|STRG.4854.2:850-1764|+    -            305 111744at50557        -            301   9.4e-15   53.5   8.8   2   2   1.6e-15   4.2e-13   48.1   0.0   215   288   225   302   223   304 0.78 -
92128at50557_103372_0:00151f|STRG.8693.3:197-1492|+    -            432 111744at50557        -            301   2.8e-12   45.4   5.1   1   1   3.6e-11   9.5e-09   33.8   5.1   212   290   168   250     1   257 0.87 -
92128at50557_103372_0:00151f|STRG.8693.4:431-1758|+    -            432 111744at50557        -            301   2.8e-12   45.4   5.1   1   1   3.6e-11   9.5e-09   33.8   5.1   212   290   168   250     1   257 0.87 -
92128at50557_103372_0:00151f|STRG.8693.1:776-2107|+    -            444 111744at50557        -            301   4.2e-10   38.2   6.2   1   2      0.55   1.5e+02    0.3   3.5    58   112    45   102    13   173 0.66 -
92128at50557_103372_0:00151f|STRG.8693.1:776-2107|+    -            444 111744at50557        -            301   4.2e-10   38.2   6.2   2   2   1.6e-12   4.4e-10   38.2   0.1   212   290   180   262   139   269 0.79 -
92128at50557_103372_0:00151f|STRG.8693.2:929-2260|+    -            444 111744at50557        -            301   4.2e-10   38.2   6.2   1   2      0.55   1.5e+02    0.3   3.5    58   112    45   102    13   173 0.66 -
92128at50557_103372_0:00151f|STRG.8693.2:929-2260|+    -            444 111744at50557        -            301   4.2e-10   38.2   6.2   2   2   1.6e-12   4.4e-10   38.2   0.1   212   290   180   262   139   269 0.79 -
92128at50557_326594_0:0008e0|STRG.19410.1:594-1667|+   -            358 111744at50557        -            301   1.2e-09   36.7   0.4   1   2       0.7   1.9e+02   -0.0   2.3    56    83    35    69     8    83 0.72 -
92128at50557_326594_0:0008e0|STRG.19410.1:594-1667|+   -            358 111744at50557        -            301   1.2e-09   36.7   0.4   2   2   4.5e-12   1.2e-09   36.7   0.4   214   290   237   318   185   323 0.85 -
92128at50557_1629725_0:001ccd|STRG.6133.1:774-1817|+   -            348 111744at50557        -            301   3.6e-09   35.2   2.0   1   2       0.1        27    2.7   2.0    34   103    24    87     1   109 0.60 -
