#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
28600at50557_520822_0:000c07|STRG.6896.1:438-1517|+    -            360 28600at50557         -            507  1.7e-163  543.9   0.5   1   1  3.7e-165  2.1e-163  543.6   0.5     1   307    10   345    10   355 0.92 -
140221at50557_568069_0:001a32|STRG.19422.1:740-1204|+  -            155 28600at50557         -            507     4e-13   47.8   0.0   1   1   8.2e-15   4.6e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.19422.2:142-606|+   -            155 28600at50557         -            507     4e-13   47.8   0.0   1   1   8.2e-15   4.6e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.19422.3:1195-1659|+ -            155 28600at50557         -            507     4e-13   47.8   0.0   1   1   8.2e-15   4.6e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.19422.4:136-600|+   -            155 28600at50557         -            507     4e-13   47.8   0.0   1   1   8.2e-15   4.6e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.19422.5:227-691|+   -            155 28600at50557         -            507     4e-13   47.8   0.0   1   1   8.2e-15   4.6e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.19422.6:495-959|+   -            155 28600at50557         -            507     4e-13   47.8   0.0   1   1   8.2e-15   4.6e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
140221at50557_568069_0:001a32|STRG.19422.7:18-482|+    -            155 28600at50557         -            507     4e-13   47.8   0.0   1   1   8.2e-15   4.6e-13   47.6   0.0     5   123     2   129     1   136 0.84 -
28600at50557_39758_0:00020c|STRG.6895.1:0-194|+        -             65 28600at50557         -            507   1.6e-12   45.8   0.2   1   1   3.9e-14   2.2e-12   45.4   0.2   441   488     1    65     1    65 0.80 -
28600at50557_39758_0:00020c|STRG.6895.2:0-194|+        -             65 28600at50557         -            507   1.6e-12   45.8   0.2   1   1   3.9e-14   2.2e-12   45.4   0.2   441   488     1    65     1    65 0.80 -
28600at50557_39758_0:00020c|STRG.6895.3:0-194|+        -             65 28600at50557         -            507   1.6e-12   45.8   0.2   1   1   3.9e-14   2.2e-12   45.4   0.2   441   488     1    65     1    65 0.80 -
