#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
120971at50557_7038_0:00060a|STRG.11351.1:0-391|-     -             99 120971at50557        -            121   4.2e-40  135.6  11.1   1   1   5.6e-43   4.7e-40  135.4  11.1     1    84     8    99     8    99 0.94 -
50275at50557_28612_0:005a60|STRG.5320.1:2760-3320|+  -            187 120971at50557        -            121   9.7e-17   60.1  25.6   1   3   7.5e-08   6.4e-05   22.0   2.7    45    92    11    58     5    68 0.86 -
50275at50557_28612_0:005a60|STRG.5320.1:2760-3320|+  -            187 120971at50557        -            121   9.7e-17   60.1  25.6   2   3   5.4e-05     0.046   12.7   3.2    27    62    60    97    53   107 0.50 -
50275at50557_28612_0:005a60|STRG.5320.1:2760-3320|+  -            187 120971at50557        -            121   9.7e-17   60.1  25.6   3   3     2e-12   1.7e-09   36.7   6.7     6    76   108   186   103   187 0.86 -
50275at50557_103372_0:001400|STRG.2327.1:553-2880|+  -            776 120971at50557        -            121   1.8e-12   46.4  25.7   1   3   1.5e-05     0.013   14.5  11.3     1    74    53   132    53   136 0.73 -
50275at50557_103372_0:001400|STRG.2327.1:553-2880|+  -            776 120971at50557        -            121   1.8e-12   46.4  25.7   2   3   5.4e-05     0.046   12.7   5.1     9    63   129   191   126   197 0.76 -
50275at50557_103372_0:001400|STRG.2327.1:553-2880|+  -            776 120971at50557        -            121   1.8e-12   46.4  25.7   3   3   1.3e-08   1.1e-05   24.4   0.1    46   106   338   401   307   412 0.86 -
50275at50557_103372_0:001400|STRG.2327.3:905-3232|+  -            776 120971at50557        -            121   1.8e-12   46.4  25.7   1   3   1.5e-05     0.013   14.5  11.3     1    74    53   132    53   136 0.73 -
50275at50557_103372_0:001400|STRG.2327.3:905-3232|+  -            776 120971at50557        -            121   1.8e-12   46.4  25.7   2   3   5.4e-05     0.046   12.7   5.1     9    63   129   191   126   197 0.76 -
50275at50557_103372_0:001400|STRG.2327.3:905-3232|+  -            776 120971at50557        -            121   1.8e-12   46.4  25.7   3   3   1.3e-08   1.1e-05   24.4   0.1    46   106   338   401   307   412 0.86 -
50275at50557_103372_0:001400|STRG.2327.5:406-2733|+  -            776 120971at50557        -            121   1.8e-12   46.4  25.7   1   3   1.5e-05     0.013   14.5  11.3     1    74    53   132    53   136 0.73 -
50275at50557_103372_0:001400|STRG.2327.5:406-2733|+  -            776 120971at50557        -            121   1.8e-12   46.4  25.7   2   3   5.4e-05     0.046   12.7   5.1     9    63   129   191   126   197 0.76 -
50275at50557_103372_0:001400|STRG.2327.5:406-2733|+  -            776 120971at50557        -            121   1.8e-12   46.4  25.7   3   3   1.3e-08   1.1e-05   24.4   0.1    46   106   338   401   307   412 0.86 -
50275at50557_103372_0:001400|STRG.2327.2:767-3193|+  -            809 120971at50557        -            121   2.2e-12   46.1  25.8   1   3   2.9e-05     0.025   13.6  12.4     1    75    53   133    53   139 0.74 -
50275at50557_103372_0:001400|STRG.2327.2:767-3193|+  -            809 120971at50557        -            121   2.2e-12   46.1  25.8   2   3   5.7e-05     0.048   12.7   5.0     9    63   129   191   126   196 0.76 -
50275at50557_103372_0:001400|STRG.2327.2:767-3193|+  -            809 120971at50557        -            121   2.2e-12   46.1  25.8   3   3   1.4e-08   1.2e-05   24.4   0.1    46   106   338   401   307   412 0.86 -
50275at50557_103372_0:001400|STRG.2327.4:771-3197|+  -            809 120971at50557        -            121   2.2e-12   46.1  25.8   1   3   2.9e-05     0.025   13.6  12.4     1    75    53   133    53   139 0.74 -
50275at50557_103372_0:001400|STRG.2327.4:771-3197|+  -            809 120971at50557        -            121   2.2e-12   46.1  25.8   2   3   5.7e-05     0.048   12.7   5.0     9    63   129   191   126   196 0.76 -
50275at50557_103372_0:001400|STRG.2327.4:771-3197|+  -            809 120971at50557        -            121   2.2e-12   46.1  25.8   3   3   1.4e-08   1.2e-05   24.4   0.1    46   106   338   401   307   412 0.86 -
50275at50557_103372_0:001400|STRG.2327.6:290-2716|+  -            809 120971at50557        -            121   2.2e-12   46.1  25.8   1   3   2.9e-05     0.025   13.6  12.4     1    75    53   133    53   139 0.74 -
50275at50557_103372_0:001400|STRG.2327.6:290-2716|+  -            809 120971at50557        -            121   2.2e-12   46.1  25.8   2   3   5.7e-05     0.048   12.7   5.0     9    63   129   191   126   196 0.76 -
50275at50557_103372_0:001400|STRG.2327.6:290-2716|+  -            809 120971at50557        -            121   2.2e-12   46.1  25.8   3   3   1.4e-08   1.2e-05   24.4   0.1    46   106   338   401   307   412 0.86 -
120971at50557_54969_0:0040c5|STRG.1477.1:1759-2058|+ -            100 120971at50557        -            121   6.6e-11   41.3  13.4   1   2   7.4e-10   6.3e-07   28.4   5.2    33    88     9    65     1    66 0.85 -
120971at50557_54969_0:0040c5|STRG.1477.1:1759-2058|+ -            100 120971at50557        -            121   6.6e-11   41.3  13.4   2   2   8.2e-07    0.0007   18.6   1.4    42    76    65    99    62   100 0.92 -
120971at50557_34740_0:002cd7|STRG.5320.1:3153-3422|+ -             90 120971at50557        -            121   1.1e-10   40.6   7.7   1   1     2e-13   1.7e-10   40.0   7.7     6    78     1    81     1    89 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/120971at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/120971at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/120971at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:40 2024
# [ok]
