#                                                                                                               --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                           accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                   ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
107413at50557_610380_0:0005dc|STRG.9420.3:162-1023|+    -            276 107413at50557        -             88   2.5e-35  119.6   2.6   1   1   2.6e-36   1.6e-34  117.0   2.6     1    88   158   264   158   264 0.85 -
107413at50557_103372_0:00285a|STRG.9420.2:0-896|+       -            299 107413at50557        -             88   2.8e-35  119.5   2.5   1   1   2.8e-36   1.7e-34  117.0   2.5     1    88   181   287   181   287 0.85 -
107413at50557_64793_0:00239e|STRG.9420.1:111-1244|+     -            378 107413at50557        -             88   5.2e-35  118.6   2.5   1   1   4.4e-36   2.7e-34  116.3   2.5     1    88   261   367   261   367 0.85 -
98621at50557_286706_0:000660|STRG.13254.1:95-820|+      -            242 107413at50557        -             88   9.3e-19   66.5   0.7   1   1   1.5e-19   9.4e-18   63.3   0.7    23    88   169   237   131   237 0.73 -
98621at50557_286706_0:000660|STRG.13254.2:95-832|+      -            246 107413at50557        -             88   1.1e-18   66.3   0.7   1   1   1.6e-19   9.7e-18   63.3   0.7    23    88   173   241   135   241 0.73 -
45935at50557_67767_0:003589|STRG.6868.1:25-744|+        -            240 107413at50557        -             88   1.1e-18   66.3   6.9   1   2     0.028       1.7    8.0   0.0     1    36   121   158   121   166 0.75 -
45935at50557_67767_0:003589|STRG.6868.1:25-744|+        -            240 107413at50557        -             88   1.1e-18   66.3   6.9   2   2   2.9e-18   1.8e-16   59.2   3.4    28    88   171   232   156   232 0.89 -
45935at50557_67767_0:003589|STRG.6868.5:2292-3197|+     -            302 107413at50557        -             88   1.8e-18   65.6   6.5   1   2     0.039       2.4    7.5   0.0     1    36   183   220   183   228 0.75 -
45935at50557_67767_0:003589|STRG.6868.5:2292-3197|+     -            302 107413at50557        -             88   1.8e-18   65.6   6.5   2   2   4.8e-18   2.9e-16   58.5   3.4    28    88   233   294   219   294 0.90 -
45935at50557_67767_0:003589|STRG.6868.3:1614-2525|+     -            304 107413at50557        -             88   1.8e-18   65.6   6.5   1   2      0.04       2.5    7.5   0.0     1    36   185   222   185   230 0.75 -
45935at50557_67767_0:003589|STRG.6868.3:1614-2525|+     -            304 107413at50557        -             88   1.8e-18   65.6   6.5   2   2   4.8e-18     3e-16   58.5   3.4    28    88   235   296   221   296 0.90 -
45935at50557_67767_0:003589|STRG.6868.4:1500-2411|+     -            304 107413at50557        -             88   1.8e-18   65.6   6.5   1   2      0.04       2.5    7.5   0.0     1    36   185   222   185   230 0.75 -
45935at50557_67767_0:003589|STRG.6868.4:1500-2411|+     -            304 107413at50557        -             88   1.8e-18   65.6   6.5   2   2   4.8e-18     3e-16   58.5   3.4    28    88   235   296   221   296 0.90 -
45935at50557_67767_0:003589|STRG.6868.6:1509-2420|+     -            304 107413at50557        -             88   1.8e-18   65.6   6.5   1   2      0.04       2.5    7.5   0.0     1    36   185   222   185   230 0.75 -
45935at50557_67767_0:003589|STRG.6868.6:1509-2420|+     -            304 107413at50557        -             88   1.8e-18   65.6   6.5   2   2   4.8e-18     3e-16   58.5   3.4    28    88   235   296   221   296 0.90 -
98621at50557_28612_0:00515f|STRG.15035.2:5274-6302|+    -            260 107413at50557        -             88   7.1e-18   63.7   1.5   1   1   2.4e-17   1.5e-15   56.3   1.5     1    88   126   231   126   231 0.74 -
