#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
104832at50557_34720_0:0019e7|STRG.12238.1:0-815|+      -            272 104832at50557        -            207   7.9e-76  253.1  15.2   1   1   1.9e-76   3.7e-74  247.6  15.2     1   205     1   258     1   262 0.82 -
117816at50557_69004_0:00324f|STRG.7379.1:661-1704|+    -            348 104832at50557        -            207   2.5e-12   45.7   3.8   1   4      0.52     1e+02    1.2   0.0   145   164    44    63    29    87 0.77 -
117816at50557_69004_0:00324f|STRG.7379.1:661-1704|+    -            348 104832at50557        -            207   2.5e-12   45.7   3.8   2   4   0.00056      0.11   10.9   0.1   125   166   106   152    98   178 0.78 -
117816at50557_69004_0:00324f|STRG.7379.1:661-1704|+    -            348 104832at50557        -            207   2.5e-12   45.7   3.8   3   4   1.5e-05    0.0028   16.1   0.3   124   165   198   244   154   270 0.69 -
117816at50557_69004_0:00324f|STRG.7379.1:661-1704|+    -            348 104832at50557        -            207   2.5e-12   45.7   3.8   4   4   1.9e-05    0.0036   15.8   0.2   121   166   295   348   256   348 0.69 -
117816at50557_69004_0:00324f|STRG.7378.1:33-1076|+     -            348 104832at50557        -            207   3.6e-12   45.1   2.6   1   4      0.43        83    1.5   0.0   145   166    44    65    24    87 0.79 -
117816at50557_69004_0:00324f|STRG.7378.1:33-1076|+     -            348 104832at50557        -            207   3.6e-12   45.1   2.6   2   4   0.00029     0.056   11.9   0.1   125   166   106   152    97   179 0.78 -
117816at50557_69004_0:00324f|STRG.7378.1:33-1076|+     -            348 104832at50557        -            207   3.6e-12   45.1   2.6   3   4   0.00011     0.021   13.2   0.1   124   165   198   244   156   267 0.79 -
117816at50557_69004_0:00324f|STRG.7378.1:33-1076|+     -            348 104832at50557        -            207   3.6e-12   45.1   2.6   4   4   1.9e-05    0.0037   15.7   0.2   121   166   295   348   258   348 0.69 -
83433at50557_108931_0:0027fa|STRG.7379.2:1287-2126|+   -            280 104832at50557        -            207   4.2e-12   44.9   3.9   1   3   0.00042     0.081   11.3   0.1   125   165    27    72    18    93 0.78 -
83433at50557_108931_0:0027fa|STRG.7379.2:1287-2126|+   -            280 104832at50557        -            207   4.2e-12   44.9   3.9   2   3     1e-05    0.0019   16.6   0.3   124   165   119   165    77   191 0.69 -
83433at50557_108931_0:0027fa|STRG.7379.2:1287-2126|+   -            280 104832at50557        -            207   4.2e-12   44.9   3.9   3   3   7.6e-06    0.0015   17.0   0.2   121   166   216   269   177   275 0.70 -
83433at50557_166361_0:0030d8|STRG.19865.9:529-1089|+   -            187 104832at50557        -            207   7.9e-07   27.7   0.1   1   2   0.00086      0.17   10.3   0.0   145   175    35    69    18    83 0.78 -
83433at50557_166361_0:0030d8|STRG.19865.9:529-1089|+   -            187 104832at50557        -            207   7.9e-07   27.7   0.1   2   2   2.1e-05    0.0041   15.6   0.0   124   167    94   143    75   182 0.76 -
117816at50557_29058_0:000b65|STRG.19865.10:520-993|+   -            158 104832at50557        -            207   8.3e-07   27.6   0.1   1   2   0.00063      0.12   10.8   0.0   145   175    38    72    21    86 0.78 -
117816at50557_29058_0:000b65|STRG.19865.10:520-993|+   -            158 104832at50557        -            207   8.3e-07   27.6   0.1   2   2     3e-05    0.0058   15.1   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.19865.1:1542-2015|+  -            158 104832at50557        -            207   8.3e-07   27.6   0.1   1   2   0.00063      0.12   10.8   0.0   145   175    38    72    21    86 0.78 -
117816at50557_29058_0:000b65|STRG.19865.1:1542-2015|+  -            158 104832at50557        -            207   8.3e-07   27.6   0.1   2   2     3e-05    0.0058   15.1   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.19865.2:1666-2139|+  -            158 104832at50557        -            207   8.3e-07   27.6   0.1   1   2   0.00063      0.12   10.8   0.0   145   175    38    72    21    86 0.78 -
117816at50557_29058_0:000b65|STRG.19865.2:1666-2139|+  -            158 104832at50557        -            207   8.3e-07   27.6   0.1   2   2     3e-05    0.0058   15.1   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.19865.4:1531-2004|+  -            158 104832at50557        -            207   8.3e-07   27.6   0.1   1   2   0.00063      0.12   10.8   0.0   145   175    38    72    21    86 0.78 -
117816at50557_29058_0:000b65|STRG.19865.4:1531-2004|+  -            158 104832at50557        -            207   8.3e-07   27.6   0.1   2   2     3e-05    0.0058   15.1   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.19865.5:395-868|+    -            158 104832at50557        -            207   8.3e-07   27.6   0.1   1   2   0.00063      0.12   10.8   0.0   145   175    38    72    21    86 0.78 -
117816at50557_29058_0:000b65|STRG.19865.5:395-868|+    -            158 104832at50557        -            207   8.3e-07   27.6   0.1   2   2     3e-05    0.0058   15.1   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.19865.6:875-1348|+   -            158 104832at50557        -            207   8.3e-07   27.6   0.1   1   2   0.00063      0.12   10.8   0.0   145   175    38    72    21    86 0.78 -
117816at50557_29058_0:000b65|STRG.19865.6:875-1348|+   -            158 104832at50557        -            207   8.3e-07   27.6   0.1   2   2     3e-05    0.0058   15.1   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.19865.7:347-820|+    -            158 104832at50557        -            207   8.3e-07   27.6   0.1   1   2   0.00063      0.12   10.8   0.0   145   175    38    72    21    86 0.78 -
117816at50557_29058_0:000b65|STRG.19865.7:347-820|+    -            158 104832at50557        -            207   8.3e-07   27.6   0.1   2   2     3e-05    0.0058   15.1   0.0   124   166    97   145    73   150 0.81 -
117816at50557_29058_0:000b65|STRG.19865.8:520-993|+    -            158 104832at50557        -            207   8.3e-07   27.6   0.1   1   2   0.00063      0.12   10.8   0.0   145   175    38    72    21    86 0.78 -
117816at50557_29058_0:000b65|STRG.19865.8:520-993|+    -            158 104832at50557        -            207   8.3e-07   27.6   0.1   2   2     3e-05    0.0058   15.1   0.0   124   166    97   145    73   150 0.81 -
117816at50557_7200_0:0014c2|STRG.19231.4:812-1744|+    -            311 104832at50557        -            207   2.2e-06   26.3   0.0   1   3    0.0013      0.24    9.8   0.0   144   176    33    69    18    92 0.79 -
117816at50557_7200_0:0014c2|STRG.19231.4:812-1744|+    -            311 104832at50557        -            207   2.2e-06   26.3   0.0   2   3    0.0022      0.42    9.0   0.0   142   167   130   155   126   176 0.87 -
117816at50557_7200_0:0014c2|STRG.19231.4:812-1744|+    -            311 104832at50557        -            207   2.2e-06   26.3   0.0   3   3     0.092        18    3.7   0.0   132   165   259   292   252   310 0.76 -
117816at50557_7200_0:000429|STRG.19231.2:758-1270|+    -            171 104832at50557        -            207   6.4e-06   24.7   0.0   1   2    0.0004     0.077   11.4   0.0   144   177    33    70    16    94 0.78 -
117816at50557_7200_0:000429|STRG.19231.2:758-1270|+    -            171 104832at50557        -            207   6.4e-06   24.7   0.0   2   2   0.00028     0.054   11.9   0.0   140   167   115   142    75   162 0.80 -
117816at50557_123851_0:00306e|STRG.19231.3:1430-2038|+ -            203 104832at50557        -            207   1.1e-05   24.0   0.0   1   2   0.00063      0.12   10.8   0.0   144   177    33    70    19    92 0.79 -
117816at50557_123851_0:00306e|STRG.19231.3:1430-2038|+ -            203 104832at50557        -            207   1.1e-05   24.0   0.0   2   2   0.00045     0.088   11.2   0.0   140   167   115   142    92   163 0.79 -
104832at50557_315563_0:002a5b|STRG.3804.1:1238-1861|+  -            208 104832at50557        -            207   6.6e-05   21.4   0.1   1   2      0.21        40    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.3804.1:1238-1861|+  -            208 104832at50557        -            207   6.6e-05   21.4   0.1   2   2   7.6e-06    0.0015   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.3804.3:1238-1861|+  -            208 104832at50557        -            207   6.6e-05   21.4   0.1   1   2      0.21        40    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.3804.3:1238-1861|+  -            208 104832at50557        -            207   6.6e-05   21.4   0.1   2   2   7.6e-06    0.0015   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.3804.4:1238-1861|+  -            208 104832at50557        -            207   6.6e-05   21.4   0.1   1   2      0.21        40    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.3804.4:1238-1861|+  -            208 104832at50557        -            207   6.6e-05   21.4   0.1   2   2   7.6e-06    0.0015   17.0   0.0   127   176   153   206   138   208 0.81 -
104832at50557_315563_0:002a5b|STRG.3804.5:1290-1913|+  -            208 104832at50557        -            207   6.6e-05   21.4   0.1   1   2      0.21        40    2.5   0.0   106   165    46   115    36   138 0.70 -
104832at50557_315563_0:002a5b|STRG.3804.5:1290-1913|+  -            208 104832at50557        -            207   6.6e-05   21.4   0.1   2   2   7.6e-06    0.0015   17.0   0.0   127   176   153   206   138   208 0.81 -
129956at50557_29053_0:00060a|STRG.18741.5:83-391|+     -            103 104832at50557        -            207   0.00025   19.6   0.1   1   1   1.4e-06   0.00027   19.5   0.1   112   179    14    98     5   103 0.71 -
129956at50557_441921_0:0017da|STRG.7379.1:1207-1437|+  -             77 104832at50557        -            207   0.00026   19.5   0.0   1   1   1.6e-06    0.0003   19.3   0.0   124   165    16    62     6    71 0.75 -
117816at50557_7493_0:002cdd|STRG.17276.1:966-1442|+    -            159 104832at50557        -            207   0.00086   17.8   0.1   1   2     0.023       4.5    5.6   0.0   142   168    37    63     8    88 0.72 -
117816at50557_7493_0:002cdd|STRG.17276.1:966-1442|+    -            159 104832at50557        -            207   0.00086   17.8   0.1   2   2   0.00085      0.16   10.4   0.0   140   165   126   151    94   157 0.75 -
129956at50557_441921_0:0017da|STRG.7378.1:579-809|+    -             77 104832at50557        -            207    0.0015   17.0   0.0   1   1   8.9e-06    0.0017   16.8   0.0   124   165    16    62     9    71 0.79 -
129956at50557_13686_0:0011f5|STRG.15542.1:763-990|+    -             76 104832at50557        -            207    0.0015   17.0   0.0   1   1   9.1e-06    0.0018   16.8   0.0   121   164     9    62     4    72 0.73 -
129956at50557_13686_0:0011f5|STRG.15542.2:650-877|+    -             76 104832at50557        -            207    0.0015   17.0   0.0   1   1   9.1e-06    0.0018   16.8   0.0   121   164     9    62     4    72 0.73 -
117816at50557_69004_0:00324f|STRG.17078.4:446-1009|+   -            188 104832at50557        -            207    0.0023   16.4   0.0   1   2    0.0041      0.79    8.1   0.0   130   166    22    64     5    82 0.70 -
117816at50557_69004_0:00324f|STRG.17078.4:446-1009|+   -            188 104832at50557        -            207    0.0023   16.4   0.0   2   2     0.014       2.6    6.4   0.0   138   163   155   180    97   184 0.64 -
117816at50557_121225_0:000cee|STRG.487.1:257-760|+     -            168 104832at50557        -            207    0.0048   15.4   0.1   1   2    0.0079       1.5    7.2   0.0   114   167     4    69     1    88 0.70 -
117816at50557_121225_0:000cee|STRG.487.1:257-760|+     -            168 104832at50557        -            207    0.0048   15.4   0.1   2   2    0.0096       1.8    6.9   0.0   141   166   132   157    77   168 0.80 -
117816at50557_121225_0:000cee|STRG.487.2:27-530|+      -            168 104832at50557        -            207    0.0048   15.4   0.1   1   2    0.0079       1.5    7.2   0.0   114   167     4    69     1    88 0.70 -
117816at50557_121225_0:000cee|STRG.487.2:27-530|+      -            168 104832at50557        -            207    0.0048   15.4   0.1   2   2    0.0096       1.8    6.9   0.0   141   166   132   157    77   168 0.80 -
49780at50557_13686_0:001eb7|STRG.10742.1:0-2315|+      -            772 104832at50557        -            207     0.006   15.0   0.0   1   3      0.18        35    2.7   0.0   128   160   129   162   116   198 0.82 -
49780at50557_13686_0:001eb7|STRG.10742.1:0-2315|+      -            772 104832at50557        -            207     0.006   15.0   0.0   2   3      0.84   1.6e+02    0.6   0.0   143   166   349   372   304   392 0.80 -
49780at50557_13686_0:001eb7|STRG.10742.1:0-2315|+      -            772 104832at50557        -            207     0.006   15.0   0.0   3   3    0.0083       1.6    7.1   0.0   128   164   410   446   404   458 0.92 -
129956at50557_7176_0:003daf|STRG.7164.2:2171-2386|+    -             72 104832at50557        -            207    0.0067   14.9   0.0   1   1   3.5e-05    0.0067   14.9   0.0   136   169    34    64     9    72 0.72 -
129956at50557_7176_0:003daf|STRG.7164.5:2093-2308|+    -             72 104832at50557        -            207    0.0067   14.9   0.0   1   1   3.5e-05    0.0067   14.9   0.0   136   169    34    64     9    72 0.72 -
129956at50557_7176_0:003daf|STRG.7164.6:1667-1882|+    -             72 104832at50557        -            207    0.0067   14.9   0.0   1   1   3.5e-05    0.0067   14.9   0.0   136   169    34    64     9    72 0.72 -
129956at50557_7159_0:0030fc|STRG.17276.2:291-530|+     -             80 104832at50557        -            207     0.021   13.3   0.0   1   1   0.00011     0.021   13.3   0.0   140   166    38    64     7    79 0.72 -
129956at50557_222816_0:00218d|STRG.11745.1:1216-1431|+ -             72 104832at50557        -            207     0.027   12.9   0.0   1   1   0.00016     0.031   12.7   0.0   129   166    21    62    16    70 0.74 -
129956at50557_222816_0:00218d|STRG.11745.2:1216-1431|+ -             72 104832at50557        -            207     0.027   12.9   0.0   1   1   0.00016     0.031   12.7   0.0   129   166    21    62    16    70 0.74 -
129956at50557_222816_0:00218d|STRG.11745.3:586-801|+   -             72 104832at50557        -            207     0.027   12.9   0.0   1   1   0.00016     0.031   12.7   0.0   129   166    21    62    16    70 0.74 -
129956at50557_7536_0:0043e4|STRG.2649.3:125-478|+      -            118 104832at50557        -            207     0.031   12.7   0.0   1   1   0.00023     0.044   12.2   0.0   141   164    39    62     5    78 0.77 -
129956at50557_7536_0:0043e4|STRG.2649.8:125-478|+      -            118 104832at50557        -            207     0.031   12.7   0.0   1   1   0.00023     0.044   12.2   0.0   141   164    39    62     5    78 0.77 -
83433at50557_133901_0:001dd1|STRG.12456.2:0-521|+      -            174 104832at50557        -            207     0.032   12.7   0.0   1   2       1.7   3.3e+02   -0.4   0.0   137   153    34    52    13    65 0.67 -
