#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108301at50557_103372_0:000620|STRG.14324.1:213-1013|+ -            267 108301at50557        -            228  4.2e-109  362.2  11.8   1   1  3.3e-111  5.6e-109  361.8  11.8     1   227    13   266    13   267 0.97 -
108301at50557_286306_0:003cb7|STRG.14324.2:213-1006|+ -            244 108301at50557        -            228   3.1e-89  297.2  15.1   1   2   6.4e-36   1.1e-33  115.5   8.4     1   109    13   147    13   149 0.96 -
108301at50557_286306_0:003cb7|STRG.14324.2:213-1006|+ -            244 108301at50557        -            228   3.1e-89  297.2  15.1   2   2   1.4e-57   2.4e-55  186.3   0.5   132   227   149   244   147   244 0.99 -
108301at50557_67767_0:0036a8|STRG.14324.2:650-1009|+  -            120 108301at50557        -            228   5.3e-71  237.6   0.6   1   1   3.4e-73   5.8e-71  237.4   0.6   110   227     2   119     1   120 0.99 -
35300at50557_34720_0:001070|STRG.7985.2:0-3194|+      -           1065 108301at50557        -            228   2.3e-64  215.9  36.8   1   7   2.3e-32     4e-30  103.8   2.5    39   152    19   132     3   163 0.90 -
35300at50557_34720_0:001070|STRG.7985.2:0-3194|+      -           1065 108301at50557        -            228   2.3e-64  215.9  36.8   2   7      0.62   1.1e+02    1.0   0.0   112   158   221   273   211   284 0.75 -
35300at50557_34720_0:001070|STRG.7985.2:0-3194|+      -           1065 108301at50557        -            228   2.3e-64  215.9  36.8   3   7   0.00045     0.078   11.3   0.0    99   162   286   349   276   359 0.92 -
35300at50557_34720_0:001070|STRG.7985.2:0-3194|+      -           1065 108301at50557        -            228   2.3e-64  215.9  36.8   4   7   1.2e-28     2e-26   91.7   5.3    24   155   535   664   514   671 0.85 -
35300at50557_34720_0:001070|STRG.7985.2:0-3194|+      -           1065 108301at50557        -            228   2.3e-64  215.9  36.8   5   7      0.43        74    1.5   0.0   123   164   764   805   737   813 0.78 -
35300at50557_34720_0:001070|STRG.7985.2:0-3194|+      -           1065 108301at50557        -            228   2.3e-64  215.9  36.8   6   7   1.3e-06   0.00022   19.7   0.0   112   162   826   876   818   895 0.88 -
35300at50557_34720_0:001070|STRG.7985.2:0-3194|+      -           1065 108301at50557        -            228   2.3e-64  215.9  36.8   7   7      0.24        41    2.4   1.4    67   153   932  1024   914  1046 0.68 -
35300at50557_34720_0:001070|STRG.7985.3:0-3107|+      -           1036 108301at50557        -            228   3.4e-63  212.0  37.4   1   7   3.8e-31   6.5e-29   99.9   3.0    53   152     4   103     2   134 0.93 -
35300at50557_34720_0:001070|STRG.7985.3:0-3107|+      -           1036 108301at50557        -            228   3.4e-63  212.0  37.4   2   7       0.6     1e+02    1.1   0.0   112   158   192   244   182   255 0.75 -
35300at50557_34720_0:001070|STRG.7985.3:0-3107|+      -           1036 108301at50557        -            228   3.4e-63  212.0  37.4   3   7   0.00042     0.073   11.4   0.0    99   162   257   320   247   332 0.92 -
35300at50557_34720_0:001070|STRG.7985.3:0-3107|+      -           1036 108301at50557        -            228   3.4e-63  212.0  37.4   4   7   1.1e-28     2e-26   91.8   5.3    24   155   506   635   485   642 0.85 -
35300at50557_34720_0:001070|STRG.7985.3:0-3107|+      -           1036 108301at50557        -            228   3.4e-63  212.0  37.4   5   7      0.42        72    1.6   0.0   123   164   735   776   708   784 0.78 -
35300at50557_34720_0:001070|STRG.7985.3:0-3107|+      -           1036 108301at50557        -            228   3.4e-63  212.0  37.4   6   7   1.2e-06   0.00021   19.7   0.0   112   162   797   847   789   866 0.88 -
35300at50557_34720_0:001070|STRG.7985.3:0-3107|+      -           1036 108301at50557        -            228   3.4e-63  212.0  37.4   7   7      0.24        42    2.3   1.5    67   153   903   995   884  1017 0.68 -
35300at50557_34720_0:001070|STRG.7985.1:180-3290|+    -           1037 108301at50557        -            228   4.3e-63  211.7  37.9   1   7   4.1e-31   7.2e-29   99.7   3.4    53   152     5   104     1   135 0.93 -
35300at50557_34720_0:001070|STRG.7985.1:180-3290|+    -           1037 108301at50557        -            228   4.3e-63  211.7  37.9   2   7       0.6     1e+02    1.1   0.0   112   158   193   245   183   256 0.75 -
35300at50557_34720_0:001070|STRG.7985.1:180-3290|+    -           1037 108301at50557        -            228   4.3e-63  211.7  37.9   3   7   0.00042     0.074   11.4   0.0    99   162   258   321   248   333 0.92 -
35300at50557_34720_0:001070|STRG.7985.1:180-3290|+    -           1037 108301at50557        -            228   4.3e-63  211.7  37.9   4   7   1.1e-28     2e-26   91.8   5.3    24   155   507   636   486   643 0.85 -
35300at50557_34720_0:001070|STRG.7985.1:180-3290|+    -           1037 108301at50557        -            228   4.3e-63  211.7  37.9   5   7      0.42        72    1.6   0.0   123   164   736   777   709   785 0.78 -
35300at50557_34720_0:001070|STRG.7985.1:180-3290|+    -           1037 108301at50557        -            228   4.3e-63  211.7  37.9   6   7   1.2e-06   0.00021   19.7   0.0   112   162   798   848   790   867 0.88 -
35300at50557_34720_0:001070|STRG.7985.1:180-3290|+    -           1037 108301at50557        -            228   4.3e-63  211.7  37.9   7   7      0.24        42    2.3   1.5    67   153   904   996   885  1018 0.68 -
57156at50557_103372_0:001116|STRG.5032.1:0-1628|+     -            543 108301at50557        -            228   2.8e-51  173.1  24.2   1   3   2.9e-22     5e-20   70.8   0.3    57   169     8   115     2   130 0.93 -
57156at50557_103372_0:001116|STRG.5032.1:0-1628|+     -            543 108301at50557        -            228   2.8e-51  173.1  24.2   2   3   3.6e-08   6.2e-06   24.7  11.0    41   178   214   352   185   356 0.78 -
57156at50557_103372_0:001116|STRG.5032.1:0-1628|+     -            543 108301at50557        -            228   2.8e-51  173.1  24.2   3   3   4.3e-26   7.4e-24   83.3   5.3    31   170   337   473   308   492 0.83 -
35300at50557_103372_0:002ae9|STRG.9792.1:0-1763|+     -            588 108301at50557        -            228   6.8e-39  132.5  17.1   1   5   2.2e-31   3.8e-29  100.6   5.9    45   155    81   191    39   224 0.89 -
35300at50557_103372_0:002ae9|STRG.9792.1:0-1763|+     -            588 108301at50557        -            228   6.8e-39  132.5  17.1   2   5       1.9   3.3e+02   -0.6   0.0   126   164   294   332   268   339 0.84 -
35300at50557_103372_0:002ae9|STRG.9792.1:0-1763|+     -            588 108301at50557        -            228   6.8e-39  132.5  17.1   3   5   1.4e-07   2.4e-05   22.8   0.0    99   160   339   400   326   410 0.93 -
35300at50557_103372_0:002ae9|STRG.9792.1:0-1763|+     -            588 108301at50557        -            228   6.8e-39  132.5  17.1   4   5    0.0011       0.2   10.0   0.2   109   162   424   480   415   487 0.86 -
35300at50557_103372_0:002ae9|STRG.9792.1:0-1763|+     -            588 108301at50557        -            228   6.8e-39  132.5  17.1   5   5      0.19        32    2.7   0.1    62   111   522   569   496   576 0.79 -
41065at50557_133901_0:001440|STRG.10823.1:120-1454|+  -            445 108301at50557        -            228   2.9e-32  110.9  30.5   1   3   5.3e-12   9.1e-10   37.2   0.8    68   168     2    97     1   108 0.91 -
41065at50557_133901_0:001440|STRG.10823.1:120-1454|+  -            445 108301at50557        -            228   2.9e-32  110.9  30.5   2   3   0.00043     0.074   11.4   1.0    83   171   128   214   104   217 0.81 -
41065at50557_133901_0:001440|STRG.10823.1:120-1454|+  -            445 108301at50557        -            228   2.9e-32  110.9  30.5   3   3   2.3e-23   4.1e-21   74.4  13.2    53   176   215   337   209   349 0.90 -
108301at50557_7493_0:0013fe|STRG.14503.1:321-746|+    -            142 108301at50557        -            228   4.8e-28   97.0   5.3   1   1   3.2e-30   5.6e-28   96.8   5.3    41   170     2   126     1   134 0.94 -
13778at50557_103372_0:00133a|STRG.1057.1:909-3722|+   -            938 108301at50557        -            228   5.5e-25   87.0   4.8   1   1   7.7e-27   1.3e-24   85.8   4.8    51   180     4   132     1   153 0.93 -
13778at50557_103372_0:00133a|STRG.1057.2:0-2798|+     -            933 108301at50557        -            228   9.9e-25   86.2   4.3   1   1   1.4e-26   2.4e-24   84.9   4.3    54   180     2   127     1   148 0.94 -
138527at50557_315563_0:000b19|STRG.19420.1:146-985|+  -            280 108301at50557        -            228   9.8e-24   82.9   7.2   1   1   8.5e-26   1.5e-23   82.4   7.2    29   171    53   190    19   197 0.87 -
138527at50557_315563_0:000b19|STRG.19420.2:9-848|+    -            280 108301at50557        -            228   9.8e-24   82.9   7.2   1   1   8.5e-26   1.5e-23   82.4   7.2    29   171    53   190    19   197 0.87 -
57156at50557_77166_0:0029c4|STRG.17324.4:508-1713|+   -            402 108301at50557        -            228   9.8e-24   82.9   8.2   1   6    0.0013      0.22    9.8   0.0   118   160     9    51     2    55 0.91 -
57156at50557_77166_0:0029c4|STRG.17324.4:508-1713|+   -            402 108301at50557        -            228   9.8e-24   82.9   8.2   2   6    0.0049      0.85    7.9   0.4    97   159    56   118    53   127 0.93 -
57156at50557_77166_0:0029c4|STRG.17324.4:508-1713|+   -            402 108301at50557        -            228   9.8e-24   82.9   8.2   3   6   2.6e-05    0.0045   15.3   0.0   113   161   140   188   121   191 0.94 -
57156at50557_77166_0:0029c4|STRG.17324.4:508-1713|+   -            402 108301at50557        -            228   9.8e-24   82.9   8.2   4   6   2.1e-06   0.00036   18.9   0.2    93   170   188   265   187   277 0.89 -
