#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
102968at50557_34720_0:0002ad|STRG.1466.1:1-5709|+     -           1876 102968at50557        -            278  6.7e-109  362.6   0.4   1   1  3.1e-111  1.2e-108  361.7   0.4    23   273     7   287     1   292 0.90 -
102968at50557_307658_0:0022b4|STRG.1466.2:0-611|+     -            204 102968at50557        -            278   1.1e-67  227.3   0.0   1   1   3.5e-70   1.4e-67  227.1   0.0   120   273    11   175     4   180 0.91 -
102968at50557_113334_0:00227f|STRG.5252.1:592-783|+   -             64 102968at50557        -            278   3.4e-07   28.9   0.2   1   1   9.5e-10   3.7e-07   28.8   0.2     6    67     1    64     1    64 0.95 -
102968at50557_113334_0:00227f|STRG.5252.2:3698-3889|+ -             64 102968at50557        -            278   3.4e-07   28.9   0.2   1   1   9.5e-10   3.7e-07   28.8   0.2     6    67     1    64     1    64 0.95 -
10394at50557_52612_0:0049a4|STRG.11812.2:1723-2685|+  -            321 102968at50557        -            278   1.2e-06   27.2   0.0   1   2   5.7e-05     0.022   13.2   0.0   201   249    38    86    16   104 0.86 -
10394at50557_52612_0:0049a4|STRG.11812.2:1723-2685|+  -            321 102968at50557        -            278   1.2e-06   27.2   0.0   2   2   0.00015     0.058   11.8   0.0   195   250   235   290   227   297 0.92 -
110125at50557_7539_0:00092e|STRG.19435.1:2864-3127|+  -             88 102968at50557        -            278   3.3e-05   22.4   0.0   1   1   9.6e-08   3.7e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
110125at50557_7539_0:00092e|STRG.19435.2:2861-3124|+  -             88 102968at50557        -            278   3.3e-05   22.4   0.0   1   1   9.6e-08   3.7e-05   22.3   0.0   187   248     3    65     1    70 0.89 -
31141at50557_34720_0:0021d7|STRG.15964.4:456-2216|+   -            587 102968at50557        -            278   0.00028   19.4   0.3   1   2      0.62   2.4e+02   -0.1   0.0    12    60   162   212   160   221 0.77 -
31141at50557_34720_0:0021d7|STRG.15964.4:456-2216|+   -            587 102968at50557        -            278   0.00028   19.4   0.3   2   2   4.7e-06    0.0018   16.7   0.6    11    71   230   293   216   303 0.84 -
31141at50557_34720_0:0021d7|STRG.15964.3:456-2501|+   -            682 102968at50557        -            278   0.00037   19.0   0.3   1   2      0.72   2.8e+02   -0.3   0.0    12    60   162   212   160   223 0.77 -
31141at50557_34720_0:0021d7|STRG.15964.3:456-2501|+   -            682 102968at50557        -            278   0.00037   19.0   0.3   2   2   5.7e-06    0.0022   16.4   0.5    12    71   231   293   217   303 0.84 -
31141at50557_34720_0:0021d7|STRG.15964.1:1813-3858|+  -            682 102968at50557        -            278   0.00037   19.0   0.3   1   2      0.72   2.8e+02   -0.3   0.0    12    60   162   212   160   223 0.77 -
31141at50557_34720_0:0021d7|STRG.15964.1:1813-3858|+  -            682 102968at50557        -            278   0.00037   19.0   0.3   2   2   5.7e-06    0.0022   16.4   0.5    12    71   231   293   217   303 0.84 -
31141at50557_34720_0:0021d7|STRG.15964.2:150-3391|+   -            793 102968at50557        -            278    0.0005   18.5   0.3   1   2      0.87   3.4e+02   -0.6   0.0    12    60   273   323   271   334 0.77 -
31141at50557_34720_0:0021d7|STRG.15964.2:150-3391|+   -            793 102968at50557        -            278    0.0005   18.5   0.3   2   2   6.8e-06    0.0026   16.2   0.5    12    71   342   404   328   414 0.84 -
31141at50557_34720_0:0021d7|STRG.15964.5:0-2378|+     -            793 102968at50557        -            278    0.0005   18.5   0.3   1   2      0.87   3.4e+02   -0.6   0.0    12    60   273   323   271   334 0.77 -
31141at50557_34720_0:0021d7|STRG.15964.5:0-2378|+     -            793 102968at50557        -            278    0.0005   18.5   0.3   2   2   6.8e-06    0.0026   16.2   0.5    12    71   342   404   328   414 0.84 -
102616at50557_456900_0:0023c2|STRG.6807.1:264-1322|+  -            353 102968at50557        -            278    0.0027   16.1   0.0   1   1   1.1e-05    0.0041   15.5   0.0   173   246   148   220   147   242 0.83 -
102616at50557_456900_0:0023c2|STRG.6807.2:165-1223|+  -            353 102968at50557        -            278    0.0027   16.1   0.0   1   1   1.1e-05    0.0041   15.5   0.0   173   246   148   220   147   242 0.83 -
102616at50557_197043_0:0010e9|STRG.9633.1:395-640|+   -             82 102968at50557        -            278    0.0047   15.3   0.0   1   1   1.2e-05    0.0048   15.3   0.0   186   250    12    78     2    82 0.84 -
102616at50557_197043_0:0010e9|STRG.9633.2:270-515|+   -             82 102968at50557        -            278    0.0047   15.3   0.0   1   1   1.2e-05    0.0048   15.3   0.0   186   250    12    78     2    82 0.84 -
10394at50557_7536_0:0020dc|STRG.6597.2:199-726|+      -            176 102968at50557        -            278     0.008   14.6   0.0   1   2      0.01         4    5.8   0.0   186   233    39    86    22   105 0.80 -
10394at50557_7536_0:0020dc|STRG.6597.2:199-726|+      -            176 102968at50557        -            278     0.008   14.6   0.0   2   2    0.0039       1.5    7.1   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.6597.5:219-746|+      -            176 102968at50557        -            278     0.008   14.6   0.0   1   2      0.01         4    5.8   0.0   186   233    39    86    22   105 0.80 -
10394at50557_7536_0:0020dc|STRG.6597.5:219-746|+      -            176 102968at50557        -            278     0.008   14.6   0.0   2   2    0.0039       1.5    7.1   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.6597.6:126-653|+      -            176 102968at50557        -            278     0.008   14.6   0.0   1   2      0.01         4    5.8   0.0   186   233    39    86    22   105 0.80 -
10394at50557_7536_0:0020dc|STRG.6597.6:126-653|+      -            176 102968at50557        -            278     0.008   14.6   0.0   2   2    0.0039       1.5    7.1   0.0   185   226   136   176   124   176 0.89 -
10394at50557_7536_0:0020dc|STRG.7542.3:927-1439|+     -            171 102968at50557        -            278     0.019   13.4   0.0   1   2   0.00013      0.05   12.0   0.0   201   258    32    92    11   104 0.86 -
10394at50557_7536_0:0020dc|STRG.7542.3:927-1439|+     -            171 102968at50557        -            278     0.019   13.4   0.0   2   2       1.3     5e+02   -1.1   0.0   201   225   125   149   100   161 0.72 -
10394at50557_7536_0:0020dc|STRG.15227.2:2431-3018|+   -            196 102968at50557        -            278       0.1   10.9   0.0   1   2    0.0059       2.3    6.5   0.0   180   249     7    79     4    85 0.78 -
10394at50557_7536_0:0020dc|STRG.15227.2:2431-3018|+   -            196 102968at50557        -            278       0.1   10.9   0.0   2   2     0.096        37    2.6   0.0   206   229   158   181   129   196 0.71 -
10394at50557_7536_0:0020dc|STRG.15227.3:5188-5775|+   -            196 102968at50557        -            278       0.1   10.9   0.0   1   2    0.0059       2.3    6.5   0.0   180   249     7    79     4    85 0.78 -
10394at50557_7536_0:0020dc|STRG.15227.3:5188-5775|+   -            196 102968at50557        -            278       0.1   10.9   0.0   2   2     0.096        37    2.6   0.0   206   229   158   181   129   196 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102968at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/102968at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/102968at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:52:10 2024
# [ok]
