#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
111975at50557_34720_0:001251|STRG.8783.1:0-632|+     -            211 111975at50557        -            174   7.3e-74  246.1   0.9   1   1   3.2e-75     1e-72  242.3   0.9     1   174     4   207     4   207 0.91 -
28428at50557_7237_0:000277|STRG.3899.1:677-1636|+    -            320 111975at50557        -            174   1.8e-06   26.7   0.1   1   1     1e-08   3.3e-06   25.8   0.1    45    88    40    82    18    97 0.79 -
28428at50557_7237_0:000277|STRG.3899.2:168-1127|+    -            320 111975at50557        -            174   1.8e-06   26.7   0.1   1   1     1e-08   3.3e-06   25.8   0.1    45    88    40    82    18    97 0.79 -
28428at50557_7536_0:00380f|STRG.11733.1:1449-2369|+  -            307 111975at50557        -            174   2.8e-06   26.0   0.1   1   1   1.4e-08   4.5e-06   25.3   0.1    39    98    29    87     6   117 0.84 -
28428at50557_7536_0:00380f|STRG.11733.3:747-1667|+   -            307 111975at50557        -            174   2.8e-06   26.0   0.1   1   1   1.4e-08   4.5e-06   25.3   0.1    39    98    29    87     6   117 0.84 -
28428at50557_7536_0:00380f|STRG.11733.4:726-1646|+   -            307 111975at50557        -            174   2.8e-06   26.0   0.1   1   1   1.4e-08   4.5e-06   25.3   0.1    39    98    29    87     6   117 0.84 -
28428at50557_7536_0:00380f|STRG.11733.5:9-929|+      -            307 111975at50557        -            174   2.8e-06   26.0   0.1   1   1   1.4e-08   4.5e-06   25.3   0.1    39    98    29    87     6   117 0.84 -
28428at50557_103372_0:00058c|STRG.10673.3:380-1921|+ -            514 111975at50557        -            174     4e-05   22.2   0.1   1   1   2.8e-07   9.2e-05   21.1   0.1    38    81   149   192   131   213 0.80 -
28428at50557_286306_0:004195|STRG.10673.2:0-1784|+   -            595 111975at50557        -            174   5.2e-05   21.9   0.1   1   1   3.4e-07   0.00011   20.8   0.1    38    81   149   192   131   213 0.80 -
28428at50557_104452_0:0023d5|STRG.19057.1:824-1753|+ -            310 111975at50557        -            174   0.00013   20.6   0.2   1   1   8.1e-07   0.00026   19.6   0.2    42    90    32    80    25    91 0.83 -
28428at50557_104452_0:0023d5|STRG.19057.2:781-1710|+ -            310 111975at50557        -            174   0.00013   20.6   0.2   1   1   8.1e-07   0.00026   19.6   0.2    42    90    32    80    25    91 0.83 -
28428at50557_104452_0:0023d5|STRG.19057.3:742-1671|+ -            310 111975at50557        -            174   0.00013   20.6   0.2   1   1   8.1e-07   0.00026   19.6   0.2    42    90    32    80    25    91 0.83 -
28428at50557_104452_0:0023d5|STRG.19057.4:805-1734|+ -            310 111975at50557        -            174   0.00013   20.6   0.2   1   1   8.1e-07   0.00026   19.6   0.2    42    90    32    80    25    91 0.83 -
28428at50557_104452_0:0023d5|STRG.19057.5:606-1535|+ -            310 111975at50557        -            174   0.00013   20.6   0.2   1   1   8.1e-07   0.00026   19.6   0.2    42    90    32    80    25    91 0.83 -
30407at50557_1049336_0:003ea7|STRG.9787.1:563-838|+  -             92 111975at50557        -            174   0.00056   18.5   0.0   1   1     2e-06   0.00066   18.3   0.0    49   100    25    76    15    90 0.81 -
30407at50557_1049336_0:003ea7|STRG.9787.2:830-1105|+ -             92 111975at50557        -            174   0.00056   18.5   0.0   1   1     2e-06   0.00066   18.3   0.0    49   100    25    76    15    90 0.81 -
132051at50557_34720_0:0009db|STRG.4645.1:225-803|+   -            193 111975at50557        -            174   0.00084   17.9   0.0   1   1   4.1e-06    0.0013   17.3   0.0    43   100    22    78    14    85 0.73 -
132051at50557_34720_0:0009db|STRG.4645.3:0-785|+     -            262 111975at50557        -            174    0.0014   17.3   0.0   1   1   7.2e-06    0.0024   16.5   0.0    43   100   112   168   104   174 0.72 -
132051at50557_34720_0:0009db|STRG.4645.2:183-1034|+  -            284 111975at50557        -            174    0.0015   17.1   0.0   1   1   8.3e-06    0.0027   16.3   0.0    43    99   113   168   105   175 0.71 -
