#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
48331at50557_103372_0:001fed|STRG.9252.1:0-1430|+   -            477 48331at50557         -            377  4.9e-189  627.0   2.7   1   1  1.3e-188  8.2e-186  616.4   2.7     1   377    40   474    40   474 0.90 -
69102at50557_103372_0:001d18|STRG.5888.1:0-2018|+   -            673 48331at50557         -            377   7.2e-19   66.9   0.1   1   2    0.0026       1.7    6.5   0.0    45    73    49    77    28    81 0.85 -
69102at50557_103372_0:001d18|STRG.5888.1:0-2018|+   -            673 48331at50557         -            377   7.2e-19   66.9   0.1   2   2   1.8e-18   1.2e-15   56.3   0.0   133   283   446   580   427   589 0.86 -
69102at50557_69004_0:0020c7|STRG.11137.1:236-1168|+ -            311 48331at50557         -            377   4.1e-18   64.5   0.3   1   2   2.8e-05     0.019   12.9   0.0    47    72    53    78    36    82 0.91 -
69102at50557_69004_0:0020c7|STRG.11137.1:236-1168|+ -            311 48331at50557         -            377   4.1e-18   64.5   0.3   2   2   2.3e-15   1.5e-12   46.1   0.1   108   279    92   243    88   252 0.86 -
69102at50557_69004_0:0020c7|STRG.11137.2:255-1187|+ -            311 48331at50557         -            377   4.1e-18   64.5   0.3   1   2   2.8e-05     0.019   12.9   0.0    47    72    53    78    36    82 0.91 -
69102at50557_69004_0:0020c7|STRG.11137.2:255-1187|+ -            311 48331at50557         -            377   4.1e-18   64.5   0.3   2   2   2.3e-15   1.5e-12   46.1   0.1   108   279    92   243    88   252 0.86 -
69102at50557_69004_0:0020c7|STRG.11137.3:236-1176|+ -            310 48331at50557         -            377   9.2e-17   60.0   0.4   1   2   2.8e-05     0.018   12.9   0.0    47    72    53    78    36    82 0.91 -
69102at50557_69004_0:0020c7|STRG.11137.3:236-1176|+ -            310 48331at50557         -            377   9.2e-17   60.0   0.4   2   2   5.1e-14   3.3e-11   41.7   0.1   108   279    92   242    87   251 0.83 -
69102at50557_41427_0:0029ce|STRG.11947.1:605-1456|+ -            284 48331at50557         -            377   1.4e-16   59.4   0.0   1   1   1.6e-16     1e-13   50.0   0.0   105   279    90   247    36   262 0.84 -
69102at50557_41427_0:0029ce|STRG.11947.2:0-851|+    -            284 48331at50557         -            377   1.4e-16   59.4   0.0   1   1   1.6e-16     1e-13   50.0   0.0   105   279    90   247    36   262 0.84 -
69102at50557_41427_0:0029ce|STRG.1106.1:455-1676|+  -            247 48331at50557         -            377   1.4e-15   56.1   0.4   1   2   0.00013     0.088   10.7   0.0    45    72    32    59    21    65 0.85 -
69102at50557_41427_0:0029ce|STRG.1106.1:455-1676|+  -            247 48331at50557         -            377   1.4e-15   56.1   0.4   2   2   1.3e-13   8.2e-11   40.4   0.1   128   279    84   246    66   247 0.82 -
69102at50557_41427_0:0029ce|STRG.1106.2:27-818|+    -            264 48331at50557         -            377   5.4e-14   50.9   0.0   1   2   0.00011     0.072   11.0   0.0    45    72    32    59    21    89 0.86 -
69102at50557_41427_0:0029ce|STRG.1106.2:27-818|+    -            264 48331at50557         -            377   5.4e-14   50.9   0.0   2   2   6.6e-12   4.3e-09   34.7   0.0   132   279   105   263    97   264 0.83 -
69102at50557_41427_0:0029ce|STRG.1106.3:27-818|+    -            264 48331at50557         -            377   5.4e-14   50.9   0.0   1   2   0.00011     0.072   11.0   0.0    45    72    32    59    21    89 0.86 -
69102at50557_41427_0:0029ce|STRG.1106.3:27-818|+    -            264 48331at50557         -            377   5.4e-14   50.9   0.0   2   2   6.6e-12   4.3e-09   34.7   0.0   132   279   105   263    97   264 0.83 -
69102at50557_7029_0:00259a|STRG.311.2:63-968|+      -            302 48331at50557         -            377   3.3e-08   31.9   0.0   1   1   7.9e-10   5.1e-07   27.9   0.0    32   270    28   279    12   292 0.70 -
69102at50557_43041_0:0020cc|STRG.9072.2:778-1575|+  -            266 48331at50557         -            377   5.2e-08   31.2   0.0   1   2   1.4e-05    0.0095   13.9   0.0    51   178     3   122     1   133 0.76 -
69102at50557_43041_0:0020cc|STRG.9072.2:778-1575|+  -            266 48331at50557         -            377   5.2e-08   31.2   0.0   2   2   5.6e-06    0.0036   15.2   0.0   235   275   213   257   189   264 0.74 -
69102at50557_7029_0:00259a|STRG.311.1:299-1087|+    -            263 48331at50557         -            377   1.8e-07   29.4   0.0   1   1   5.1e-09   3.3e-06   25.2   0.0    46   269     5   239     2   250 0.69 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/48331at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/48331at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/48331at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:55:32 2024
# [ok]
