#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
76747at50557_103372_0:001eb5|STRG.11740.1:2-802|+     -            267 76747at50557         -            260  3.9e-114  379.2   0.2   1   1  5.2e-116  4.8e-114  378.9   0.2    19   260     1   262     1   262 0.94 -
76747at50557_133901_0:0036de|STRG.5733.1:190-1023|+   -            278 76747at50557         -            260   5.9e-45  152.5   0.0   1   1     1e-46   9.3e-45  151.8   0.0    13   255     1   264     1   268 0.85 -
76747at50557_133901_0:0036de|STRG.5733.2:694-1527|+   -            278 76747at50557         -            260   5.9e-45  152.5   0.0   1   1     1e-46   9.3e-45  151.8   0.0    13   255     1   264     1   268 0.85 -
76747at50557_133901_0:0036de|STRG.5733.3:129-911|+    -            261 76747at50557         -            260   1.6e-44  151.0   0.0   1   1   2.8e-46   2.6e-44  150.4   0.0    13   239     1   245     1   257 0.87 -
76747at50557_7160_0:0007ff|STRG.9300.5:125-673|+      -            183 76747at50557         -            260   1.7e-29  101.8   0.3   1   1     2e-31   1.8e-29  101.7   0.3    13   183     3   181     1   183 0.89 -
76747at50557_7160_0:0007ff|STRG.9300.4:141-695|+      -            185 76747at50557         -            260   3.7e-29  100.7   0.4   1   1   4.5e-31   4.1e-29  100.6   0.4    13   183     3   183     1   185 0.87 -
76747at50557_7160_0:0007ff|STRG.9300.6:125-679|+      -            185 76747at50557         -            260   3.7e-29  100.7   0.4   1   1   4.5e-31   4.1e-29  100.6   0.4    13   183     3   183     1   185 0.87 -
76747at50557_7160_0:0007ff|STRG.3941.1:41-673|+       -            177 76747at50557         -            260   1.4e-28   98.8   0.4   1   1   1.6e-30   1.4e-28   98.8   0.4    13   170     3   166     1   177 0.88 -
76747at50557_7160_0:0007ff|STRG.9300.1:230-811|+      -            184 76747at50557         -            260     5e-27   93.7   0.1   1   1     6e-29   5.5e-27   93.6   0.1    13   185     3   184     1   184 0.88 -
76747at50557_7160_0:0007ff|STRG.9300.3:141-692|+      -            184 76747at50557         -            260   1.4e-26   92.3   0.1   1   1   1.6e-28   1.5e-26   92.2   0.1    13   185     3   184     1   184 0.88 -
76747at50557_7160_0:0007ff|STRG.9300.2:141-692|+      -            184 76747at50557         -            260   1.7e-26   92.0   0.1   1   1   2.1e-28   1.9e-26   91.8   0.1    13   183     3   182     1   184 0.88 -
130558at50557_6973_0:006c0f|STRG.19617.3:324-1013|+   -            230 76747at50557         -            260   5.8e-25   86.9   0.3   1   1   7.9e-27   7.2e-25   86.6   0.3    14   190     3   192     1   224 0.79 -
76747at50557_7160_0:0007ff|STRG.2039.1:139-690|+      -            184 76747at50557         -            260   7.2e-25   86.6   0.4   1   1   8.6e-27   7.9e-25   86.5   0.4    15   183     5   182     1   184 0.88 -
76747at50557_7160_0:0007ff|STRG.2039.3:0-551|+        -            184 76747at50557         -            260   7.2e-25   86.6   0.4   1   1   8.6e-27   7.9e-25   86.5   0.4    15   183     5   182     1   184 0.88 -
130558at50557_6973_0:006c0f|STRG.19617.1:324-1025|+   -            234 76747at50557         -            260   1.2e-24   85.9   0.3   1   1   1.6e-26   1.5e-24   85.6   0.3    14   176     3   174     1   228 0.78 -
130558at50557_6973_0:006c0f|STRG.19617.2:445-1146|+   -            234 76747at50557         -            260   1.2e-24   85.9   0.3   1   1   1.6e-26   1.5e-24   85.6   0.3    14   176     3   174     1   228 0.78 -
130558at50557_6973_0:006c0f|STRG.19617.4:345-1046|+   -            234 76747at50557         -            260   1.2e-24   85.9   0.3   1   1   1.6e-26   1.5e-24   85.6   0.3    14   176     3   174     1   228 0.78 -
130558at50557_6973_0:006c0f|STRG.19617.5:130-831|+    -            234 76747at50557         -            260   1.2e-24   85.9   0.3   1   1   1.6e-26   1.5e-24   85.6   0.3    14   176     3   174     1   228 0.78 -
76747at50557_7160_0:0007ff|STRG.2039.2:139-696|+      -            186 76747at50557         -            260   4.3e-24   84.1   0.4   1   1   5.2e-26   4.7e-24   84.0   0.4    15   183     5   184     1   186 0.85 -
84237at50557_34720_0:000c53|STRG.6057.2:0-980|+       -            327 76747at50557         -            260   4.5e-24   84.0   0.0   1   1   7.8e-26   7.1e-24   83.4   0.0    11   182    35   224    29   271 0.83 -
84237at50557_136037_0:000039|STRG.680.1:300-1079|+    -            260 76747at50557         -            260   7.7e-24   83.3   0.1   1   1   1.6e-25   1.4e-23   82.4   0.1     9   191    31   230    23   259 0.81 -
84237at50557_307491_0:0026ad|STRG.8963.1:0-755|+      -            252 76747at50557         -            260   1.1e-23   82.8   0.0   1   1   1.9e-25   1.7e-23   82.2   0.0    11   187    37   227    30   232 0.84 -
76747at50557_108931_0:001125|STRG.19618.1:129-731|+   -            201 76747at50557         -            260   1.9e-23   82.0   0.9   1   1   2.5e-25   2.3e-23   81.7   0.9    13   191     4   200     1   201 0.80 -
