#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
30640at50557_103372_0:0017a1|STRG.12227.1:0-2381|+     -            794 30640at50557         -            649         0 1182.7   6.5   1   1         0         0 1175.3   6.5    15   649    48   794    41   794 0.91 -
30640at50557_197043_0:004e63|STRG.12227.2:128-852|+    -            213 30640at50557         -            649  1.6e-124  415.5   0.4   1   1  2.4e-126  1.9e-124  415.3   0.4   445   640     1   209     1   212 0.96 -
30640at50557_123851_0:0040fd|STRG.11786.1:1191-1922|+  -            244 30640at50557         -            649   2.2e-47  160.6   0.0   1   1   3.5e-49   2.7e-47  160.3   0.0    76   286    11   225     2   242 0.87 -
30640at50557_7536_0:0024c3|STRG.11786.2:1461-2075|+    -            205 30640at50557         -            649   6.1e-44  149.3   0.0   1   1   8.6e-46   6.6e-44  149.2   0.0    79   270     9   205     1   205 0.88 -
30640at50557_7536_0:0024c3|STRG.16674.1:359-1030|+     -            224 30640at50557         -            649   6.4e-34  116.2   0.0   1   1   9.6e-36   7.4e-34  116.0   0.0    81   277    22   224     6   224 0.86 -
30640at50557_7536_0:0024c3|STRG.189.1:108-779|+        -            224 30640at50557         -            649   6.4e-34  116.2   0.0   1   1   9.6e-36   7.4e-34  116.0   0.0    81   277    22   224     6   224 0.86 -
30640at50557_246812_0:002bdf|STRG.5521.1:425-1192|+    -            256 30640at50557         -            649   2.1e-26   91.3   0.1   1   1   3.2e-28   2.5e-26   91.1   0.1    78   277    52   256    28   256 0.85 -
30640at50557_246812_0:002bdf|STRG.5521.2:105-872|+     -            256 30640at50557         -            649   2.1e-26   91.3   0.1   1   1   3.2e-28   2.5e-26   91.1   0.1    78   277    52   256    28   256 0.85 -
30640at50557_123851_0:0040fd|STRG.15324.1:491-1213|+   -            241 30640at50557         -            649   7.4e-23   79.6   0.1   1   1   1.2e-24   9.1e-23   79.3   0.1    74   282     7   227     2   237 0.82 -
30640at50557_123851_0:0040fd|STRG.15324.2:249-971|+    -            241 30640at50557         -            649   7.4e-23   79.6   0.1   1   1   1.2e-24   9.1e-23   79.3   0.1    74   282     7   227     2   237 0.82 -
31358at50557_123851_0:00056b|STRG.20203.1:2668-3213|+  -            182 30640at50557         -            649   1.4e-20   72.1   0.0   1   1   2.4e-22   1.9e-20   71.7   0.0    81   246     9   177     4   180 0.89 -
31358at50557_123851_0:00056b|STRG.20203.2:2591-3136|+  -            182 30640at50557         -            649   1.4e-20   72.1   0.0   1   1   2.4e-22   1.9e-20   71.7   0.0    81   246     9   177     4   180 0.89 -
31358at50557_123851_0:00056b|STRG.20203.3:1691-2236|+  -            182 30640at50557         -            649   1.4e-20   72.1   0.0   1   1   2.4e-22   1.9e-20   71.7   0.0    81   246     9   177     4   180 0.89 -
68581at50557_166361_0:00349c|STRG.16830.1:345-971|+    -            209 30640at50557         -            649   2.1e-18   64.9   0.3   1   3   4.9e-09   3.8e-07   27.7   0.0   410   475     7    72     3    81 0.93 -
68581at50557_166361_0:00349c|STRG.16830.1:345-971|+    -            209 30640at50557         -            649   2.1e-18   64.9   0.3   2   3   0.00015     0.012   12.9   0.0   394   453    76   136    66   147 0.81 -
68581at50557_166361_0:00349c|STRG.16830.1:345-971|+    -            209 30640at50557         -            649   2.1e-18   64.9   0.3   3   3   1.7e-07   1.3e-05   22.6   0.0   406   454   158   208   138   209 0.82 -
31358at50557_103372_0:0003fa|STRG.16687.1:399-4169|+   -           1257 30640at50557         -            649   3.6e-17   60.8   0.0   1   1   8.4e-19   6.5e-17   60.0   0.0    82   283   654   869   608   896 0.78 -
31358at50557_103372_0:0003fa|STRG.16687.2:0-3884|+     -           1295 30640at50557         -            649   3.6e-17   60.8   0.0   1   1   8.8e-19   6.8e-17   59.9   0.0    82   283   692   907   647   934 0.78 -
31358at50557_123851_0:00056b|STRG.11711.3:676-1242|+   -            189 30640at50557         -            649   3.7e-17   60.8   0.0   1   1   5.2e-19     4e-17   60.7   0.0    81   258     9   189     1   189 0.86 -
