#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
96170at50557_103372_0:001dcf|STRG.16585.1:68-826|+  -            253 96170at50557         -            203  7.2e-106  351.3   1.9   1   1  1.1e-108  1.9e-105  350.0   1.9     1   203    19   253    19   253 0.93 -
83548at50557_103372_0:002b6f|STRG.9966.3:234-1151|+ -            306 96170at50557         -            203     7e-08   31.4   0.0   1   2   9.9e-09   1.7e-05   23.6   0.0     2    81    46   141    45   166 0.78 -
83548at50557_103372_0:002b6f|STRG.9966.3:234-1151|+ -            306 96170at50557         -            203     7e-08   31.4   0.0   2   2    0.0036       6.2    5.4   0.0   113   176   201   268   189   291 0.79 -
83548at50557_103372_0:002b6f|STRG.9966.1:369-1349|+ -            327 96170at50557         -            203   8.8e-08   31.0   0.0   1   2   1.1e-08   1.9e-05   23.4   0.0     2    81    67   162    66   187 0.78 -
83548at50557_103372_0:002b6f|STRG.9966.1:369-1349|+ -            327 96170at50557         -            203   8.8e-08   31.0   0.0   2   2    0.0041       6.9    5.3   0.0   113   176   222   289   210   312 0.79 -
83548at50557_103372_0:002b6f|STRG.9966.2:369-1349|+ -            327 96170at50557         -            203   8.8e-08   31.0   0.0   1   2   1.1e-08   1.9e-05   23.4   0.0     2    81    67   162    66   187 0.78 -
83548at50557_103372_0:002b6f|STRG.9966.2:369-1349|+ -            327 96170at50557         -            203   8.8e-08   31.0   0.0   2   2    0.0041       6.9    5.3   0.0   113   176   222   289   210   312 0.79 -
83548at50557_103372_0:002b6f|STRG.9966.4:0-980|+    -            327 96170at50557         -            203   8.8e-08   31.0   0.0   1   2   1.1e-08   1.9e-05   23.4   0.0     2    81    67   162    66   187 0.78 -
83548at50557_103372_0:002b6f|STRG.9966.4:0-980|+    -            327 96170at50557         -            203   8.8e-08   31.0   0.0   2   2    0.0041       6.9    5.3   0.0   113   176   222   289   210   312 0.79 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/96170at50557.hmm
# Target file:     annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/96170at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/96170at50557.hmm annotation_analysis/annotation_gca/T_septentrionalis/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Oct 13 13:57:23 2024
# [ok]
