#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42371at50557_144034_0:001692|STRG.1519.1:0-863|+      -            288 42371at50557         -            451  9.9e-134  442.5   2.4   1   1  2.2e-134  1.2e-133  442.2   2.4   213   451     4   259     2   259 0.95 -
42371at50557_520822_0:00190c|STRG.1520.2:0-962|+      -            314 42371at50557         -            451  1.8e-111  369.1   5.7   1   2   2.6e-83   1.4e-82  273.9   0.8     1   169    62   244    62   254 0.94 -
42371at50557_520822_0:00190c|STRG.1520.2:0-962|+      -            314 42371at50557         -            451  1.8e-111  369.1   5.7   2   2   5.3e-30   2.8e-29   98.2   0.5   160   216   254   314   246   314 0.92 -
42371at50557_520822_0:00190c|STRG.1520.3:0-941|+      -            314 42371at50557         -            451  1.8e-111  369.1   5.7   1   2   2.6e-83   1.4e-82  273.9   0.8     1   169    62   244    62   254 0.94 -
42371at50557_520822_0:00190c|STRG.1520.3:0-941|+      -            314 42371at50557         -            451  1.8e-111  369.1   5.7   2   2   5.3e-30   2.8e-29   98.2   0.5   160   216   254   314   246   314 0.92 -
42371at50557_520822_0:00190c|STRG.1520.1:534-1487|+   -            318 42371at50557         -            451  2.5e-111  368.6   6.0   1   1  1.5e-109  7.9e-109  360.4   6.0     1   216    67   318    67   318 0.94 -
42371at50557_39758_0:001c62|STRG.6089.1:117-986|+     -            290 42371at50557         -            451   2.9e-36  121.2   8.7   1   4   9.5e-12     5e-11   38.0   0.4   182   251     2    74     1    80 0.87 -
42371at50557_39758_0:001c62|STRG.6089.1:117-986|+     -            290 42371at50557         -            451   2.9e-36  121.2   8.7   2   4     1e-07   5.4e-07   24.7   0.1   397   450    64   117    62   118 0.90 -
42371at50557_39758_0:001c62|STRG.6089.1:117-986|+     -            290 42371at50557         -            451   2.9e-36  121.2   8.7   3   4   1.1e-07   5.7e-07   24.6   0.1   178   252   124   202   120   204 0.86 -
42371at50557_39758_0:001c62|STRG.6089.1:117-986|+     -            290 42371at50557         -            451   2.9e-36  121.2   8.7   4   4   1.7e-14   9.2e-14   47.0   0.3   358   449   197   290   194   290 0.90 -
42371at50557_121225_0:001488|STRG.9047.1:207-1124|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   1   6   2.4e-07   1.3e-06   23.5   0.0   391   451    14    73     1    79 0.67 -
42371at50557_121225_0:001488|STRG.9047.1:207-1124|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   2   6   1.3e-08   6.7e-08   27.7   0.0   184   252    43   114    38   116 0.86 -
42371at50557_121225_0:001488|STRG.9047.1:207-1124|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   3   6     1e-11   5.4e-11   37.9   0.3   183   251    84   155    78   159 0.85 -
42371at50557_121225_0:001488|STRG.9047.1:207-1124|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   4   6     4e-08   2.1e-07   26.1   0.2   179   253   122   199   115   209 0.82 -
42371at50557_121225_0:001488|STRG.9047.1:207-1124|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   5   6   0.00078    0.0041   11.9   0.0   183   249   168   237   158   245 0.82 -
42371at50557_121225_0:001488|STRG.9047.1:207-1124|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   6   6   2.1e-07   1.1e-06   23.7   0.0   182   262   209   290   201   305 0.82 -
42371at50557_121225_0:001488|STRG.9047.2:370-1287|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   1   6   2.4e-07   1.3e-06   23.5   0.0   391   451    14    73     1    79 0.67 -
42371at50557_121225_0:001488|STRG.9047.2:370-1287|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   2   6   1.3e-08   6.7e-08   27.7   0.0   184   252    43   114    38   116 0.86 -
42371at50557_121225_0:001488|STRG.9047.2:370-1287|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   3   6     1e-11   5.4e-11   37.9   0.3   183   251    84   155    78   159 0.85 -
42371at50557_121225_0:001488|STRG.9047.2:370-1287|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   4   6     4e-08   2.1e-07   26.1   0.2   179   253   122   199   115   209 0.82 -
42371at50557_121225_0:001488|STRG.9047.2:370-1287|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   5   6   0.00078    0.0041   11.9   0.0   183   249   168   237   158   245 0.82 -
42371at50557_121225_0:001488|STRG.9047.2:370-1287|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   6   6   2.1e-07   1.1e-06   23.7   0.0   182   262   209   290   201   305 0.82 -
42371at50557_121225_0:001488|STRG.9047.3:249-1166|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   1   6   2.4e-07   1.3e-06   23.5   0.0   391   451    14    73     1    79 0.67 -
42371at50557_121225_0:001488|STRG.9047.3:249-1166|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   2   6   1.3e-08   6.7e-08   27.7   0.0   184   252    43   114    38   116 0.86 -
42371at50557_121225_0:001488|STRG.9047.3:249-1166|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   3   6     1e-11   5.4e-11   37.9   0.3   183   251    84   155    78   159 0.85 -
42371at50557_121225_0:001488|STRG.9047.3:249-1166|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   4   6     4e-08   2.1e-07   26.1   0.2   179   253   122   199   115   209 0.82 -
42371at50557_121225_0:001488|STRG.9047.3:249-1166|+   -            306 42371at50557         -            451     7e-34  113.3  11.1   5   6   0.00078    0.0041   11.9   0.0   183   249   168   237   158   245 0.82 -
