#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
128261at50557_103372_0:000077|STRG.7768.1:344-775|+    -            144 128261at50557        -            122   2.3e-68  226.9   0.0   1   1   4.3e-71   2.7e-68  226.7   0.0     1   122     9   144     9   144 0.95 -
120473at50557_1041015_0:0012df|STRG.15298.2:778-1230|+ -            151 128261at50557        -            122   6.2e-06   25.3   0.0   1   1   1.4e-08   8.9e-06   24.8   0.0    32    77    30    78     4   113 0.85 -
120473at50557_37344_0:000b45|STRG.15298.1:793-1275|+   -            161 128261at50557        -            122   7.8e-06   25.0   0.0   1   1   1.6e-08     1e-05   24.6   0.0    32    77    30    78     4   114 0.85 -
117699at50557_104421_0:002a75|STRG.1444.1:636-1235|+   -            200 128261at50557        -            122   9.8e-06   24.6   0.0   1   1   3.1e-08     2e-05   23.7   0.0    27    78    28    82     6   121 0.77 -
117699at50557_219809_0:0002bf|STRG.1444.2:10-579|+     -            190 128261at50557        -            122   1.5e-05   24.1   0.0   1   1   4.8e-08     3e-05   23.1   0.0    32    78    23    72     7   111 0.81 -
120473at50557_1041015_0:0012df|STRG.3480.1:386-784|+   -            133 128261at50557        -            122    0.0015   17.5   0.0   1   1   3.7e-06    0.0023   17.0   0.0    35    83    29    80    20    87 0.87 -
120473at50557_1041015_0:0012df|STRG.393.1:196-684|+    -            163 128261at50557        -            122    0.0049   15.9   0.0   1   1   1.1e-05    0.0071   15.4   0.0    23    76    24    79     8    91 0.80 -
120473at50557_1049336_0:000626|STRG.7035.1:255-704|+   -            150 128261at50557        -            122     0.023   13.8   0.0   1   1   6.1e-05     0.038   13.0   0.0    27    67    30    70     6    77 0.81 -
116934at50557_286706_0:0006a3|STRG.14972.1:1104-1598|+ -            165 128261at50557        -            122     0.024   13.7   0.0   1   1   4.8e-05      0.03   13.4   0.0    32    76    52    99    30   136 0.86 -
116934at50557_286706_0:0006a3|STRG.14972.2:978-1472|+  -            165 128261at50557        -            122     0.024   13.7   0.0   1   1   4.8e-05      0.03   13.4   0.0    32    76    52    99    30   136 0.86 -
120473at50557_28612_0:003609|STRG.5748.1:207-626|+     -            140 128261at50557        -            122     0.045   12.8   0.0   1   2   0.00023      0.14   11.2   0.0    34    76    26    71    15    88 0.83 -
120473at50557_28612_0:003609|STRG.5748.1:207-626|+     -            140 128261at50557        -            122     0.045   12.8   0.0   2   2       1.2   7.4e+02   -0.8   0.0    28    72    94   138    72   140 0.66 -
116934at50557_286706_0:0006a3|STRG.422.1:960-1346|+    -            129 128261at50557        -            122     0.049   12.7   0.0   1   1   0.00011     0.071   12.2   0.0    35    82    27    77    18    90 0.83 -
116934at50557_286706_0:0006a3|STRG.422.2:1158-1544|+   -            129 128261at50557        -            122     0.049   12.7   0.0   1   1   0.00011     0.071   12.2   0.0    35    82    27    77    18    90 0.83 -
116934at50557_286706_0:0006a3|STRG.422.3:1719-2105|+   -            129 128261at50557        -            122     0.049   12.7   0.0   1   1   0.00011     0.071   12.2   0.0    35    82    27    77    18    90 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/128261at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/128261at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/128261at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:22:39 2024
# [ok]
