#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
136030at50557_103372_0:002306|STRG.3012.1:133-768|+  -            212 136030at50557        -            176   5.9e-67  223.8  14.6   1   1   9.5e-70   1.7e-66  222.3  14.6     1   175     1   209     1   211 0.88 -
98739at50557_103372_0:00015a|STRG.13517.1:226-1217|+ -            262 136030at50557        -            176   0.00017   20.4  10.8   1   3     2e-07   0.00036   19.4   3.0    74   149    48   122    42   133 0.87 -
98739at50557_103372_0:00015a|STRG.13517.1:226-1217|+ -            262 136030at50557        -            176   0.00017   20.4  10.8   2   3      0.34   5.9e+02   -0.9   0.0   100   141   186   225   175   232 0.83 -
98739at50557_103372_0:00015a|STRG.13517.1:226-1217|+ -            262 136030at50557        -            176   0.00017   20.4  10.8   3   3    0.0049       8.6    5.1   0.6    29    52   233   256   217   260 0.82 -
98739at50557_103372_0:00015a|STRG.13517.2:164-949|+  -            262 136030at50557        -            176   0.00017   20.4  10.8   1   3     2e-07   0.00036   19.4   3.0    74   149    48   122    42   133 0.87 -
98739at50557_103372_0:00015a|STRG.13517.2:164-949|+  -            262 136030at50557        -            176   0.00017   20.4  10.8   2   3      0.34   5.9e+02   -0.9   0.0   100   141   186   225   175   232 0.83 -
98739at50557_103372_0:00015a|STRG.13517.2:164-949|+  -            262 136030at50557        -            176   0.00017   20.4  10.8   3   3    0.0049       8.6    5.1   0.6    29    52   233   256   217   260 0.82 -
127373at50557_64793_0:00086f|STRG.14564.4:104-769|+  -            222 136030at50557        -            176     0.012   14.4   6.5   1   2     0.052        91    1.8   0.2    85   128    72   103    51   117 0.61 -
127373at50557_64793_0:00086f|STRG.14564.4:104-769|+  -            222 136030at50557        -            176     0.012   14.4   6.5   2   2   8.3e-06     0.015   14.1   2.2    93   159   149   215   114   222 0.83 -
141493at50557_74873_0:00258f|STRG.15144.1:52-660|+   -            203 136030at50557        -            176     0.022   13.5   5.1   1   2     0.019        34    3.2   0.4    82   139    73   131    57   141 0.76 -
141493at50557_74873_0:00258f|STRG.15144.1:52-660|+   -            203 136030at50557        -            176     0.022   13.5   5.1   2   2   3.1e-05     0.054   12.3   0.2   108   167   142   201   132   203 0.83 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/136030at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/136030at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/136030at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:23:02 2024
# [ok]
