#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
86747at50557_103372_0:0013d8|STRG.4297.1:186-1316|+    -            377 86747at50557         -            246   5.3e-81  270.6   8.5   1   1   7.7e-83   5.2e-80  267.3   8.5     1   234    59   347    59   357 0.90 -
13778at50557_103372_0:00133a|STRG.4238.1:0-2810|+      -            937 86747at50557         -            246   3.5e-05   22.3  16.3   1   4   1.6e-07   0.00011   20.7   1.4    44   144   141   242   135   251 0.85 -
13778at50557_103372_0:00133a|STRG.4238.1:0-2810|+      -            937 86747at50557         -            246   3.5e-05   22.3  16.3   2   4      0.39   2.6e+02   -0.2   0.1    63   105   442   483   420   489 0.79 -
13778at50557_103372_0:00133a|STRG.4238.1:0-2810|+      -            937 86747at50557         -            246   3.5e-05   22.3  16.3   3   4    0.0076       5.1    5.4   0.3    80   150   751   820   718   829 0.86 -
13778at50557_103372_0:00133a|STRG.4238.1:0-2810|+      -            937 86747at50557         -            246   3.5e-05   22.3  16.3   4   4     0.022        15    3.9   0.3    91   143   847   899   842   914 0.82 -
13778at50557_103372_0:00133a|STRG.4238.2:277-3087|+    -            937 86747at50557         -            246   3.5e-05   22.3  16.3   1   4   1.6e-07   0.00011   20.7   1.4    44   144   141   242   135   251 0.85 -
13778at50557_103372_0:00133a|STRG.4238.2:277-3087|+    -            937 86747at50557         -            246   3.5e-05   22.3  16.3   2   4      0.39   2.6e+02   -0.2   0.1    63   105   442   483   420   489 0.79 -
13778at50557_103372_0:00133a|STRG.4238.2:277-3087|+    -            937 86747at50557         -            246   3.5e-05   22.3  16.3   3   4    0.0076       5.1    5.4   0.3    80   150   751   820   718   829 0.86 -
13778at50557_103372_0:00133a|STRG.4238.2:277-3087|+    -            937 86747at50557         -            246   3.5e-05   22.3  16.3   4   4     0.022        15    3.9   0.3    91   143   847   899   842   914 0.82 -
35897at50557_1507135_0:001cf3|STRG.12254.1:275-967|+   -            231 86747at50557         -            246   0.00026   19.4   0.3   1   3       1.1   7.8e+02   -1.8   0.0    81   106    17    42     8    52 0.77 -
35897at50557_1507135_0:001cf3|STRG.12254.1:275-967|+   -            231 86747at50557         -            246   0.00026   19.4   0.3   2   3   5.4e-06    0.0037   15.7   0.0    83   152    62   129    54   134 0.91 -
35897at50557_1507135_0:001cf3|STRG.12254.1:275-967|+   -            231 86747at50557         -            246   0.00026   19.4   0.3   3   3      0.15     1e+02    1.1   0.1    78   149   139   208   125   212 0.81 -
35897at50557_1507135_0:001cf3|STRG.12254.2:275-1004|+  -            231 86747at50557         -            246   0.00026   19.4   0.3   1   3       1.1   7.8e+02   -1.8   0.0    81   106    17    42     8    52 0.77 -
35897at50557_1507135_0:001cf3|STRG.12254.2:275-1004|+  -            231 86747at50557         -            246   0.00026   19.4   0.3   2   3   5.4e-06    0.0037   15.7   0.0    83   152    62   129    54   134 0.91 -
35897at50557_1507135_0:001cf3|STRG.12254.2:275-1004|+  -            231 86747at50557         -            246   0.00026   19.4   0.3   3   3      0.15     1e+02    1.1   0.1    78   149   139   208   125   212 0.81 -
35897at50557_1507135_0:001cf3|STRG.11506.2:459-1382|+  -            308 86747at50557         -            246    0.0027   16.1   3.7   1   4   0.00075      0.51    8.6   0.1    87   137    11    61     8    68 0.94 -
35897at50557_1507135_0:001cf3|STRG.11506.2:459-1382|+  -            308 86747at50557         -            246    0.0027   16.1   3.7   2   4       3.3   2.3e+03   -3.3   0.0   121   138    95   112    84   114 0.71 -
35897at50557_1507135_0:001cf3|STRG.11506.2:459-1382|+  -            308 86747at50557         -            246    0.0027   16.1   3.7   3   4      0.83   5.6e+02   -1.3   0.0   122   148   137   163   133   169 0.79 -
35897at50557_1507135_0:001cf3|STRG.11506.2:459-1382|+  -            308 86747at50557         -            246    0.0027   16.1   3.7   4   4    0.0032       2.2    6.6   0.0    90   151   241   301   237   304 0.90 -
34630at50557_286306_0:0026cb|STRG.4228.2:115-1362|+    -            379 86747at50557         -            246     0.013   13.9   0.3   1   2       2.6   1.8e+03   -3.0   0.1     6    36    30    63    26    79 0.52 -
34630at50557_286306_0:0026cb|STRG.4228.2:115-1362|+    -            379 86747at50557         -            246     0.013   13.9   0.3   2   2   3.9e-05     0.026   12.9   0.0   114   167   244   299   227   303 0.80 -
34630at50557_34720_0:00024b|STRG.4228.1:433-2265|+     -            611 86747at50557         -            246      0.03   12.7   0.0   1   1   7.8e-05     0.053   11.9   0.0   116   167   177   230   159   234 0.80 -
34630at50557_34720_0:00024b|STRG.4228.3:8-1840|+       -            611 86747at50557         -            246      0.03   12.7   0.0   1   1   7.8e-05     0.053   11.9   0.0   116   167   177   230   159   234 0.80 -
125000at50557_535359_0:00123e|STRG.15406.1:53-589|+    -            177 86747at50557         -            246     0.034   12.5   0.4   1   2   0.00097      0.66    8.3   0.1   173   240    43   112    36   118 0.83 -
125000at50557_535359_0:00123e|STRG.15406.1:53-589|+    -            177 86747at50557         -            246     0.034   12.5   0.4   2   2     0.053        36    2.6   0.0    72    83   149   160   123   170 0.81 -
125000at50557_535359_0:00123e|STRG.15406.2:1349-1885|+ -            177 86747at50557         -            246     0.034   12.5   0.4   1   2   0.00097      0.66    8.3   0.1   173   240    43   112    36   118 0.83 -
125000at50557_535359_0:00123e|STRG.15406.2:1349-1885|+ -            177 86747at50557         -            246     0.034   12.5   0.4   2   2     0.053        36    2.6   0.0    72    83   149   160   123   170 0.81 -
57153at50557_67767_0:00056d|STRG.11625.1:9-2271|+      -            424 86747at50557         -            246     0.041   12.2   0.1   1   1    0.0001      0.07   11.5   0.1    64   100   283   319   258   344 0.78 -
10664at50557_103372_0:000ca5|STRG.2317.1:3-3323|+      -           1107 86747at50557         -            246       4.3    5.6  13.1   1   7       4.1   2.8e+03   -3.6   0.0   168   180    47    59    46    69 0.85 -
10664at50557_103372_0:000ca5|STRG.2317.1:3-3323|+      -           1107 86747at50557         -            246       4.3    5.6  13.1   2   7     0.071        48    2.2   0.1    88   114   101   127    99   150 0.92 -
10664at50557_103372_0:000ca5|STRG.2317.1:3-3323|+      -           1107 86747at50557         -            246       4.3    5.6  13.1   3   7       1.1   7.1e+02   -1.7   0.1   103   143   221   259   190   336 0.50 -
10664at50557_103372_0:000ca5|STRG.2317.1:3-3323|+      -           1107 86747at50557         -            246       4.3    5.6  13.1   4   7       0.8   5.4e+02   -1.3   0.0   127   155   369   396   362   406 0.79 -
10664at50557_103372_0:000ca5|STRG.2317.1:3-3323|+      -           1107 86747at50557         -            246       4.3    5.6  13.1   5   7    0.0005      0.34    9.2   0.0    89   152   414   477   411   560 0.75 -
10664at50557_103372_0:000ca5|STRG.2317.1:3-3323|+      -           1107 86747at50557         -            246       4.3    5.6  13.1   6   7         3     2e+03   -3.1   0.1   188   188   789   789   759   845 0.46 -
10664at50557_103372_0:000ca5|STRG.2317.1:3-3323|+      -           1107 86747at50557         -            246       4.3    5.6  13.1   7   7       2.9     2e+03   -3.1   0.1   127   152  1083  1107  1068  1107 0.64 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/86747at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/86747at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/86747at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:31:06 2024
# [ok]
