#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
45196at50557_103372_0:000dfd|STRG.15368.1:44-1690|+  -            549 45196at50557         -            372  8.7e-173  573.6  29.3   1   1  4.6e-173  6.7e-170  564.1  29.3     1   372    90   541    90   541 0.88 -
45196at50557_34720_0:000a5f|STRG.15368.2:44-1886|+   -            576 45196at50557         -            372  1.1e-167  556.8  34.5   1   2   1.5e-31   2.3e-28   98.4   8.4     1    72    90   179    90   186 0.86 -
45196at50557_34720_0:000a5f|STRG.15368.2:44-1886|+   -            576 45196at50557         -            372  1.1e-167  556.8  34.5   2   2  4.7e-140  6.9e-137  455.5  18.1    70   372   206   568   183   568 0.88 -
45196at50557_34720_0:000a5f|STRG.15368.4:44-1952|+   -            576 45196at50557         -            372  1.1e-167  556.8  34.5   1   2   1.5e-31   2.3e-28   98.4   8.4     1    72    90   179    90   186 0.86 -
45196at50557_34720_0:000a5f|STRG.15368.4:44-1952|+   -            576 45196at50557         -            372  1.1e-167  556.8  34.5   2   2  4.7e-140  6.9e-137  455.5  18.1    70   372   206   568   183   568 0.88 -
45196at50557_456900_0:000640|STRG.15368.3:121-1053|+ -            289 45196at50557         -            372  3.6e-110  367.6   6.2   1   1  4.8e-112    7e-109  363.3   6.2   134   372     1   281     1   281 0.89 -
45196at50557_67767_0:000250|STRG.15368.6:44-826|+    -            261 45196at50557         -            372     5e-58  196.0  16.7   1   2       1.1   1.6e+03   -3.1   0.1     4    16    59    71    57    76 0.82 -
45196at50557_67767_0:000250|STRG.15368.6:44-826|+    -            261 45196at50557         -            372     5e-58  196.0  16.7   2   2   3.4e-61     5e-58  196.0  16.7     1   128    90   238    90   257 0.88 -
45196at50557_34720_0:000a5f|STRG.15368.5:44-1022|+   -            288 45196at50557         -            372   2.5e-52  177.2  27.1   1   3       1.4   2.1e+03   -3.5   0.1     4    16    59    71    58    75 0.82 -
45196at50557_34720_0:000a5f|STRG.15368.5:44-1022|+   -            288 45196at50557         -            372   2.5e-52  177.2  27.1   2   3   9.6e-32   1.4e-28   99.0   9.4     1    72    90   179    90   185 0.86 -
45196at50557_34720_0:000a5f|STRG.15368.5:44-1022|+   -            288 45196at50557         -            372   2.5e-52  177.2  27.1   3   3   3.7e-28   5.4e-25   87.2   5.0    70   128   206   265   184   288 0.86 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/45196at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/45196at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/45196at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:26:53 2024
# [ok]
