#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
129498at50557_103372_0:001a9c|STRG.15507.1:423-1127|+  -            235 129498at50557        -            154     4e-84  279.4   4.5   1   1     2e-84   1.1e-82  274.7   4.5     1   152    11   178    11   180 0.94 -
106023at50557_34720_0:001fd2|STRG.3308.1:918-1577|+    -            220 129498at50557        -            154   3.2e-45  153.1   0.2   1   1   3.4e-46   1.9e-44  150.5   0.2     1   144    26   185    26   193 0.83 -
106023at50557_67767_0:00110a|STRG.3308.3:158-826|+     -            223 129498at50557        -            154   3.3e-45  153.0   0.2   1   1   3.6e-46     2e-44  150.5   0.2     1   144    29   188    29   196 0.83 -
106023at50557_34720_0:001fd2|STRG.3308.4:368-1063|+    -            232 129498at50557        -            154   3.9e-45  152.8   0.2   1   1   4.1e-46   2.2e-44  150.3   0.2     1   144    38   197    38   205 0.83 -
106023at50557_456900_0:0019f7|STRG.3308.2:370-1098|+   -            243 129498at50557        -            154   4.4e-45  152.6   0.2   1   1   4.7e-46   2.6e-44  150.1   0.2     1   144    49   208    49   216 0.83 -
107216at50557_56086_0:000591|STRG.2111.1:136-642|+     -            169 129498at50557        -            154     1e-37  128.6   0.4   1   1   3.1e-39   1.7e-37  127.9   0.4     2   125     9   135     8   169 0.89 -
108755at50557_178035_0:0020de|STRG.10765.2:251-877|+   -            209 129498at50557        -            154   2.4e-37  127.5   0.3   1   1     6e-39   3.3e-37  127.0   0.3     1   143    13   156    13   174 0.90 -
108755at50557_456900_0:000c82|STRG.10765.1:251-906|+   -            214 129498at50557        -            154   2.5e-37  127.4   0.3   1   1   6.5e-39   3.6e-37  126.9   0.3     1   143    13   156    13   174 0.90 -
104262at50557_411798_0:001745|STRG.7758.1:385-912|+    -            176 129498at50557        -            154   9.8e-37  125.5   1.9   1   1     1e-37   5.7e-36  123.0   1.9     2   145    13   172    12   176 0.84 -
104262at50557_64793_0:001dc9|STRG.14299.2:616-1341|+   -            242 129498at50557        -            154   5.7e-36  123.0   1.2   1   1   1.9e-37     1e-35  122.2   1.0     2   148    58   202    57   209 0.94 -
104262at50557_103372_0:002a03|STRG.14299.1:1-1022|+    -            217 129498at50557        -            154   5.8e-36  123.0   1.0   1   1   1.3e-37   7.5e-36  122.6   1.0     2   148    33   177    32   184 0.94 -
