#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
72085at50557_520822_0:002380|STRG.10311.2:126-1661|+ -            512 72085at50557         -            399  4.3e-167  554.8   0.0   1   1  8.3e-169  7.1e-167  554.1   0.0     1   399    35   505    35   505 0.91 -
72085at50557_64793_0:002c2e|STRG.10311.1:148-1071|+  -            245 72085at50557         -            399   3.5e-82  275.2   0.0   1   1   7.3e-84   6.2e-82  274.4   0.0   204   399    13   238     2   238 0.91 -
72085at50557_64793_0:002c2e|STRG.10311.3:148-1015|+  -            219 72085at50557         -            399   2.5e-78  262.5   0.1   1   1   5.4e-80   4.5e-78  261.6   0.1   204   387    13   218     2   219 0.91 -
108140at50557_7070_0:0020e2|STRG.3558.1:290-1729|+   -            480 72085at50557         -            399   1.3e-65  220.6   0.0   1   1   1.3e-66   1.1e-64  217.6   0.0     1   387     1   455     1   461 0.81 -
108140at50557_7070_0:0020e2|STRG.14059.1:213-1643|+  -            477 72085at50557         -            399   8.7e-65  217.9   0.4   1   1   8.4e-65   7.1e-63  211.6   0.4     2   387     2   454     1   457 0.80 -
108140at50557_7070_0:0020e2|STRG.14059.2:375-1805|+  -            477 72085at50557         -            399   8.7e-65  217.9   0.4   1   1   8.4e-65   7.1e-63  211.6   0.4     2   387     2   454     1   457 0.80 -
108140at50557_7070_0:0020e2|STRG.14059.3:711-2141|+  -            477 72085at50557         -            399   8.7e-65  217.9   0.4   1   1   8.4e-65   7.1e-63  211.6   0.4     2   387     2   454     1   457 0.80 -
108140at50557_7070_0:0020e2|STRG.14059.4:678-2108|+  -            477 72085at50557         -            399   8.7e-65  217.9   0.4   1   1   8.4e-65   7.1e-63  211.6   0.4     2   387     2   454     1   457 0.80 -
72085at50557_166423_0:000770|STRG.10311.4:126-719|+  -            198 72085at50557         -            399   1.3e-57  194.3   0.0   1   1   1.8e-59   1.5e-57  194.0   0.0     1   141    35   198    35   198 0.88 -
72085at50557_29053_0:000718|STRG.11649.2:725-2131|+  -            469 72085at50557         -            399   1.9e-31  108.1   0.1   1   2   5.4e-06   0.00046   18.0   0.0     9   110    19   125    13   154 0.78 -
72085at50557_29053_0:000718|STRG.11649.2:725-2131|+  -            469 72085at50557         -            399   1.9e-31  108.1   0.1   2   2   2.4e-27     2e-25   88.3   0.0   182   385   227   441   161   445 0.80 -
72085at50557_29053_0:000718|STRG.11649.3:720-2126|+  -            469 72085at50557         -            399   1.9e-31  108.1   0.1   1   2   5.4e-06   0.00046   18.0   0.0     9   110    19   125    13   154 0.78 -
72085at50557_29053_0:000718|STRG.11649.3:720-2126|+  -            469 72085at50557         -            399   1.9e-31  108.1   0.1   2   2   2.4e-27     2e-25   88.3   0.0   182   385   227   441   161   445 0.80 -
94143at50557_121845_0:0041d2|STRG.9996.1:646-2013|+  -            456 72085at50557         -            399   3.6e-31  107.2   0.4   1   1     2e-30   1.7e-28   98.4   0.4     4   383    27   455    25   456 0.76 -
94143at50557_121845_0:0041d2|STRG.9996.3:573-1940|+  -            456 72085at50557         -            399   3.6e-31  107.2   0.4   1   1     2e-30   1.7e-28   98.4   0.4     4   383    27   455    25   456 0.76 -
126811at50557_39758_0:001e02|STRG.6457.1:476-1726|+  -            417 72085at50557         -            399   2.3e-28   98.0   0.0   1   2   0.00038     0.033   11.9   0.1    37   133     3    96     1   113 0.80 -
126811at50557_39758_0:001e02|STRG.6457.1:476-1726|+  -            417 72085at50557         -            399   2.3e-28   98.0   0.0   2   2   4.4e-26   3.7e-24   84.1   0.0   184   387   176   402   163   409 0.83 -
126811at50557_39758_0:001e02|STRG.6457.3:446-1696|+  -            417 72085at50557         -            399   2.3e-28   98.0   0.0   1   2   0.00038     0.033   11.9   0.1    37   133     3    96     1   113 0.80 -
126811at50557_39758_0:001e02|STRG.6457.3:446-1696|+  -            417 72085at50557         -            399   2.3e-28   98.0   0.0   2   2   4.4e-26   3.7e-24   84.1   0.0   184   387   176   402   163   409 0.83 -
126811at50557_39758_0:001e02|STRG.8454.2:465-1658|+  -            398 72085at50557         -            399   2.4e-28   97.9   0.2   1   2   1.4e-05    0.0012   16.6   0.4    53   198     9   162     3   181 0.69 -
126811at50557_39758_0:001e02|STRG.8454.2:465-1658|+  -            398 72085at50557         -            399   2.4e-28   97.9   0.2   2   2   2.2e-24   1.8e-22   78.6   0.0   222   385   216   389   195   391 0.88 -
72085at50557_143995_0:0007fa|STRG.9017.4:18-1463|+   -            482 72085at50557         -            399   1.1e-27   95.7   0.1   1   2   4.2e-05    0.0036   15.0   0.1     2   109     3   107     2   186 0.75 -
72085at50557_143995_0:0007fa|STRG.9017.4:18-1463|+   -            482 72085at50557         -            399   1.1e-27   95.7   0.1   2   2     2e-24   1.7e-22   78.7   0.0   212   384   264   450   238   456 0.85 -
94143at50557_7029_0:002728|STRG.8454.1:145-1215|+    -            357 72085at50557         -            399   7.4e-27   93.0   0.1   1   1     6e-26   5.1e-24   83.7   0.1   117   385    34   341    19   344 0.74 -
72085at50557_143995_0:0007fa|STRG.9017.3:18-1466|+   -            483 72085at50557         -            399   8.7e-27   92.8   0.1   1   2   0.00032     0.027   12.1   0.1     2   109     3   108     2   187 0.72 -
72085at50557_143995_0:0007fa|STRG.9017.3:18-1466|+   -            483 72085at50557         -            399   8.7e-27   92.8   0.1   2   2     2e-24   1.7e-22   78.7   0.0   212   384   265   451   239   457 0.85 -
72085at50557_7130_0:001136|STRG.11649.1:1319-2401|+  -            361 72085at50557         -            399   1.8e-26   91.8   0.2   1   2       1.1        96    0.4   0.1    96   110     1    15     1    40 0.89 -
72085at50557_7130_0:001136|STRG.11649.1:1319-2401|+  -            361 72085at50557         -            399   1.8e-26   91.8   0.2   2   2   1.2e-27     1e-25   89.3   0.0   182   385   117   331    52   335 0.80 -
72085at50557_132113_0:0003c8|STRG.9015.1:194-1648|+  -            485 72085at50557         -            399   1.9e-25   88.4   0.1   1   2    0.0021      0.18    9.4   0.0     6   107     3   101     1   169 0.77 -
72085at50557_132113_0:0003c8|STRG.9015.1:194-1648|+  -            485 72085at50557         -            399   1.9e-25   88.4   0.1   2   2   6.1e-24   5.2e-22   77.1   0.0   218   385   269   450   199   455 0.77 -
72085at50557_143995_0:0007fa|STRG.9017.1:150-1499|+  -            450 72085at50557         -            399   4.9e-25   87.0   0.0   1   2     0.023         2    6.0   0.0    51   109    19    75     5   155 0.68 -
72085at50557_143995_0:0007fa|STRG.9017.1:150-1499|+  -            450 72085at50557         -            399   4.9e-25   87.0   0.0   2   2   1.7e-24   1.4e-22   78.9   0.0   212   384   232   418   206   424 0.85 -
72085at50557_454923_0:00037b|STRG.6973.2:173-1504|+  -            444 72085at50557         -            399   9.7e-25   86.0   0.2   1   2    0.0014      0.12   10.0   0.2     2   105     2   104     1   243 0.81 -
72085at50557_454923_0:00037b|STRG.6973.2:173-1504|+  -            444 72085at50557         -            399   9.7e-25   86.0   0.2   2   2   4.6e-23   3.9e-21   74.2   0.0   229   381   275   442   226   444 0.78 -
126811at50557_39758_0:001e02|STRG.5400.1:444-1826|+  -            461 72085at50557         -            399   1.3e-24   85.6   0.6   1   3     0.038       3.3    5.3   0.0    38   106     1    65     1    80 0.84 -
126811at50557_39758_0:001e02|STRG.5400.1:444-1826|+  -            461 72085at50557         -            399   1.3e-24   85.6   0.6   2   3       1.8   1.5e+02   -0.2   0.2   244   278   155   189    98   203 0.69 -
126811at50557_39758_0:001e02|STRG.5400.1:444-1826|+  -            461 72085at50557         -            399   1.3e-24   85.6   0.6   3   3   7.6e-24   6.4e-22   76.7   0.1   215   384   258   443   194   451 0.77 -
126811at50557_39758_0:001e02|STRG.5400.2:234-1616|+  -            461 72085at50557         -            399   1.3e-24   85.6   0.6   1   3     0.038       3.3    5.3   0.0    38   106     1    65     1    80 0.84 -
126811at50557_39758_0:001e02|STRG.5400.2:234-1616|+  -            461 72085at50557         -            399   1.3e-24   85.6   0.6   2   3       1.8   1.5e+02   -0.2   0.2   244   278   155   189    98   203 0.69 -
126811at50557_39758_0:001e02|STRG.5400.2:234-1616|+  -            461 72085at50557         -            399   1.3e-24   85.6   0.6   3   3   7.6e-24   6.4e-22   76.7   0.1   215   384   258   443   194   451 0.77 -
72085at50557_143995_0:0007fa|STRG.9017.2:44-1327|+   -            428 72085at50557         -            399     6e-24   83.4   0.1   1   2   3.3e-05    0.0028   15.4   0.1     2   109     3   107     2   187 0.74 -
72085at50557_143995_0:0007fa|STRG.9017.2:44-1327|+   -            428 72085at50557         -            399     6e-24   83.4   0.1   2   2   1.3e-20   1.1e-18   66.1   0.0   212   362   264   428   238   428 0.84 -
