#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
110550at50557_34720_0:001b2d|STRG.15365.1:139-1401|+  -            421 110550at50557        -            317  6.4e-121  402.0  12.0   1   1  2.4e-122  2.1e-119  397.0  12.0     7   292    28   326    23   367 0.87 -
110550at50557_7176_0:002560|STRG.14758.1:119-937|+    -            273 110550at50557        -            317   1.6e-08   32.7   0.7   1   3      0.15   1.3e+02    0.2   0.0     9    32     4    27     1    32 0.86 -
110550at50557_7176_0:002560|STRG.14758.1:119-937|+    -            273 110550at50557        -            317   1.6e-08   32.7   0.7   2   3     0.011        10    3.8   0.0    50    65    69    84    55    96 0.89 -
110550at50557_7176_0:002560|STRG.14758.1:119-937|+    -            273 110550at50557        -            317   1.6e-08   32.7   0.7   3   3   3.7e-09   3.3e-06   25.1   0.4   150   244   147   242   118   272 0.72 -
67606at50557_224129_0:00052e|STRG.15728.1:1046-1723|+ -            226 110550at50557        -            317    0.0018   16.1   0.0   1   1   3.8e-06    0.0034   15.2   0.0    49    75    43    69    26    76 0.89 -
67606at50557_224129_0:00052e|STRG.15728.2:937-1614|+  -            226 110550at50557        -            317    0.0018   16.1   0.0   1   1   3.8e-06    0.0034   15.2   0.0    49    75    43    69    26    76 0.89 -
78395at50557_69319_0:000edd|STRG.13421.1:1744-2541|+  -            266 110550at50557        -            317    0.0085   13.9   0.0   1   1     2e-05     0.018   12.9   0.0    46    76    22    52     5    92 0.87 -
78395at50557_69319_0:000edd|STRG.13421.2:1795-2592|+  -            266 110550at50557        -            317    0.0085   13.9   0.0   1   1     2e-05     0.018   12.9   0.0    46    76    22    52     5    92 0.87 -
67606at50557_123851_0:003a23|STRG.6927.1:608-1330|+   -            241 110550at50557        -            317     0.023   12.5   0.0   1   1   5.7e-05      0.05   11.4   0.0    47    70    11    34     4    45 0.92 -
30467at50557_286306_0:001fcb|STRG.1946.2:504-2792|+   -            763 110550at50557        -            317     0.032   12.0   0.0   1   2      0.89   7.8e+02   -2.4   0.0    50    76   268   294   264   300 0.88 -
30467at50557_286306_0:001fcb|STRG.1946.2:504-2792|+   -            763 110550at50557        -            317     0.032   12.0   0.0   2   2   0.00012      0.11   10.3   0.0    53    96   526   571   523   581 0.80 -
30467at50557_286306_0:001fcb|STRG.1946.3:458-2767|+   -            770 110550at50557        -            317     0.032   12.0   0.0   1   2       0.9   7.9e+02   -2.4   0.0    50    76   268   294   264   300 0.88 -
30467at50557_286306_0:001fcb|STRG.1946.3:458-2767|+   -            770 110550at50557        -            317     0.032   12.0   0.0   2   2   0.00012      0.11   10.3   0.0    53    96   526   571   523   581 0.80 -
30467at50557_286306_0:001fcb|STRG.1946.5:400-2709|+   -            770 110550at50557        -            317     0.032   12.0   0.0   1   2       0.9   7.9e+02   -2.4   0.0    50    76   268   294   264   300 0.88 -
30467at50557_286306_0:001fcb|STRG.1946.5:400-2709|+   -            770 110550at50557        -            317     0.032   12.0   0.0   2   2   0.00012      0.11   10.3   0.0    53    96   526   571   523   581 0.80 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/110550at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/110550at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/110550at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:21:37 2024
# [ok]
