#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
73354at50557_520822_0:000657|STRG.8350.1:309-1553|+ -            402 73354at50557         -            295  5.1e-134  444.9   1.3   1   1  5.4e-137  9.5e-134  444.0   1.3     1   295    46   391    46   391 0.89 -
89033at50557_103372_0:0014b2|STRG.15306.1:0-905|+   -            302 73354at50557         -            295   2.3e-17   62.0   1.6   1   2   2.9e-20   5.1e-17   60.9   1.1   153   241   144   230    77   237 0.78 -
89033at50557_103372_0:0014b2|STRG.15306.1:0-905|+   -            302 73354at50557         -            295   2.3e-17   62.0   1.6   2   2      0.18   3.1e+02   -0.8   0.0     4    26   232   254   229   258 0.88 -
89033at50557_103372_0:0014b2|STRG.15306.2:0-905|+   -            302 73354at50557         -            295   2.3e-17   62.0   1.6   1   2   2.9e-20   5.1e-17   60.9   1.1   153   241   144   230    77   237 0.78 -
89033at50557_103372_0:0014b2|STRG.15306.2:0-905|+   -            302 73354at50557         -            295   2.3e-17   62.0   1.6   2   2      0.18   3.1e+02   -0.8   0.0     4    26   232   254   229   258 0.88 -
73354at50557_64793_0:0001cd|STRG.5904.1:729-1592|+  -            288 73354at50557         -            295   4.9e-16   57.6   0.6   1   2   4.8e-17   8.5e-14   50.3   0.1    63   243    29   216    21   241 0.79 -
73354at50557_64793_0:0001cd|STRG.5904.1:729-1592|+  -            288 73354at50557         -            295   4.9e-16   57.6   0.6   2   2    0.0019       3.3    5.7   0.0   269   292   263   287   256   288 0.84 -
89033at50557_7493_0:00129c|STRG.4050.1:503-1210|+   -            236 73354at50557         -            295   2.1e-08   32.6   2.9   1   2   9.2e-11   1.6e-07   29.7   1.8   159   244    77   160    18   165 0.90 -
89033at50557_7493_0:00129c|STRG.4050.1:503-1210|+   -            236 73354at50557         -            295   2.1e-08   32.6   2.9   2   2     0.035        61    1.5   0.0   269   291   198   221   187   225 0.84 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/73354at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/73354at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/73354at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:29:55 2024
# [ok]
