#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
116934at50557_103372_0:000d14|STRG.7216.1:153-713|+    -            187 116934at50557        -            140   2.2e-74  246.9   0.0   1   1   1.3e-76     3e-74  246.4   0.0     3   139    23   166    21   167 0.94 -
120473at50557_1041015_0:0012df|STRG.15298.2:778-1230|+ -            151 116934at50557        -            140   1.3e-39  134.2   0.0   1   1   7.1e-42   1.6e-39  133.9   0.0    13   138     7   135     2   137 0.95 -
120473at50557_37344_0:000b45|STRG.15298.1:793-1275|+   -            161 116934at50557        -            140   1.4e-39  134.0   0.0   1   1   8.3e-42   1.9e-39  133.7   0.0    13   138     7   135     2   137 0.95 -
120473at50557_1041015_0:0012df|STRG.9589.1:562-969|+   -            136 116934at50557        -            140   5.2e-36  122.5   0.0   1   1   2.7e-38   6.1e-36  122.3   0.0    15   135     3   126     1   130 0.95 -
120473at50557_1041015_0:0012df|STRG.9589.2:119-526|+   -            136 116934at50557        -            140   5.2e-36  122.5   0.0   1   1   2.7e-38   6.1e-36  122.3   0.0    15   135     3   126     1   130 0.95 -
120473at50557_1041015_0:0012df|STRG.9589.3:108-515|+   -            136 116934at50557        -            140   5.2e-36  122.5   0.0   1   1   2.7e-38   6.1e-36  122.3   0.0    15   135     3   126     1   130 0.95 -
120473at50557_1041015_0:0012df|STRG.3480.1:386-784|+   -            133 116934at50557        -            140   5.4e-34  116.0   0.0   1   1   2.5e-36   5.7e-34  115.9   0.0    12   135     2   128     1   133 0.93 -
116934at50557_286706_0:0006a3|STRG.422.1:960-1346|+    -            129 116934at50557        -            140   1.3e-32  111.5   0.0   1   1   6.3e-35   1.4e-32  111.4   0.0    14   134     2   125     1   129 0.93 -
116934at50557_286706_0:0006a3|STRG.422.2:1158-1544|+   -            129 116934at50557        -            140   1.3e-32  111.5   0.0   1   1   6.3e-35   1.4e-32  111.4   0.0    14   134     2   125     1   129 0.93 -
116934at50557_286706_0:0006a3|STRG.422.3:1719-2105|+   -            129 116934at50557        -            140   1.3e-32  111.5   0.0   1   1   6.3e-35   1.4e-32  111.4   0.0    14   134     2   125     1   129 0.93 -
117699at50557_104421_0:002a75|STRG.1444.1:636-1235|+   -            200 116934at50557        -            140   3.8e-28   97.0   0.0   1   1   2.1e-30   4.7e-28   96.7   0.0    10   135     4   136     1   141 0.84 -
117699at50557_219809_0:0002bf|STRG.1444.2:10-579|+     -            190 116934at50557        -            140   1.9e-27   94.7   0.0   1   1   1.1e-29   2.6e-27   94.3   0.0    37   135    24   126    12   131 0.90 -
120473at50557_1041015_0:0012df|STRG.548.1:615-1097|+   -            161 116934at50557        -            140   2.8e-27   94.2   0.3   1   1   2.1e-28   4.8e-26   90.2   0.3    34   137    28   147     2   150 0.86 -
120473at50557_1041015_0:0012df|STRG.393.1:196-684|+    -            163 116934at50557        -            140   3.3e-27   94.0   0.0   1   1   1.2e-28   2.7e-26   91.0   0.0    13   135     8   147     2   154 0.84 -
120473at50557_1049336_0:000626|STRG.5649.1:259-744|+   -            162 116934at50557        -            140   5.9e-26   89.9   0.0   1   1   1.5e-27   3.5e-25   87.4   0.0    11   137     5   148     2   151 0.89 -
116934at50557_286706_0:0006a3|STRG.14972.1:1104-1598|+ -            165 116934at50557        -            140   1.4e-25   88.7   0.0   1   1   7.5e-28   1.7e-25   88.4   0.0     6   135    22   154    18   159 0.92 -
116934at50557_286706_0:0006a3|STRG.14972.2:978-1472|+  -            165 116934at50557        -            140   1.4e-25   88.7   0.0   1   1   7.5e-28   1.7e-25   88.4   0.0     6   135    22   154    18   159 0.92 -
116934at50557_121225_0:000e6c|STRG.1983.1:372-758|+    -            129 116934at50557        -            140   7.7e-22   76.6   0.0   1   1   3.9e-24   8.8e-22   76.4   0.0    11   117    15   128     6   129 0.87 -
116934at50557_108931_0:001c95|STRG.11001.1:280-690|+   -            137 116934at50557        -            140   1.1e-21   76.1   0.0   1   1   5.5e-24   1.2e-21   75.9   0.0    31   138    21   130     2   132 0.86 -
117699at50557_7394_0:002ded|STRG.13219.1:843-1235|+    -            131 116934at50557        -            140   7.6e-21   73.4   0.0   1   1   3.9e-23   8.9e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.13219.2:1464-1856|+   -            131 116934at50557        -            140   7.6e-21   73.4   0.0   1   1   3.9e-23   8.9e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.13219.3:884-1276|+    -            131 116934at50557        -            140   7.6e-21   73.4   0.0   1   1   3.9e-23   8.9e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.13219.4:842-1234|+    -            131 116934at50557        -            140   7.6e-21   73.4   0.0   1   1   3.9e-23   8.9e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
117699at50557_7394_0:002ded|STRG.13219.5:863-1255|+    -            131 116934at50557        -            140   7.6e-21   73.4   0.0   1   1   3.9e-23   8.9e-21   73.1   0.0    46   134    20   113    12   123 0.87 -
120473at50557_1049336_0:000626|STRG.7035.1:255-704|+   -            150 116934at50557        -            140   3.7e-20   71.1   0.0   1   1   1.8e-22   4.2e-20   71.0   0.0    34   135    32   139     7   146 0.90 -
120473at50557_28612_0:003609|STRG.5748.1:207-626|+     -            140 116934at50557        -            140   4.4e-19   67.6   0.0   1   1   2.2e-21     5e-19   67.5   0.0    15   134     3   125     1   131 0.93 -
117699at50557_28612_0:004e72|STRG.6609.1:126-506|+     -            127 116934at50557        -            140   4.8e-19   67.5   0.0   1   1   2.3e-21   5.2e-19   67.4   0.0    13   131     3   125     1   127 0.90 -
116934at50557_219809_0:000204|STRG.548.2:207-506|+     -            100 116934at50557        -            140   7.3e-19   66.9   0.4   1   1   8.3e-20   1.9e-17   62.4   0.4    62   138     1    92     1    94 0.89 -
117925at50557_37001_0:0022f0|STRG.11072.1:307-750|+    -            148 116934at50557        -            140   2.3e-13   49.1   0.0   1   1   1.2e-15   2.6e-13   48.9   0.0     5   119     8   125     4   147 0.88 -
117925at50557_103372_0:00113b|STRG.6590.1:599-1297|+   -            233 116934at50557        -            140   1.3e-11   43.5   0.0   1   1   7.8e-14   1.8e-11   43.0   0.0     7   120     7   124     1   142 0.87 -
117699at50557_7493_0:0020c6|STRG.3213.1:264-701|+      -            146 116934at50557        -            140   1.8e-10   39.8   0.0   1   1   9.6e-13   2.2e-10   39.5   0.0    32   137    17   131     3   134 0.87 -
