#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
132744at50557_103372_0:0003f0|STRG.12669.1:289-660|+   -            124 132744at50557        -             95   5.1e-51  169.9   0.8   1   1     1e-52   1.9e-50  168.1   0.8     1    95    14   124    14   124 0.94 -
10394at50557_7536_0:0020dc|STRG.16496.3:825-1337|+     -            171 132744at50557        -             95   1.4e-07   30.7   1.3   1   2   2.5e-06   0.00048   19.4   0.1    17    91    12    88     2    93 0.77 -
10394at50557_7536_0:0020dc|STRG.16496.3:825-1337|+     -            171 132744at50557        -             95   1.4e-07   30.7   1.3   2   2    0.0013      0.24   10.7   0.2     7    61    95   148    89   171 0.58 -
10394at50557_7536_0:0020dc|STRG.16496.4:224-736|+      -            171 132744at50557        -             95   1.4e-07   30.7   1.3   1   2   2.5e-06   0.00048   19.4   0.1    17    91    12    88     2    93 0.77 -
10394at50557_7536_0:0020dc|STRG.16496.4:224-736|+      -            171 132744at50557        -             95   1.4e-07   30.7   1.3   2   2    0.0013      0.24   10.7   0.2     7    61    95   148    89   171 0.58 -
10394at50557_38123_0:002dad|STRG.12099.10:2628-3038|+  -            137 132744at50557        -             95   1.9e-05   23.9   0.1   1   2    0.0026      0.48    9.7   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.12099.10:2628-3038|+  -            137 132744at50557        -             95   1.9e-05   23.9   0.1   2   2   0.00037     0.069   12.4   0.0    13    78    67   136    50   137 0.74 -
10394at50557_38123_0:002dad|STRG.12099.6:2739-3149|+   -            137 132744at50557        -             95   1.9e-05   23.9   0.1   1   2    0.0026      0.48    9.7   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.12099.6:2739-3149|+   -            137 132744at50557        -             95   1.9e-05   23.9   0.1   2   2   0.00037     0.069   12.4   0.0    13    78    67   136    50   137 0.74 -
10394at50557_38123_0:002dad|STRG.12099.7:2628-3038|+   -            137 132744at50557        -             95   1.9e-05   23.9   0.1   1   2    0.0026      0.48    9.7   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.12099.7:2628-3038|+   -            137 132744at50557        -             95   1.9e-05   23.9   0.1   2   2   0.00037     0.069   12.4   0.0    13    78    67   136    50   137 0.74 -
10394at50557_38123_0:002dad|STRG.12099.8:2628-3038|+   -            137 132744at50557        -             95   1.9e-05   23.9   0.1   1   2    0.0026      0.48    9.7   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.12099.8:2628-3038|+   -            137 132744at50557        -             95   1.9e-05   23.9   0.1   2   2   0.00037     0.069   12.4   0.0    13    78    67   136    50   137 0.74 -
10394at50557_38123_0:002dad|STRG.12099.9:2628-3038|+   -            137 132744at50557        -             95   1.9e-05   23.9   0.1   1   2    0.0026      0.48    9.7   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.12099.9:2628-3038|+   -            137 132744at50557        -             95   1.9e-05   23.9   0.1   2   2   0.00037     0.069   12.4   0.0    13    78    67   136    50   137 0.74 -
10394at50557_38123_0:002dad|STRG.12099.1:2466-2846|+   -            127 132744at50557        -             95   2.2e-05   23.7   0.1   1   2    0.0022      0.42    9.9   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.12099.1:2466-2846|+   -            127 132744at50557        -             95   2.2e-05   23.7   0.1   2   2   0.00047     0.088   12.1   0.0    13    78    57   126    47   127 0.76 -
10394at50557_38123_0:002dad|STRG.12099.2:2739-3119|+   -            127 132744at50557        -             95   2.2e-05   23.7   0.1   1   2    0.0022      0.42    9.9   0.0    53    81     1    30     1    40 0.83 -
10394at50557_38123_0:002dad|STRG.12099.2:2739-3119|+   -            127 132744at50557        -             95   2.2e-05   23.7   0.1   2   2   0.00047     0.088   12.1   0.0    13    78    57   126    47   127 0.76 -
10394at50557_38123_0:002dad|STRG.12099.3:2739-3119|+   -            127 132744at50557        -             95   2.2e-05   23.7   0.1   1   2    0.0022      0.42    9.9   0.0    53    81     1    30     1    40 0.83 -
