#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
106946at50557_103372_0:002af8|STRG.4408.1:288-1187|+ -            300 106946at50557        -            238  1.8e-122  406.2  11.9   1   1  7.4e-125  8.1e-122  404.0  11.9     8   238    42   300    36   300 0.93 -
106946at50557_7070_0:000002|STRG.11093.1:625-1218|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   1   3   0.00053      0.59    8.4   2.7    75   112    17    54    13    62 0.83 -
106946at50557_7070_0:000002|STRG.11093.1:625-1218|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   2   3      0.15   1.7e+02    0.3   1.4    77   124    53   103    44   111 0.63 -
106946at50557_7070_0:000002|STRG.11093.1:625-1218|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   3   3   2.7e-08     3e-05   22.4   5.0   160   237   120   198    88   198 0.73 -
106946at50557_7070_0:000002|STRG.11093.2:758-1351|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   1   3   0.00053      0.59    8.4   2.7    75   112    17    54    13    62 0.83 -
106946at50557_7070_0:000002|STRG.11093.2:758-1351|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   2   3      0.15   1.7e+02    0.3   1.4    77   124    53   103    44   111 0.63 -
106946at50557_7070_0:000002|STRG.11093.2:758-1351|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   3   3   2.7e-08     3e-05   22.4   5.0   160   237   120   198    88   198 0.73 -
106946at50557_7070_0:000002|STRG.11093.3:754-1347|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   1   3   0.00053      0.59    8.4   2.7    75   112    17    54    13    62 0.83 -
106946at50557_7070_0:000002|STRG.11093.3:754-1347|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   2   3      0.15   1.7e+02    0.3   1.4    77   124    53   103    44   111 0.63 -
106946at50557_7070_0:000002|STRG.11093.3:754-1347|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   3   3   2.7e-08     3e-05   22.4   5.0   160   237   120   198    88   198 0.73 -
106946at50557_7070_0:000002|STRG.11093.4:712-1305|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   1   3   0.00053      0.59    8.4   2.7    75   112    17    54    13    62 0.83 -
106946at50557_7070_0:000002|STRG.11093.4:712-1305|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   2   3      0.15   1.7e+02    0.3   1.4    77   124    53   103    44   111 0.63 -
106946at50557_7070_0:000002|STRG.11093.4:712-1305|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   3   3   2.7e-08     3e-05   22.4   5.0   160   237   120   198    88   198 0.73 -
106946at50557_7070_0:000002|STRG.11093.5:630-1223|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   1   3   0.00053      0.59    8.4   2.7    75   112    17    54    13    62 0.83 -
106946at50557_7070_0:000002|STRG.11093.5:630-1223|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   2   3      0.15   1.7e+02    0.3   1.4    77   124    53   103    44   111 0.63 -
106946at50557_7070_0:000002|STRG.11093.5:630-1223|+  -            198 106946at50557        -            238   3.8e-06   25.4  16.7   3   3   2.7e-08     3e-05   22.4   5.0   160   237   120   198    88   198 0.73 -
75685at50557_103372_0:002577|STRG.16682.1:312-1247|+ -            312 106946at50557        -            238     0.012   13.9   0.2   1   1   2.2e-05     0.025   12.9   0.2   100   167   186   250   180   278 0.71 -
75685at50557_103372_0:002577|STRG.16682.2:293-1228|+ -            312 106946at50557        -            238     0.012   13.9   0.2   1   1   2.2e-05     0.025   12.9   0.2   100   167   186   250   180   278 0.71 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/106946at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/106946at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/106946at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:21:15 2024
# [ok]
