#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
65980at50557_411798_0:003970|STRG.15019.2:359-2822|+  -            504 65980at50557         -            380  1.1e-165  550.3   3.6   1   1  3.7e-168  1.6e-165  549.7   3.6     1   374     4   426     4   433 0.92 -
65980at50557_103372_0:0003b3|STRG.15019.3:359-1489|+  -            325 65980at50557         -            380  1.2e-123  411.9   0.2   1   1  3.6e-126  1.6e-123  411.5   0.2     1   285     4   325     4   325 0.93 -
89121at50557_34720_0:000746|STRG.13178.1:113-1114|+   -            334 65980at50557         -            380   2.5e-07   29.1   1.4   1   2      0.47   2.1e+02   -0.3   0.0     6    48    44    86    41   112 0.72 -
89121at50557_34720_0:000746|STRG.13178.1:113-1114|+   -            334 65980at50557         -            380   2.5e-07   29.1   1.4   2   2   1.2e-09   5.2e-07   28.0   0.6   152   335   106   307    83   332 0.75 -
89121at50557_34720_0:000746|STRG.13178.2:113-1262|+   -            334 65980at50557         -            380   4.2e-07   28.3   1.0   1   2      0.47   2.1e+02   -0.3   0.0     6    48    44    86    41   112 0.72 -
89121at50557_34720_0:000746|STRG.13178.2:113-1262|+   -            334 65980at50557         -            380   4.2e-07   28.3   1.0   2   2   2.3e-09     1e-06   27.1   0.4   154   335   108   307    85   332 0.74 -
57156at50557_28612_0:002d5e|STRG.8395.2:1298-1921|+   -            208 65980at50557         -            380    0.0022   16.0   1.6   1   1   1.4e-05    0.0062   14.6   1.6   192   342    10   175     1   183 0.72 -
57156at50557_28612_0:002d5e|STRG.8395.4:1796-2419|+   -            208 65980at50557         -            380    0.0022   16.0   1.6   1   1   1.4e-05    0.0062   14.6   1.6   192   342    10   175     1   183 0.72 -
57156at50557_28612_0:002d5e|STRG.8395.5:784-1407|+    -            208 65980at50557         -            380    0.0022   16.0   1.6   1   1   1.4e-05    0.0062   14.6   1.6   192   342    10   175     1   183 0.72 -
26870at50557_13249_0:003446|STRG.13597.1:1574-2434|+  -            287 65980at50557         -            380    0.0024   16.0   0.1   1   1   8.3e-06    0.0036   15.4   0.1   221   328   117   229    99   281 0.88 -
26870at50557_13249_0:003446|STRG.13597.2:1574-2434|+  -            287 65980at50557         -            380    0.0024   16.0   0.1   1   1   8.3e-06    0.0036   15.4   0.1   221   328   117   229    99   281 0.88 -
26870at50557_13249_0:003446|STRG.13597.3:1574-2434|+  -            287 65980at50557         -            380    0.0024   16.0   0.1   1   1   8.3e-06    0.0036   15.4   0.1   221   328   117   229    99   281 0.88 -
65980at50557_197043_0:004bea|STRG.15019.1:223-504|+   -             94 65980at50557         -            380     0.003   15.7   1.1   1   2   6.2e-05     0.027   12.5   0.2   350   374    11    37     4    51 0.82 -
65980at50557_197043_0:004bea|STRG.15019.1:223-504|+   -             94 65980at50557         -            380     0.003   15.7   1.1   2   2     0.068        30    2.5   0.1   333   357    58    82    43    88 0.73 -
35300at50557_520822_0:00001c|STRG.14779.1:1954-2394|+ -            147 65980at50557         -            380    0.0044   15.1   0.2   1   2     0.026        11    3.9   0.0   303   333    29    59    20    72 0.54 -
