#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
53123at50557_520822_0:001c5a|STRG.6296.1:192-1310|+ -            373 53123at50557         -            221    5e-118  391.1   5.6   1   1  5.9e-121  6.4e-118  390.8   5.6     1   221    29   290    29   290 0.90 -
97131at50557_13686_0:00104b|STRG.13653.1:241-1137|+ -            299 53123at50557         -            221   4.8e-05   21.7   0.3   1   3     5e-05     0.055   11.7   0.1     5    47    13    55    10    79 0.85 -
97131at50557_13686_0:00104b|STRG.13653.1:241-1137|+ -            299 53123at50557         -            221   4.8e-05   21.7   0.3   2   3       1.8     2e+03   -3.2   0.0    73    90   111   128   109   158 0.67 -
97131at50557_13686_0:00104b|STRG.13653.1:241-1137|+ -            299 53123at50557         -            221   4.8e-05   21.7   0.3   3   3    0.0009      0.99    7.6   0.0   121   210   193   285   179   294 0.81 -
97131at50557_13686_0:00104b|STRG.13653.2:87-983|+   -            299 53123at50557         -            221   4.8e-05   21.7   0.3   1   3     5e-05     0.055   11.7   0.1     5    47    13    55    10    79 0.85 -
97131at50557_13686_0:00104b|STRG.13653.2:87-983|+   -            299 53123at50557         -            221   4.8e-05   21.7   0.3   2   3       1.8     2e+03   -3.2   0.0    73    90   111   128   109   158 0.67 -
97131at50557_13686_0:00104b|STRG.13653.2:87-983|+   -            299 53123at50557         -            221   4.8e-05   21.7   0.3   3   3    0.0009      0.99    7.6   0.0   121   210   193   285   179   294 0.81 -
80653at50557_37344_0:001bee|STRG.6883.3:533-1171|+  -            213 53123at50557         -            221     0.033   12.4   0.0   1   1   4.9e-05     0.053   11.7   0.0     4    41    15    52    12    97 0.83 -
80653at50557_108931_0:0024a8|STRG.6883.1:435-1292|+ -            286 53123at50557         -            221     0.046   12.0   0.1   1   2   8.3e-05     0.092   11.0   0.0     4    40    15    51    12    94 0.84 -
80653at50557_108931_0:0024a8|STRG.6883.1:435-1292|+ -            286 53123at50557         -            221     0.046   12.0   0.1   2   2       1.6   1.8e+03   -3.0   0.0   172   179   200   207   194   245 0.53 -
80653at50557_108931_0:0024a8|STRG.6883.2:591-1448|+ -            286 53123at50557         -            221     0.046   12.0   0.1   1   2   8.3e-05     0.092   11.0   0.0     4    40    15    51    12    94 0.84 -
80653at50557_108931_0:0024a8|STRG.6883.2:591-1448|+ -            286 53123at50557         -            221     0.046   12.0   0.1   2   2       1.6   1.8e+03   -3.0   0.0   172   179   200   207   194   245 0.53 -
80653at50557_108931_0:0024a8|STRG.6883.5:484-1341|+ -            286 53123at50557         -            221     0.046   12.0   0.1   1   2   8.3e-05     0.092   11.0   0.0     4    40    15    51    12    94 0.84 -
80653at50557_108931_0:0024a8|STRG.6883.5:484-1341|+ -            286 53123at50557         -            221     0.046   12.0   0.1   2   2       1.6   1.8e+03   -3.0   0.0   172   179   200   207   194   245 0.53 -
80653at50557_108931_0:0024a8|STRG.6883.6:364-1221|+ -            286 53123at50557         -            221     0.046   12.0   0.1   1   2   8.3e-05     0.092   11.0   0.0     4    40    15    51    12    94 0.84 -
80653at50557_108931_0:0024a8|STRG.6883.6:364-1221|+ -            286 53123at50557         -            221     0.046   12.0   0.1   2   2       1.6   1.8e+03   -3.0   0.0   172   179   200   207   194   245 0.53 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53123at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/53123at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/53123at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:28:13 2024
# [ok]
