#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83323at50557_103372_0:002772|STRG.1294.1:143-1270|+   -            376 83323at50557         -            288  8.3e-147  487.3  15.5   1   1  1.4e-149  3.1e-146  485.4  15.5     1   288    26   357    26   357 0.91 -
83323at50557_307491_0:0028bd|STRG.13913.1:1999-2691|+ -            231 83323at50557         -            288     1e-26   93.2   8.1   1   3   7.9e-13   1.7e-09   36.6   2.4   121   220    14   120     7   124 0.80 -
83323at50557_307491_0:0028bd|STRG.13913.1:1999-2691|+ -            231 83323at50557         -            288     1e-26   93.2   8.1   2   3   3.7e-07   0.00082   18.0   0.0   205   232   124   151   105   159 0.79 -
83323at50557_307491_0:0028bd|STRG.13913.1:1999-2691|+ -            231 83323at50557         -            288     1e-26   93.2   8.1   3   3   2.2e-14   4.8e-11   41.8   0.1   228   281   176   229   165   231 0.92 -
83323at50557_307491_0:0028bd|STRG.13913.2:1929-2621|+ -            231 83323at50557         -            288     1e-26   93.2   8.1   1   3   7.9e-13   1.7e-09   36.6   2.4   121   220    14   120     7   124 0.80 -
83323at50557_307491_0:0028bd|STRG.13913.2:1929-2621|+ -            231 83323at50557         -            288     1e-26   93.2   8.1   2   3   3.7e-07   0.00082   18.0   0.0   205   232   124   151   105   159 0.79 -
83323at50557_307491_0:0028bd|STRG.13913.2:1929-2621|+ -            231 83323at50557         -            288     1e-26   93.2   8.1   3   3   2.2e-14   4.8e-11   41.8   0.1   228   281   176   229   165   231 0.92 -
83323at50557_307491_0:0028bd|STRG.13913.3:1552-2244|+ -            231 83323at50557         -            288     1e-26   93.2   8.1   1   3   7.9e-13   1.7e-09   36.6   2.4   121   220    14   120     7   124 0.80 -
83323at50557_307491_0:0028bd|STRG.13913.3:1552-2244|+ -            231 83323at50557         -            288     1e-26   93.2   8.1   2   3   3.7e-07   0.00082   18.0   0.0   205   232   124   151   105   159 0.79 -
83323at50557_307491_0:0028bd|STRG.13913.3:1552-2244|+ -            231 83323at50557         -            288     1e-26   93.2   8.1   3   3   2.2e-14   4.8e-11   41.8   0.1   228   281   176   229   165   231 0.92 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/83323at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/83323at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/83323at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:30:48 2024
# [ok]
