#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
80072at50557_103372_0:001f31|STRG.5206.1:59-1117|+    -            353 80072at50557         -            323  7.8e-162  536.5   4.1   1   1  1.4e-164    9e-162  536.3   4.1     1   323     2   346     2   346 0.95 -
78395at50557_38123_0:0002db|STRG.7040.1:151-1131|+    -            327 80072at50557         -            323   1.8e-34  118.0   0.5   1   1   3.3e-34   2.1e-31  107.9   0.5     3   222    27   227    25   237 0.89 -
78395at50557_103372_0:001bc6|STRG.367.1:45-1112|+     -            356 80072at50557         -            323     3e-34  117.2   0.4   1   2   5.8e-14   3.7e-11   41.4   0.0     3    80    35   113    33   122 0.87 -
78395at50557_103372_0:001bc6|STRG.367.1:45-1112|+     -            356 80072at50557         -            323     3e-34  117.2   0.4   2   2     8e-24     5e-21   73.8   0.3   120   223   138   242   133   294 0.91 -
76116at50557_456900_0:001c77|STRG.16314.1:0-1058|+    -            353 80072at50557         -            323   7.2e-34  116.0   0.3   1   1   1.8e-33   1.1e-30  105.5   0.3     3   224    40   242    38   350 0.74 -
59039at50557_166361_0:00097d|STRG.15328.1:1815-3119|+ -            435 80072at50557         -            323   3.8e-05   21.6   0.5   1   1   5.8e-06    0.0037   15.1   0.5    20   235    40   245    30   253 0.69 -
59039at50557_166361_0:00097d|STRG.15328.2:1536-2840|+ -            435 80072at50557         -            323   3.8e-05   21.6   0.5   1   1   5.8e-06    0.0037   15.1   0.5    20   235    40   245    30   253 0.69 -
78395at50557_113334_0:001f45|STRG.9164.1:246-980|+    -            245 80072at50557         -            323    0.0013   16.6   0.0   1   2   1.4e-05    0.0091   13.8   0.0    24    67    44    90    39   112 0.80 -
78395at50557_113334_0:001f45|STRG.9164.1:246-980|+    -            245 80072at50557         -            323    0.0013   16.6   0.0   2   2      0.17   1.1e+02    0.4   0.0   161   192   157   188   116   210 0.82 -
78395at50557_113334_0:001f45|STRG.9164.2:438-1172|+   -            245 80072at50557         -            323    0.0013   16.6   0.0   1   2   1.4e-05    0.0091   13.8   0.0    24    67    44    90    39   112 0.80 -
78395at50557_113334_0:001f45|STRG.9164.2:438-1172|+   -            245 80072at50557         -            323    0.0013   16.6   0.0   2   2      0.17   1.1e+02    0.4   0.0   161   192   157   188   116   210 0.82 -
76116at50557_597456_0:00067b|STRG.3754.1:1192-1731|+  -            180 80072at50557         -            323    0.0017   16.2   0.0   1   1   3.1e-06    0.0019   16.0   0.0    24   113    43   131    33   179 0.67 -
76116at50557_597456_0:00067b|STRG.3754.2:1276-1815|+  -            180 80072at50557         -            323    0.0017   16.2   0.0   1   1   3.1e-06    0.0019   16.0   0.0    24   113    43   131    33   179 0.67 -
76116at50557_597456_0:00067b|STRG.3754.3:585-1124|+   -            180 80072at50557         -            323    0.0017   16.2   0.0   1   1   3.1e-06    0.0019   16.0   0.0    24   113    43   131    33   179 0.67 -
76116at50557_597456_0:00067b|STRG.3754.4:562-1101|+   -            180 80072at50557         -            323    0.0017   16.2   0.0   1   1   3.1e-06    0.0019   16.0   0.0    24   113    43   131    33   179 0.67 -
76116at50557_597456_0:00067b|STRG.3754.5:253-792|+    -            180 80072at50557         -            323    0.0017   16.2   0.0   1   1   3.1e-06    0.0019   16.0   0.0    24   113    43   131    33   179 0.67 -
51542at50557_64793_0:00288e|STRG.8842.2:86-1462|+     -            459 80072at50557         -            323     0.015   13.0   0.0   1   1   5.1e-05     0.032   12.0   0.0    16    57    44    89    35    98 0.75 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/80072at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/80072at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/80072at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:30:33 2024
# [ok]
