#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
45204at50557_34720_0:0029f6|STRG.13030.1:0-1607|+     -            536 45204at50557         -            267  1.1e-113  378.0   0.0   1   1  4.7e-116  1.8e-113  377.3   0.0    88   267     3   188     1   188 0.98 -
45204at50557_7536_0:003971|STRG.2603.1:2229-2846|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   1   3   2.8e-22   1.1e-19   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2603.1:2229-2846|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   2   3   7.4e-14   2.8e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2603.1:2229-2846|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   3   3   1.3e-28   4.8e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2603.2:2319-2936|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   1   3   2.8e-22   1.1e-19   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2603.2:2319-2936|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   2   3   7.4e-14   2.8e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2603.2:2319-2936|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   3   3   1.3e-28   4.8e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2603.3:2221-2838|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   1   3   2.8e-22   1.1e-19   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2603.3:2221-2838|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   2   3   7.4e-14   2.8e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2603.3:2221-2838|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   3   3   1.3e-28   4.8e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2603.4:2300-2917|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   1   3   2.8e-22   1.1e-19   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2603.4:2300-2917|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   2   3   7.4e-14   2.8e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2603.4:2300-2917|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   3   3   1.3e-28   4.8e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2603.5:2248-2865|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   1   3   2.8e-22   1.1e-19   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2603.5:2248-2865|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   2   3   7.4e-14   2.8e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2603.5:2248-2865|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   3   3   1.3e-28   4.8e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2603.6:2795-3412|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   1   3   2.8e-22   1.1e-19   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2603.6:2795-3412|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   2   3   7.4e-14   2.8e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2603.6:2795-3412|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   3   3   1.3e-28   4.8e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2603.7:2526-3143|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   1   3   2.8e-22   1.1e-19   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2603.7:2526-3143|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   2   3   7.4e-14   2.8e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2603.7:2526-3143|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   3   3   1.3e-28   4.8e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2603.8:2779-3396|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   1   3   2.8e-22   1.1e-19   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2603.8:2779-3396|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   2   3   7.4e-14   2.8e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2603.8:2779-3396|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   3   3   1.3e-28   4.8e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_7536_0:003971|STRG.2603.9:2258-2875|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   1   3   2.8e-22   1.1e-19   69.9   0.0   186   266    25   103     1   104 0.87 -
45204at50557_7536_0:003971|STRG.2603.9:2258-2875|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   2   3   7.4e-14   2.8e-11   42.3   0.1    62   106   106   150   103   150 0.95 -
45204at50557_7536_0:003971|STRG.2603.9:2258-2875|+    -            206 45204at50557         -            267   1.9e-56  190.4   3.0   3   3   1.3e-28   4.8e-26   90.7   0.2   196   265   137   206   133   206 0.97 -
45204at50557_121225_0:001309|STRG.10375.1:1838-3031|+ -            398 45204at50557         -            267   4.9e-34  116.9   0.1   1   2   3.1e-36   1.2e-33  115.6   0.0    94   266     1   179     1   180 0.88 -
45204at50557_121225_0:001309|STRG.10375.1:1838-3031|+ -            398 45204at50557         -            267   4.9e-34  116.9   0.1   2   2       2.9   1.1e+03   -2.3   0.0    55    89   351   385   345   391 0.81 -
45204at50557_121225_0:001309|STRG.10375.2:1814-3007|+ -            398 45204at50557         -            267   4.9e-34  116.9   0.1   1   2   3.1e-36   1.2e-33  115.6   0.0    94   266     1   179     1   180 0.88 -
45204at50557_121225_0:001309|STRG.10375.2:1814-3007|+ -            398 45204at50557         -            267   4.9e-34  116.9   0.1   2   2       2.9   1.1e+03   -2.3   0.0    55    89   351   385   345   391 0.81 -
45204at50557_121225_0:001309|STRG.10375.3:1778-2971|+ -            398 45204at50557         -            267   4.9e-34  116.9   0.1   1   2   3.1e-36   1.2e-33  115.6   0.0    94   266     1   179     1   180 0.88 -
45204at50557_121225_0:001309|STRG.10375.3:1778-2971|+ -            398 45204at50557         -            267   4.9e-34  116.9   0.1   2   2       2.9   1.1e+03   -2.3   0.0    55    89   351   385   345   391 0.81 -
45204at50557_197043_0:002e52|STRG.3758.1:352-915|+    -            188 45204at50557         -            267   3.2e-25   88.0  11.4   1   2   9.2e-20   3.5e-17   61.6   6.8     5    74    16   104     7   116 0.82 -
45204at50557_197043_0:002e52|STRG.3758.1:352-915|+    -            188 45204at50557         -            267   3.2e-25   88.0  11.4   2   2   2.2e-08   8.6e-06   24.3   0.1    62    88   162   188   127   188 0.82 -
