#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
100579at50557_222816_0:000422|STRG.13068.2:1212-2005|+ -            261 100579at50557        -            222  3.7e-121  401.9  11.5   1   1  4.7e-122  2.6e-119  395.9  11.5     1   221     1   256     1   257 0.92 -
100579at50557_103372_0:000367|STRG.13068.1:560-1357|+  -            266 100579at50557        -            222  9.8e-120  397.2  10.9   1   1  1.2e-120  6.7e-118  391.2  10.9     1   221     1   261     1   262 0.91 -
100579at50557_103372_0:000367|STRG.13068.3:217-1014|+  -            266 100579at50557        -            222  9.8e-120  397.2  10.9   1   1  1.2e-120  6.7e-118  391.2  10.9     1   221     1   261     1   262 0.91 -
100579at50557_680683_0:0024b7|STRG.9151.1:337-918|+    -            194 100579at50557        -            222   8.4e-14   50.8   1.5   1   2   1.2e-14   6.4e-12   44.6   0.5    57   153     1    89     1   104 0.87 -
100579at50557_680683_0:0024b7|STRG.9151.1:337-918|+    -            194 100579at50557        -            222   8.4e-14   50.8   1.5   2   2     0.017       9.3    4.9   0.0   157   179   116   138   103   173 0.78 -
100579at50557_39758_0:00344c|STRG.7348.1:290-988|+     -            233 100579at50557        -            222   4.5e-13   48.4   1.7   1   1   5.6e-14   3.1e-11   42.4   1.7    39   206    13   217     3   229 0.68 -
93160at50557_116153_0:000574|STRG.13185.2:27-722|+     -            232 100579at50557        -            222   1.3e-12   46.9   1.7   1   1   2.4e-13   1.3e-10   40.3   1.7    31   176    16   182     9   196 0.72 -
93160at50557_1049336_0:0014e4|STRG.13473.1:1092-1781|+ -            230 100579at50557        -            222     3e-10   39.2   0.4   1   2   5.2e-12   2.8e-09   36.0   0.1    34    94    19    79     7    99 0.92 -
93160at50557_1049336_0:0014e4|STRG.13473.1:1092-1781|+ -            230 100579at50557        -            222     3e-10   39.2   0.4   2   2      0.18        97    1.6   0.0   153   180   160   189   105   199 0.69 -
93160at50557_1049336_0:0014e4|STRG.13473.4:925-1614|+  -            230 100579at50557        -            222     3e-10   39.2   0.4   1   2   5.2e-12   2.8e-09   36.0   0.1    34    94    19    79     7    99 0.92 -
93160at50557_1049336_0:0014e4|STRG.13473.4:925-1614|+  -            230 100579at50557        -            222     3e-10   39.2   0.4   2   2      0.18        97    1.6   0.0   153   180   160   189   105   199 0.69 -
93160at50557_1049336_0:0014e4|STRG.13473.5:924-1613|+  -            230 100579at50557        -            222     3e-10   39.2   0.4   1   2   5.2e-12   2.8e-09   36.0   0.1    34    94    19    79     7    99 0.92 -
93160at50557_1049336_0:0014e4|STRG.13473.5:924-1613|+  -            230 100579at50557        -            222     3e-10   39.2   0.4   2   2      0.18        97    1.6   0.0   153   180   160   189   105   199 0.69 -
100579at50557_7230_0:0020d4|STRG.7348.2:599-1156|+     -            186 100579at50557        -            222   1.8e-09   36.7   1.5   1   1   2.3e-10   1.3e-07   30.6   1.5    57   198     1   178     1   186 0.64 -
100579at50557_7230_0:0020d4|STRG.7348.3:270-827|+      -            186 100579at50557        -            222   1.8e-09   36.7   1.5   1   1   2.3e-10   1.3e-07   30.6   1.5    57   198     1   178     1   186 0.64 -
93160at50557_224129_0:001b1d|STRG.13473.3:976-1626|+   -            217 100579at50557        -            222   2.1e-09   36.5   1.7   1   2   1.3e-11   7.2e-09   34.7   0.1    35    94     3    62     2    82 0.93 -
93160at50557_224129_0:001b1d|STRG.13473.3:976-1626|+   -            217 100579at50557        -            222   2.1e-09   36.5   1.7   2   2      0.29   1.6e+02    0.9   0.1   156   180   148   174   121   183 0.63 -
93160at50557_224129_0:001b1d|STRG.13473.6:975-1625|+   -            217 100579at50557        -            222   2.1e-09   36.5   1.7   1   2   1.3e-11   7.2e-09   34.7   0.1    35    94     3    62     2    82 0.93 -
