#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
70072at50557_456900_0:00138d|STRG.14781.1:119-1560|+ -            477 70072at50557         -            398  1.7e-194  644.9   2.8   1   1  3.6e-197  2.3e-194  644.5   2.8    19   394    76   454    42   458 0.94 -
89121at50557_143948_0:00162b|STRG.8395.1:551-1597|+  -            349 70072at50557         -            398   6.6e-15   53.6   1.7   1   3   0.00015     0.097   10.2   0.0    62   122    96   155    69   163 0.84 -
89121at50557_143948_0:00162b|STRG.8395.1:551-1597|+  -            349 70072at50557         -            398   6.6e-15   53.6   1.7   2   3   1.2e-07   7.4e-05   20.5   0.0    57   145   159   249   153   259 0.84 -
89121at50557_143948_0:00162b|STRG.8395.1:551-1597|+  -            349 70072at50557         -            398   6.6e-15   53.6   1.7   3   3   9.2e-08   5.8e-05   20.9   0.2    56   127   260   330   250   337 0.91 -
89121at50557_143948_0:00162b|STRG.8395.3:704-1750|+  -            349 70072at50557         -            398   6.6e-15   53.6   1.7   1   3   0.00015     0.097   10.2   0.0    62   122    96   155    69   163 0.84 -
89121at50557_143948_0:00162b|STRG.8395.3:704-1750|+  -            349 70072at50557         -            398   6.6e-15   53.6   1.7   2   3   1.2e-07   7.4e-05   20.5   0.0    57   145   159   249   153   259 0.84 -
89121at50557_143948_0:00162b|STRG.8395.3:704-1750|+  -            349 70072at50557         -            398   6.6e-15   53.6   1.7   3   3   9.2e-08   5.8e-05   20.9   0.2    56   127   260   330   250   337 0.91 -
57156at50557_28612_0:002d5e|STRG.8395.2:1298-1921|+  -            208 70072at50557         -            398   1.4e-10   39.3   1.1   1   3     3e-06    0.0019   15.9   0.1    58   126     2    69     1    73 0.90 -
57156at50557_28612_0:002d5e|STRG.8395.2:1298-1921|+  -            208 70072at50557         -            398   1.4e-10   39.3   1.1   2   3   4.6e-08   2.9e-05   21.9   0.3    57   127    69   138    64   147 0.92 -
57156at50557_28612_0:002d5e|STRG.8395.2:1298-1921|+  -            208 70072at50557         -            398   1.4e-10   39.3   1.1   3   3      0.17   1.1e+02    0.2   0.0   102   135   147   180   140   201 0.76 -
57156at50557_28612_0:002d5e|STRG.8395.4:1796-2419|+  -            208 70072at50557         -            398   1.4e-10   39.3   1.1   1   3     3e-06    0.0019   15.9   0.1    58   126     2    69     1    73 0.90 -
57156at50557_28612_0:002d5e|STRG.8395.4:1796-2419|+  -            208 70072at50557         -            398   1.4e-10   39.3   1.1   2   3   4.6e-08   2.9e-05   21.9   0.3    57   127    69   138    64   147 0.92 -
57156at50557_28612_0:002d5e|STRG.8395.4:1796-2419|+  -            208 70072at50557         -            398   1.4e-10   39.3   1.1   3   3      0.17   1.1e+02    0.2   0.0   102   135   147   180   140   201 0.76 -
57156at50557_28612_0:002d5e|STRG.8395.5:784-1407|+   -            208 70072at50557         -            398   1.4e-10   39.3   1.1   1   3     3e-06    0.0019   15.9   0.1    58   126     2    69     1    73 0.90 -
57156at50557_28612_0:002d5e|STRG.8395.5:784-1407|+   -            208 70072at50557         -            398   1.4e-10   39.3   1.1   2   3   4.6e-08   2.9e-05   21.9   0.3    57   127    69   138    64   147 0.92 -
57156at50557_28612_0:002d5e|STRG.8395.5:784-1407|+   -            208 70072at50557         -            398   1.4e-10   39.3   1.1   3   3      0.17   1.1e+02    0.2   0.0   102   135   147   180   140   201 0.76 -
35300at50557_103372_0:002ae9|STRG.9667.1:447-2210|+  -            588 70072at50557         -            398   1.3e-06   26.3   2.7   1   4    0.0085       5.4    4.5   0.1    57   132    96   175    54   194 0.69 -
35300at50557_103372_0:002ae9|STRG.9667.1:447-2210|+  -            588 70072at50557         -            398   1.3e-06   26.3   2.7   2   4   0.00051      0.32    8.5   0.0    17   125   300   406   291   412 0.76 -
35300at50557_103372_0:002ae9|STRG.9667.1:447-2210|+  -            588 70072at50557         -            398   1.3e-06   26.3   2.7   3   4   7.8e-05     0.049   11.2   0.1    61   127   418   486   405   513 0.81 -
35300at50557_103372_0:002ae9|STRG.9667.1:447-2210|+  -            588 70072at50557         -            398   1.3e-06   26.3   2.7   4   4      0.68   4.3e+02   -1.7   0.0    63    87   526   550   485   556 0.66 -
35300at50557_103372_0:002ae9|STRG.9667.2:430-2193|+  -            588 70072at50557         -            398   1.3e-06   26.3   2.7   1   4    0.0085       5.4    4.5   0.1    57   132    96   175    54   194 0.69 -
35300at50557_103372_0:002ae9|STRG.9667.2:430-2193|+  -            588 70072at50557         -            398   1.3e-06   26.3   2.7   2   4   0.00051      0.32    8.5   0.0    17   125   300   406   291   412 0.76 -
35300at50557_103372_0:002ae9|STRG.9667.2:430-2193|+  -            588 70072at50557         -            398   1.3e-06   26.3   2.7   3   4   7.8e-05     0.049   11.2   0.1    61   127   418   486   405   513 0.81 -
