#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
68043at50557_34720_0:001307|STRG.12248.1:138-1811|+    -            558 68043at50557         -            302  3.8e-144  478.2   0.0   1   1  1.1e-145  1.2e-143  476.6   0.0     8   302   142   479   136   479 0.91 -
35385at50557_35570_0:00290c|STRG.6237.1:1048-2292|+    -            415 68043at50557         -            302   1.6e-54  183.9   0.0   1   2   9.9e-18   1.1e-15   56.4   0.1    14    60    25    71    13    73 0.89 -
35385at50557_35570_0:00290c|STRG.6237.1:1048-2292|+    -            415 68043at50557         -            302   1.6e-54  183.9   0.0   2   2   3.3e-38   3.8e-36  123.6   0.0    63   300    96   370    91   372 0.75 -
18450at50557_1155016_0:0026c2|STRG.14400.1:1004-2206|+ -            401 68043at50557         -            302   1.7e-52  177.3   0.4   1   1   4.4e-53     5e-51  172.5   0.4    11   302    26   369    19   369 0.76 -
35385at50557_37001_0:001231|STRG.15246.1:1011-2240|+   -            410 68043at50557         -            302   2.6e-52  176.7   0.0   1   2   2.5e-27   2.8e-25   87.9   0.0     8   137    29   186    22   198 0.77 -
35385at50557_37001_0:001231|STRG.15246.1:1011-2240|+   -            410 68043at50557         -            302   2.6e-52  176.7   0.0   2   2   2.5e-26   2.8e-24   84.6   0.0   146   300   230   389   211   391 0.82 -
35385at50557_37001_0:001231|STRG.15246.2:1008-2237|+   -            410 68043at50557         -            302   2.6e-52  176.7   0.0   1   2   2.5e-27   2.8e-25   87.9   0.0     8   137    29   186    22   198 0.77 -
35385at50557_37001_0:001231|STRG.15246.2:1008-2237|+   -            410 68043at50557         -            302   2.6e-52  176.7   0.0   2   2   2.5e-26   2.8e-24   84.6   0.0   146   300   230   389   211   391 0.82 -
35385at50557_7370_0:001aad|STRG.13463.1:1160-2437|+    -            426 68043at50557         -            302   7.1e-52  175.3   0.0   1   1   1.4e-53   1.6e-51  174.1   0.0     7   301    66   401    61   402 0.81 -
35385at50557_7370_0:001aad|STRG.13463.2:1130-2407|+    -            426 68043at50557         -            302   7.1e-52  175.3   0.0   1   1   1.4e-53   1.6e-51  174.1   0.0     7   301    66   401    61   402 0.81 -
35385at50557_7370_0:001aad|STRG.13463.3:1137-2414|+    -            426 68043at50557         -            302   7.1e-52  175.3   0.0   1   1   1.4e-53   1.6e-51  174.1   0.0     7   301    66   401    61   402 0.81 -
35385at50557_456900_0:001092|STRG.13922.1:146-2023|+   -            626 68043at50557         -            302   1.4e-51  174.2   1.5   1   1   3.2e-52   3.6e-50  169.6   1.5    17   300   204   534   194   536 0.77 -
35385at50557_456900_0:001092|STRG.13922.2:77-1954|+    -            626 68043at50557         -            302   1.4e-51  174.2   1.5   1   1   3.2e-52   3.6e-50  169.6   1.5    17   300   204   534   194   536 0.77 -
