#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108452at50557_144034_0:001560|STRG.8202.1:58-906|+    -            283 108452at50557        -            212  1.7e-113  376.3   1.1   1   1  7.5e-116  2.3e-113  375.9   1.1     1   201    17   230    17   236 0.95 -
108452at50557_69319_0:001d04|STRG.6902.1:1137-1997|+  -            287 108452at50557        -            212   1.4e-26   92.3   4.1   1   1     6e-29   1.8e-26   91.9   4.1    14   196   100   287    88   287 0.85 -
108452at50557_69319_0:001d04|STRG.6902.2:1313-2254|+  -            314 108452at50557        -            212   1.2e-25   89.3   6.1   1   1   5.2e-28   1.6e-25   88.8   6.1    19   196   132   314   103   314 0.86 -
108452at50557_69319_0:001d04|STRG.6902.3:1560-2501|+  -            314 108452at50557        -            212   1.2e-25   89.3   6.1   1   1   5.2e-28   1.6e-25   88.8   6.1    19   196   132   314   103   314 0.86 -
108452at50557_38123_0:00378c|STRG.1436.1:2591-2806|+  -             72 108452at50557        -            212   8.8e-22   76.6   7.1   1   1     3e-24     9e-22   76.6   7.1   137   201     4    70     1    72 0.92 -
23788at50557_520822_0:00115e|STRG.5911.1:37-3735|+    -           1233 108452at50557        -            212   1.1e-20   73.0   5.1   1   2       1.5   4.7e+02   -0.9   0.1    78   120   562   603   544   618 0.81 -
23788at50557_520822_0:00115e|STRG.5911.1:37-3735|+    -           1233 108452at50557        -            212   1.1e-20   73.0   5.1   2   2   3.6e-23   1.1e-20   73.0   5.1   131   197  1149  1218  1135  1225 0.88 -
43010at50557_456900_0:000325|STRG.9027.2:30-2006|+    -            659 108452at50557        -            212   2.6e-16   58.7   6.4   1   1     3e-18   9.2e-16   56.9   6.4   135   199   586   651   566   656 0.85 -
43010at50557_411798_0:00301e|STRG.9027.1:661-2782|+   -            703 108452at50557        -            212   2.9e-16   58.6   6.4   1   1   3.6e-18   1.1e-15   56.7   6.4   135   199   630   695   611   700 0.85 -
43010at50557_411798_0:00301e|STRG.9027.3:0-2150|+     -            717 108452at50557        -            212   3.3e-16   58.4   6.4   1   1   3.7e-18   1.1e-15   56.7   6.4   135   199   644   709   625   714 0.85 -
108452at50557_7536_0:002ce9|STRG.15389.1:413-853|+    -            147 108452at50557        -            212   1.1e-15   56.7   6.6   1   1   5.1e-18   1.5e-15   56.2   6.6   137   201    80   144    68   147 0.83 -
108452at50557_7536_0:002ce9|STRG.15389.2:435-875|+    -            147 108452at50557        -            212   1.1e-15   56.7   6.6   1   1   5.1e-18   1.5e-15   56.2   6.6   137   201    80   144    68   147 0.83 -
108452at50557_121845_0:000f76|STRG.8419.1:4219-4533|+ -            105 108452at50557        -            212   1.7e-15   56.1  11.3   1   1   6.4e-18   1.9e-15   55.9  11.3   140   198     1    63     1    77 0.85 -
108452at50557_121845_0:000f76|STRG.8419.2:4198-4512|+ -            105 108452at50557        -            212   1.7e-15   56.1  11.3   1   1   6.4e-18   1.9e-15   55.9  11.3   140   198     1    63     1    77 0.85 -
108452at50557_121845_0:000f76|STRG.8419.3:3630-3944|+ -            105 108452at50557        -            212   1.7e-15   56.1  11.3   1   1   6.4e-18   1.9e-15   55.9  11.3   140   198     1    63     1    77 0.85 -
108452at50557_121845_0:000f76|STRG.8419.4:3609-3923|+ -            105 108452at50557        -            212   1.7e-15   56.1  11.3   1   1   6.4e-18   1.9e-15   55.9  11.3   140   198     1    63     1    77 0.85 -
108452at50557_121845_0:000f76|STRG.8419.5:3609-3923|+ -            105 108452at50557        -            212   1.7e-15   56.1  11.3   1   1   6.4e-18   1.9e-15   55.9  11.3   140   198     1    63     1    77 0.85 -
28503at50557_69004_0:0020b1|STRG.9662.1:399-3752|+    -           1118 108452at50557        -            212   1.3e-10   40.2   6.4   1   1   9.3e-13   2.8e-10   39.0   6.4   145   200  1057  1115  1052  1117 0.84 -
60694at50557_315563_0:000bf8|STRG.7941.1:167-6169|+   -           2001 108452at50557        -            212   1.6e-10   39.8   7.6   1   1   1.3e-12   4.1e-10   38.5   7.6   137   200   112   178    84   189 0.80 -
48864at50557_520822_0:000d82|STRG.15679.1:173-1708|+  -            512 108452at50557        -            212   1.8e-10   39.7   3.7   1   2   1.7e-12     5e-10   38.2   0.8   131   178   133   179   100   199 0.78 -
48864at50557_520822_0:000d82|STRG.15679.1:173-1708|+  -            512 108452at50557        -            212   1.8e-10   39.7   3.7   2   2      0.25        75    1.7   0.1   186   203   247   264   242   272 0.74 -
