#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
136492at50557_411798_0:002f76|STRG.13774.1:545-1039|+ -            165 136492at50557        -            133   6.9e-71  235.4   5.8   1   1   4.2e-72   5.3e-69  229.2   5.8     1   133     1   158     1   158 0.85 -
125046at50557_103372_0:00130b|STRG.13924.1:211-663|+  -            151 136492at50557        -            133    0.0014   17.6   0.2   1   1   1.3e-06    0.0017   17.3   0.2    28    87    41   101    29   130 0.81 -
125046at50557_103372_0:00130b|STRG.13924.2:211-723|+  -            171 136492at50557        -            133    0.0015   17.4   0.2   1   1   1.9e-06    0.0024   16.8   0.2    28    87    61   121    49   149 0.82 -
125046at50557_103372_0:00130b|STRG.13924.3:151-633|+  -            161 136492at50557        -            133    0.0016   17.4   0.2   1   1   1.6e-06     0.002   17.0   0.2    28    87    51   111    39   140 0.81 -
125046at50557_103372_0:00130b|STRG.13924.4:151-693|+  -            181 136492at50557        -            133    0.0017   17.3   0.2   1   1   2.2e-06    0.0027   16.6   0.2    28    87    71   131    59   159 0.82 -
109756at50557_103372_0:00251e|STRG.6114.2:175-807|+   -            211 136492at50557        -            133       5.9    5.8   0.0   1   2    0.0047       5.9    5.8   0.0    78   118     7    47     5    60 0.85 -
109756at50557_103372_0:00251e|STRG.6114.2:175-807|+   -            211 136492at50557        -            133       5.9    5.8   0.0   2   2         7   8.8e+03   -6.7  19.9    71    84   114   127    90   135 0.70 -
109756at50557_103372_0:00251e|STRG.6114.1:175-861|+   -            229 136492at50557        -            133       6.8    5.6   0.0   1   2    0.0054       6.8    5.6   0.0    78   118     7    47     5    60 0.85 -
109756at50557_103372_0:00251e|STRG.6114.1:175-861|+   -            229 136492at50557        -            133       6.8    5.6   0.0   2   2         7   8.8e+03   -7.1  20.2    71    84   114   127    91   136 0.70 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/136492at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/136492at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/136492at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:23:06 2024
# [ok]
