#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
69102at50557_103372_0:001d18|STRG.1023.1:125-2146|+  -            674 69102at50557         -            161   8.6e-80  265.4   0.0   1   1   2.8e-82   1.5e-79  264.6   0.0     1   160   441   621   441   622 0.90 -
69102at50557_7168_0:000ab6|STRG.1633.1:635-1585|+    -            317 69102at50557         -            161   2.8e-50  169.5   1.8   1   1   5.8e-51   3.2e-48  162.8   1.8     5   160   113   296   109   297 0.81 -
69102at50557_41427_0:0029ce|STRG.16264.1:439-1290|+  -            284 69102at50557         -            161     2e-39  134.2   0.0   1   1     5e-42   2.7e-39  133.7   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.16264.2:235-1086|+  -            284 69102at50557         -            161     2e-39  134.2   0.0   1   1     5e-42   2.7e-39  133.7   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.16264.3:235-1086|+  -            284 69102at50557         -            161     2e-39  134.2   0.0   1   1     5e-42   2.7e-39  133.7   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.16264.4:439-1290|+  -            284 69102at50557         -            161     2e-39  134.2   0.0   1   1     5e-42   2.7e-39  133.7   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.16264.5:259-1110|+  -            284 69102at50557         -            161     2e-39  134.2   0.0   1   1     5e-42   2.7e-39  133.7   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.16264.6:440-1291|+  -            284 69102at50557         -            161     2e-39  134.2   0.0   1   1     5e-42   2.7e-39  133.7   0.0     5   160   116   284   112   284 0.86 -
69102at50557_41427_0:0029ce|STRG.11423.1:665-1405|+  -            247 69102at50557         -            161   1.4e-20   72.9   0.0   1   1   3.5e-23   1.9e-20   72.5   0.0     5   157    86   246    82   247 0.69 -
69102at50557_41427_0:0029ce|STRG.13208.1:683-1480|+  -            266 69102at50557         -            161   1.1e-12   47.2   0.0   1   2   5.8e-10   3.2e-07   29.5   0.0     7    57    75   127    70   139 0.80 -
69102at50557_41427_0:0029ce|STRG.13208.1:683-1480|+  -            266 69102at50557         -            161   1.1e-12   47.2   0.0   2   2   1.3e-05    0.0073   15.3   0.0    62   125   188   265   182   266 0.78 -
48331at50557_28612_0:003af4|STRG.4197.2:206-868|+    -            221 69102at50557         -            161     1e-11   44.1   0.0   1   2     4e-08   2.2e-05   23.5   0.0     7    64     1    69     1    76 0.79 -
48331at50557_28612_0:003af4|STRG.4197.2:206-868|+    -            221 69102at50557         -            161     1e-11   44.1   0.0   2   2   1.4e-06   0.00076   18.5   0.0    69   123    98   160    76   173 0.78 -
69102at50557_41427_0:0029ce|STRG.4197.1:165-956|+    -            264 69102at50557         -            161   2.5e-11   42.8   0.0   1   2   1.9e-08     1e-05   24.6   0.0     6    64   105   174   101   181 0.79 -
69102at50557_41427_0:0029ce|STRG.4197.1:165-956|+    -            264 69102at50557         -            161   2.5e-11   42.8   0.0   2   2   7.3e-06     0.004   16.2   0.0    69   121   203   263   181   264 0.77 -
