#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
85561at50557_520822_0:0019ea|STRG.3029.1:86-901|+    -            272 85561at50557         -            228  6.8e-132  436.7   1.4   1   1  5.6e-135  1.2e-131  435.8   1.4     1   228     1   263     1   263 0.93 -
98955at50557_103372_0:0002a6|STRG.15481.1:141-1163|+ -            341 85561at50557         -            228   2.8e-22   78.1   0.0   1   3   1.3e-15   2.9e-12   45.4   0.0    12    69    50   107    41   140 0.91 -
98955at50557_103372_0:0002a6|STRG.15481.1:141-1163|+ -            341 85561at50557         -            228   2.8e-22   78.1   0.0   2   3   2.5e-10   5.6e-07   28.1   0.0   116   179   186   249   179   267 0.87 -
98955at50557_103372_0:0002a6|STRG.15481.1:141-1163|+ -            341 85561at50557         -            228   2.8e-22   78.1   0.0   3   3     0.058   1.3e+02    0.7   0.0   197   225   306   334   294   337 0.88 -
98955at50557_103372_0:0002a6|STRG.15481.2:141-1163|+ -            341 85561at50557         -            228   2.8e-22   78.1   0.0   1   3   1.3e-15   2.9e-12   45.4   0.0    12    69    50   107    41   140 0.91 -
98955at50557_103372_0:0002a6|STRG.15481.2:141-1163|+ -            341 85561at50557         -            228   2.8e-22   78.1   0.0   2   3   2.5e-10   5.6e-07   28.1   0.0   116   179   186   249   179   267 0.87 -
98955at50557_103372_0:0002a6|STRG.15481.2:141-1163|+ -            341 85561at50557         -            228   2.8e-22   78.1   0.0   3   3     0.058   1.3e+02    0.7   0.0   197   225   306   334   294   337 0.88 -
98955at50557_103372_0:0002a6|STRG.15481.3:200-1222|+ -            341 85561at50557         -            228   2.8e-22   78.1   0.0   1   3   1.3e-15   2.9e-12   45.4   0.0    12    69    50   107    41   140 0.91 -
98955at50557_103372_0:0002a6|STRG.15481.3:200-1222|+ -            341 85561at50557         -            228   2.8e-22   78.1   0.0   2   3   2.5e-10   5.6e-07   28.1   0.0   116   179   186   249   179   267 0.87 -
98955at50557_103372_0:0002a6|STRG.15481.3:200-1222|+ -            341 85561at50557         -            228   2.8e-22   78.1   0.0   3   3     0.058   1.3e+02    0.7   0.0   197   225   306   334   294   337 0.88 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/85561at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/85561at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/85561at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:31:01 2024
# [ok]
