#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
83902at50557_13686_0:0017a1|STRG.4010.1:104-955|+      -            284 83902at50557         -            211  7.9e-106  351.1  11.0   1   1  4.7e-107  3.4e-105  349.1  11.0     1   211    15   256    15   256 0.93 -
54603at50557_103372_0:00290d|STRG.13380.1:75-1919|+    -            615 83902at50557         -            211   2.6e-47  160.0  28.4   1   6     7e-07   5.1e-05   21.8   0.0   144   184   139   179   123   184 0.87 -
54603at50557_103372_0:00290d|STRG.13380.1:75-1919|+    -            615 83902at50557         -            211   2.6e-47  160.0  28.4   2   6   3.1e-06   0.00022   19.7   0.6   138   182   179   223   178   226 0.92 -
54603at50557_103372_0:00290d|STRG.13380.1:75-1919|+    -            615 83902at50557         -            211   2.6e-47  160.0  28.4   3   6     3e-15   2.2e-13   49.1   4.7    82   183   190   293   189   297 0.93 -
54603at50557_103372_0:00290d|STRG.13380.1:75-1919|+    -            615 83902at50557         -            211   2.6e-47  160.0  28.4   4   6     8e-06   0.00058   18.3   0.1   141   188   297   344   293   360 0.74 -
54603at50557_103372_0:00290d|STRG.13380.1:75-1919|+    -            615 83902at50557         -            211   2.6e-47  160.0  28.4   5   6   4.4e-21   3.2e-19   68.2   6.8    36   185   392   551   382   554 0.88 -
54603at50557_103372_0:00290d|STRG.13380.1:75-1919|+    -            615 83902at50557         -            211   2.6e-47  160.0  28.4   6   6    0.0033      0.24    9.8   0.1   118   159   550   595   548   598 0.87 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 83902at50557         -            211   1.1e-38  131.8  58.8   1  10   7.6e-07   5.5e-05   21.7   1.6    34   174    25   181    15   184 0.80 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 83902at50557         -            211   1.1e-38  131.8  58.8   2  10    0.0062      0.45    8.9   0.0    37    72   173   208   166   217 0.90 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 83902at50557         -            211   1.1e-38  131.8  58.8   3  10   5.5e-09     4e-07   28.6   4.2    38   178   197   352   195   361 0.81 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 83902at50557         -            211   1.1e-38  131.8  58.8   4  10       1.4     1e+02    1.2   0.1    38    70   396   429   387   433 0.80 -
