#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
109797at50557_83485_0:000ec1|STRG.11019.1:371-1276|+   -            302 109797at50557        -            227  3.9e-140  463.7   0.0   1   1    8e-142  4.9e-140  463.4   0.0     1   222    21   246    21   251 0.98 -
104262at50557_39758_0:003743|STRG.14799.1:602-1213|+   -            204 109797at50557        -            227     9e-49  164.8   0.3   1   1   1.7e-50   1.1e-48  164.6   0.3     1   164     1   167     1   180 0.94 -
104262at50557_39758_0:003743|STRG.14799.2:602-1216|+   -            205 109797at50557        -            227   1.2e-48  164.5   0.6   1   1   2.2e-50   1.3e-48  164.3   0.6     1   164     1   167     1   180 0.94 -
104262at50557_411798_0:001745|STRG.7758.1:385-912|+    -            176 109797at50557        -            227   9.1e-48  161.5   0.3   1   1   1.7e-49     1e-47  161.4   0.3     1   165     7   174     7   176 0.95 -
104262at50557_132113_0:00109a|STRG.9844.1:235-744|+    -            170 109797at50557        -            227   4.1e-43  146.3   0.2   1   1   7.5e-45   4.6e-43  146.2   0.2     2   157    12   170    11   170 0.93 -
104262at50557_132113_0:00109a|STRG.7527.1:459-935|+    -            159 109797at50557        -            227   1.5e-41  141.3   0.3   1   1   2.6e-43   1.6e-41  141.1   0.3     2   157     2   159     1   159 0.96 -
107216at50557_103372_0:00094d|STRG.3688.1:377-1021|+   -            215 109797at50557        -            227   4.6e-41  139.6   0.2   1   1   9.3e-43   5.7e-41  139.3   0.2     2   160     7   168     6   181 0.93 -
104262at50557_104421_0:0019e6|STRG.6104.1:11-520|+     -            170 109797at50557        -            227   1.6e-37  128.1   0.1   1   1   2.9e-39   1.8e-37  127.9   0.1     6   159    13   169     8   170 0.93 -
107216at50557_110193_0:000c8b|STRG.12301.2:350-928|+   -            193 109797at50557        -            227   8.6e-37  125.6   0.6   1   1   1.6e-38   9.9e-37  125.4   0.6     2   167     8   178     7   192 0.87 -
107216at50557_39758_0:004d90|STRG.4905.1:279-821|+     -            181 109797at50557        -            227   2.3e-36  124.2   0.1   1   1   4.4e-38   2.7e-36  124.0   0.1     2   165     7   173     6   180 0.94 -
107216at50557_103372_0:00094d|STRG.1945.1:162-728|+    -            189 109797at50557        -            227   2.9e-36  123.9   0.1   1   1   5.5e-38   3.3e-36  123.7   0.1     3   163     1   164     1   180 0.93 -
