#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
17638at50557_411798_0:0012c9|STRG.10120.1:0-1872|+    -            621 17638at50557         -            824  9.1e-218  724.3   2.3   1   1  2.1e-220  1.3e-217  723.7   2.3   382   821     4   486     1   532 0.91 -
17638at50557_7370_0:001e0e|STRG.10119.1:338-1453|+    -            372 17638at50557         -            824  2.1e-191  637.0   0.7   1   1  3.8e-194  2.4e-191  636.9   0.7     1   348     4   372     4   372 0.95 -
17638at50557_110193_0:000dad|STRG.6709.2:407-2923|+   -            839 17638at50557         -            824   6.5e-58  195.5  25.7   1   2   1.8e-07   0.00012   19.4   0.0     7   134     2   115     1   130 0.89 -
17638at50557_110193_0:000dad|STRG.6709.2:407-2923|+   -            839 17638at50557         -            824   6.5e-58  195.5  25.7   2   2   3.4e-55   2.2e-52  177.3  22.6   132   784   157   839   134   839 0.78 -
17638at50557_132113_0:00304f|STRG.5508.1:1342-3297|+  -            652 17638at50557         -            824   7.8e-55  185.3  19.9   1   2     1e-30   6.5e-28   96.3   4.5   196   551     3   370     1   396 0.84 -
17638at50557_132113_0:00304f|STRG.5508.1:1342-3297|+  -            652 17638at50557         -            824   7.8e-55  185.3  19.9   2   2   2.2e-30   1.4e-27   95.2   7.5   636   790   477   642   452   652 0.85 -
17638at50557_132113_0:00304f|STRG.5508.3:1036-2991|+  -            652 17638at50557         -            824   7.8e-55  185.3  19.9   1   2     1e-30   6.5e-28   96.3   4.5   196   551     3   370     1   396 0.84 -
17638at50557_132113_0:00304f|STRG.5508.3:1036-2991|+  -            652 17638at50557         -            824   7.8e-55  185.3  19.9   2   2   2.2e-30   1.4e-27   95.2   7.5   636   790   477   642   452   652 0.85 -
17638at50557_132113_0:00304f|STRG.5508.2:1380-3302|+  -            641 17638at50557         -            824   4.2e-54  182.9  20.3   1   2   5.2e-30   3.3e-27   93.9   4.9   253   551    53   359     1   385 0.88 -
17638at50557_132113_0:00304f|STRG.5508.2:1380-3302|+  -            641 17638at50557         -            824   4.2e-54  182.9  20.3   2   2   2.2e-30   1.4e-27   95.2   7.5   636   790   466   631   441   641 0.85 -
17638at50557_110193_0:000dad|STRG.6709.3:289-2358|+   -            690 17638at50557         -            824     2e-53  180.7  19.7   1   1     4e-56   2.5e-53  180.3  19.7   182   784    59   690     4   690 0.79 -
17638at50557_7395_0:002284|STRG.16221.1:1661-3970|+   -            770 17638at50557         -            824   5.5e-47  159.4  32.5   1   2   5.3e-28   3.3e-25   87.3   5.8   203   552    92   453    64   484 0.75 -
17638at50557_7395_0:002284|STRG.16221.1:1661-3970|+   -            770 17638at50557         -            824   5.5e-47  159.4  32.5   2   2   3.3e-25   2.1e-22   78.1  18.7   620   783   593   770   574   770 0.75 -
