#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
54603at50557_103372_0:00290d|STRG.13380.1:75-1919|+    -            615 54603at50557         -            483  5.8e-232  769.4  24.3   1   1  1.1e-233  7.4e-232  769.0  24.3     1   481    96   613    96   615 0.95 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   1   9   3.3e-06   0.00023   18.8   0.2   356   429     1    78     1    83 0.80 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   2   9   0.00016     0.011   13.2   0.4   139   201    71   138    69   157 0.76 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   3   9   4.8e-11   3.3e-09   34.7   0.2   269   393   145   279   139   290 0.62 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   4   9   1.8e-05    0.0012   16.4   0.1   269   326   264   322   261   327 0.83 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   5   9   0.00023     0.016   12.7   2.1    41   139   317   428   316   431 0.76 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   6   9   2.6e-07   1.8e-05   22.5   2.8   331   420   412   506   364   512 0.65 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   7   9   0.00019     0.013   13.0   0.4   271   307   513   549   508   553 0.93 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   8   9   1.7e-15   1.1e-13   49.5   7.3    46   218   571   764   565   790 0.63 -
25718at50557_7160_0:003d21|STRG.16689.1:1251-4187|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   9   9   1.9e-13   1.3e-11   42.7   5.4    55   180   799   939   779   957 0.82 -
25718at50557_7160_0:003d21|STRG.16689.3:1478-4414|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   1   9   3.3e-06   0.00023   18.8   0.2   356   429     1    78     1    83 0.80 -
25718at50557_7160_0:003d21|STRG.16689.3:1478-4414|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   2   9   0.00016     0.011   13.2   0.4   139   201    71   138    69   157 0.76 -
25718at50557_7160_0:003d21|STRG.16689.3:1478-4414|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   3   9   4.8e-11   3.3e-09   34.7   0.2   269   393   145   279   139   290 0.62 -
25718at50557_7160_0:003d21|STRG.16689.3:1478-4414|+    -            979 54603at50557         -            483   9.7e-55  184.9  56.1   4   9   1.8e-05    0.0012   16.4   0.1   269   326   264   322   261   327 0.83 -
