#                                                                                                              --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                          accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                  ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
108755at50557_178035_0:0020de|STRG.10765.2:251-877|+   -            209 108755at50557        -            150   2.3e-95  315.3   2.5   1   1   4.7e-97   2.8e-95  315.0   2.5     1   150    11   165    11   165 0.98 -
108755at50557_456900_0:000c82|STRG.10765.1:251-906|+   -            214 108755at50557        -            150   2.5e-95  315.1   2.5   1   1   5.1e-97     3e-95  314.9   2.5     1   150    11   165    11   165 0.98 -
104262at50557_39758_0:003743|STRG.14799.1:602-1213|+   -            204 108755at50557        -            150   9.4e-41  138.0   1.1   1   1     2e-42   1.2e-40  137.7   1.1     4   149     7   157     5   158 0.92 -
104262at50557_39758_0:003743|STRG.14799.2:602-1216|+   -            205 108755at50557        -            150   9.5e-41  138.0   1.1   1   1     2e-42   1.2e-40  137.7   1.1     4   149     7   157     5   158 0.92 -
107216at50557_13164_0:0032c6|STRG.568.3:1037-1579|+    -            181 108755at50557        -            150   1.1e-40  137.8   0.0   1   1   2.3e-42   1.4e-40  137.5   0.0     4   149    10   161     8   162 0.92 -
107216at50557_13164_0:0032c6|STRG.568.4:916-1458|+     -            181 108755at50557        -            150   1.1e-40  137.8   0.0   1   1   2.3e-42   1.4e-40  137.5   0.0     4   149    10   161     8   162 0.92 -
104262at50557_411798_0:001745|STRG.7758.1:385-912|+    -            176 108755at50557        -            150   4.8e-40  135.7   1.2   1   1   9.9e-42   5.9e-40  135.5   1.2     4   149    13   163    11   164 0.93 -
106023at50557_34720_0:001fd2|STRG.3308.1:918-1577|+    -            220 108755at50557        -            150   5.4e-40  135.6   0.1   1   1   1.1e-41   6.7e-40  135.3   0.1     3   149    26   177    24   178 0.94 -
106023at50557_67767_0:00110a|STRG.3308.3:158-826|+     -            223 108755at50557        -            150   5.6e-40  135.5   0.1   1   1   1.2e-41   6.9e-40  135.2   0.1     3   149    29   180    27   181 0.94 -
106023at50557_34720_0:001fd2|STRG.3308.4:368-1063|+    -            232 108755at50557        -            150   6.2e-40  135.4   0.1   1   1   1.3e-41   7.8e-40  135.1   0.1     3   149    38   189    36   190 0.94 -
106023at50557_456900_0:0019f7|STRG.3308.2:370-1098|+   -            243 108755at50557        -            150   6.8e-40  135.3   0.1   1   1   1.5e-41     9e-40  134.9   0.1     3   149    49   200    47   201 0.94 -
