#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
64266at50557_103372_0:002065|STRG.8752.1:186-1259|+ -            358 64266at50557         -            296  5.1e-169  560.2   4.3   1   1  1.3e-170  1.3e-167  555.6   4.3     1   296    19   352    19   352 0.92 -
64266at50557_104452_0:00323e|STRG.2320.1:602-1078|+ -            159 64266at50557         -            296   2.7e-26   91.6   6.5   1   2   0.00026      0.25    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.2320.1:602-1078|+ -            159 64266at50557         -            296   2.7e-26   91.6   6.5   2   2   6.1e-29     6e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.2320.2:630-1106|+ -            159 64266at50557         -            296   2.7e-26   91.6   6.5   1   2   0.00026      0.25    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.2320.2:630-1106|+ -            159 64266at50557         -            296   2.7e-26   91.6   6.5   2   2   6.1e-29     6e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.2320.3:629-1105|+ -            159 64266at50557         -            296   2.7e-26   91.6   6.5   1   2   0.00026      0.25    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.2320.3:629-1105|+ -            159 64266at50557         -            296   2.7e-26   91.6   6.5   2   2   6.1e-29     6e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.2320.4:600-1076|+ -            159 64266at50557         -            296   2.7e-26   91.6   6.5   1   2   0.00026      0.25    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.2320.4:600-1076|+ -            159 64266at50557         -            296   2.7e-26   91.6   6.5   2   2   6.1e-29     6e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.2320.5:480-956|+  -            159 64266at50557         -            296   2.7e-26   91.6   6.5   1   2   0.00026      0.25    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.2320.5:480-956|+  -            159 64266at50557         -            296   2.7e-26   91.6   6.5   2   2   6.1e-29     6e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.2320.6:518-994|+  -            159 64266at50557         -            296   2.7e-26   91.6   6.5   1   2   0.00026      0.25    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.2320.6:518-994|+  -            159 64266at50557         -            296   2.7e-26   91.6   6.5   2   2   6.1e-29     6e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.2320.7:479-955|+  -            159 64266at50557         -            296   2.7e-26   91.6   6.5   1   2   0.00026      0.25    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.2320.7:479-955|+  -            159 64266at50557         -            296   2.7e-26   91.6   6.5   2   2   6.1e-29     6e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
64266at50557_104452_0:00323e|STRG.2320.8:493-969|+  -            159 64266at50557         -            296   2.7e-26   91.6   6.5   1   2   0.00026      0.25    9.6   0.1   167   185     5    23     2    27 0.83 -
64266at50557_104452_0:00323e|STRG.2320.8:493-969|+  -            159 64266at50557         -            296   2.7e-26   91.6   6.5   2   2   6.1e-29     6e-26   90.5   2.3     2   122    14   136    13   150 0.95 -
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/64266at50557.hmm
# Target file:     annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas
# Option settings: hmmsearch --domtblout annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/hmmer_output/initial_run_results/64266at50557.out --cpu 1 /data/projet1/projet_tutore/busco_downloads/lineages/insecta_odb10/hmms/64266at50557.hmm annotation_analysis/annotation_gcf/T_zeteki/busco_output/run_insecta_odb10/metaeuk_output/initial_results/assembled_transcripts.fasta.modified.fas 
# Current dir:     /data/projet1/projet_tutore
# Date:            Sun Dec  1 20:29:15 2024
# [ok]
