#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
42648at50557_520822_0:00251c|STRG.7529.1:2-1294|+    -            431 42648at50557         -            349  2.6e-174  578.1  23.7   1   1  5.5e-176  1.5e-173  575.6  23.7     1   349    40   431    40   431 0.93 -
41050at50557_103372_0:00103f|STRG.14042.2:141-1703|+ -            521 42648at50557         -            349   7.1e-49  165.6  32.2   1   3   0.00015      0.04   11.8   0.0     5    35   111   141   107   155 0.83 -
41050at50557_103372_0:00103f|STRG.14042.2:141-1703|+ -            521 42648at50557         -            349   7.1e-49  165.6  32.2   2   3   2.3e-28   6.2e-26   90.1  13.4   121   323   177   393   161   393 0.89 -
41050at50557_103372_0:00103f|STRG.14042.2:141-1703|+ -            521 42648at50557         -            349   7.1e-49  165.6  32.2   3   3     3e-27     8e-25   86.5   8.2   168   336   306   487   302   497 0.88 -
41050at50557_219809_0:00068b|STRG.14042.1:1-1445|+   -            480 42648at50557         -            349   1.3e-48  164.7  30.6   1   3   0.00014     0.036   12.0   0.0     5    35    70   100    66   114 0.83 -
41050at50557_219809_0:00068b|STRG.14042.1:1-1445|+   -            480 42648at50557         -            349   1.3e-48  164.7  30.6   2   3   6.7e-28   1.8e-25   88.6  11.7   121   315   136   343   120   343 0.89 -
41050at50557_219809_0:00068b|STRG.14042.1:1-1445|+   -            480 42648at50557         -            349   1.3e-48  164.7  30.6   3   3   2.4e-27   6.5e-25   86.8   8.3   168   336   265   446   260   456 0.88 -
42648at50557_104421_0:001a18|STRG.1399.1:456-1511|+  -            352 42648at50557         -            349   2.7e-39  134.1  12.7   1   1   1.5e-40   3.9e-38  130.2  12.7    14   345     4   352     1   352 0.82 -
42648at50557_104421_0:001a18|STRG.1399.2:983-2038|+  -            352 42648at50557         -            349   2.7e-39  134.1  12.7   1   1   1.5e-40   3.9e-38  130.2  12.7    14   345     4   352     1   352 0.82 -
41050at50557_83485_0:000306|STRG.14497.1:2145-3173|+ -            343 42648at50557         -            349   3.2e-38  130.5   7.9   1   1     4e-40   1.1e-37  128.8   7.9     8   335     4   340     1   343 0.83 -
41050at50557_83485_0:000306|STRG.14497.2:719-1747|+  -            343 42648at50557         -            349   3.2e-38  130.5   7.9   1   1     4e-40   1.1e-37  128.8   7.9     8   335     4   340     1   343 0.83 -
41050at50557_83485_0:000306|STRG.14497.3:334-1362|+  -            343 42648at50557         -            349   3.2e-38  130.5   7.9   1   1     4e-40   1.1e-37  128.8   7.9     8   335     4   340     1   343 0.83 -
41050at50557_454923_0:002349|STRG.14042.3:332-1502|+ -            205 42648at50557         -            349   4.7e-25   87.2   4.7   1   1   2.1e-27   5.6e-25   87.0   4.7   178   341     1   177     1   183 0.88 -
41050at50557_28612_0:003878|STRG.14226.1:510-1649|+  -            380 42648at50557         -            349   8.9e-21   73.1  21.8   1   4   7.8e-05     0.021   12.7   0.0     9    45     4    40     1    46 0.90 -
41050at50557_28612_0:003878|STRG.14226.1:510-1649|+  -            380 42648at50557         -            349   8.9e-21   73.1  21.8   2   4      0.21        56    1.5   0.3   147   212    39   108    37   149 0.68 -
