#                                                                                                            --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                        accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
75144at50557_34720_0:000d74|STRG.8257.1:134-1306|+   -            391 75144at50557         -            307  3.3e-148  491.7   1.4   1   1  7.5e-149  2.3e-146  485.6   1.4     1   307     7   381     7   381 0.87 -
75144at50557_28612_0:003734|STRG.15336.1:55-1182|+   -            376 75144at50557         -            307   8.2e-61  204.6   0.0   1   1   2.6e-61     8e-59  198.1   0.0     1   307    10   367    10   367 0.81 -
75144at50557_28612_0:003734|STRG.4382.2:124-1251|+   -            376 75144at50557         -            307   1.2e-60  204.1   0.0   1   2   8.1e-56   2.5e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.4382.2:124-1251|+   -            376 75144at50557         -            307   1.2e-60  204.1   0.0   2   2   1.3e-07   3.8e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.4382.3:89-1216|+    -            376 75144at50557         -            307   1.2e-60  204.1   0.0   1   2   8.1e-56   2.5e-53  180.1   0.0     1   257    10   284    10   290 0.87 -
75144at50557_28612_0:003734|STRG.4382.3:89-1216|+    -            376 75144at50557         -            307   1.2e-60  204.1   0.0   2   2   1.3e-07   3.8e-05   21.8   0.0   252   307   295   367   287   367 0.71 -
75144at50557_28612_0:003734|STRG.4302.1:265-1383|+   -            373 75144at50557         -            307   2.5e-57  193.2   0.0   1   1   7.5e-58   2.3e-55  186.8   0.0     1   307    10   364    10   364 0.81 -
75144at50557_28612_0:003734|STRG.11249.1:143-1243|+  -            367 75144at50557         -            307   1.5e-43  147.9   0.0   1   1   6.8e-45   2.1e-42  144.2   0.0     1   297     4   339     4   358 0.79 -
57613at50557_610380_0:00141b|STRG.811.3:151-1335|+   -            395 75144at50557         -            307   7.2e-41  139.1   0.0   1   2   1.8e-41   5.5e-39  132.9   0.0    17   279    36   326    11   339 0.77 -
57613at50557_610380_0:00141b|STRG.811.3:151-1335|+   -            395 75144at50557         -            307   7.2e-41  139.1   0.0   2   2      0.62   1.9e+02   -0.2   0.0   293   307   369   383   330   383 0.84 -
57613at50557_610380_0:00141b|STRG.811.4:164-1300|+   -            356 75144at50557         -            307   1.5e-40  138.1   0.1   1   2   3.5e-41   1.1e-38  132.0   0.0    22   279     7   287     4   307 0.82 -
57613at50557_610380_0:00141b|STRG.811.4:164-1300|+   -            356 75144at50557         -            307   1.5e-40  138.1   0.1   2   2      0.55   1.7e+02   -0.0   0.0   293   307   330   344   291   344 0.84 -
57613at50557_610380_0:00141b|STRG.811.2:151-1353|+   -            401 75144at50557         -            307   1.6e-40  138.0   0.1   1   2   4.3e-41   1.3e-38  131.7   0.0    27   279    57   332    11   351 0.83 -
57613at50557_610380_0:00141b|STRG.811.2:151-1353|+   -            401 75144at50557         -            307   1.6e-40  138.0   0.1   2   2      0.69   2.1e+02   -0.3   0.0   294   307   376   389   341   389 0.87 -
57613at50557_610380_0:00141b|STRG.811.1:151-1353|+   -            401 75144at50557         -            307   5.1e-40  136.3   0.1   1   2   1.7e-40   5.3e-38  129.7   0.0    32   279    62   332    11   343 0.84 -
