#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
66691at50557_456900_0:002b0f|STRG.1398.1:336-1436|+   -            367 66691at50557         -            296  2.5e-144  478.9   8.7   1   1  9.7e-146  7.3e-144  477.3   8.7     1   290    15   355    15   360 0.89 -
78072at50557_34720_0:000cf9|STRG.13119.3:196-1209|+   -            338 66691at50557         -            296   3.6e-19   68.0  28.0   1   4   3.7e-08   2.8e-06   25.6   0.2    20    94     9    84     3    96 0.89 -
78072at50557_34720_0:000cf9|STRG.13119.3:196-1209|+   -            338 66691at50557         -            296   3.6e-19   68.0  28.0   2   4   5.1e-10   3.8e-08   31.7   3.8    28   146    62   178    59   179 0.81 -
78072at50557_34720_0:000cf9|STRG.13119.3:196-1209|+   -            338 66691at50557         -            296   3.6e-19   68.0  28.0   3   4   7.5e-11   5.7e-09   34.5  11.2    22   147   100   225    88   227 0.94 -
78072at50557_34720_0:000cf9|STRG.13119.3:196-1209|+   -            338 66691at50557         -            296   3.6e-19   68.0  28.0   4   4    0.0069      0.52    8.3   0.2    14    94   238   328   228   338 0.66 -
78072at50557_34720_0:000cf9|STRG.13119.4:229-1245|+   -            339 66691at50557         -            296   3.7e-19   67.9  28.0   1   4   3.8e-08   2.8e-06   25.6   0.2    20    94    10    85     4    97 0.89 -
78072at50557_34720_0:000cf9|STRG.13119.4:229-1245|+   -            339 66691at50557         -            296   3.7e-19   67.9  28.0   2   4   5.1e-10   3.9e-08   31.7   3.8    28   146    63   179    60   180 0.81 -
78072at50557_34720_0:000cf9|STRG.13119.4:229-1245|+   -            339 66691at50557         -            296   3.7e-19   67.9  28.0   3   4   7.6e-11   5.7e-09   34.5  11.2    22   147   101   226    89   228 0.94 -
78072at50557_34720_0:000cf9|STRG.13119.4:229-1245|+   -            339 66691at50557         -            296   3.7e-19   67.9  28.0   4   4     0.007      0.52    8.3   0.2    14    94   239   329   229   339 0.66 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+   -            346 66691at50557         -            296   5.2e-18   64.1  10.6   1   4    0.0014      0.11   10.6   0.0    24    71     7    54     4    65 0.90 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+   -            346 66691at50557         -            296   5.2e-18   64.1  10.6   2   4     0.005      0.38    8.8   0.0   120   147    68    95    62    99 0.88 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+   -            346 66691at50557         -            296   5.2e-18   64.1  10.6   3   4   7.7e-06   0.00058   18.0   0.3    23   103   102   179    95   183 0.87 -
40115at50557_108931_0:001d6b|STRG.7947.1:815-1852|+   -            346 66691at50557         -            296   5.2e-18   64.1  10.6   4   4   1.9e-09   1.4e-07   29.9   2.2    23   184   185   341   182   346 0.83 -
78072at50557_286306_0:00290a|STRG.13119.1:313-2259|+  -            605 66691at50557         -            296     2e-17   62.2  19.9   1   3   1.1e-07   8.1e-06   24.1   0.2    20    94     7    82     3    92 0.89 -
78072at50557_286306_0:00290a|STRG.13119.1:313-2259|+  -            605 66691at50557         -            296     2e-17   62.2  19.9   2   3   8.1e-11   6.1e-09   34.4   9.8    23   148    99   224    90   226 0.94 -
78072at50557_286306_0:00290a|STRG.13119.1:313-2259|+  -            605 66691at50557         -            296     2e-17   62.2  19.9   3   3     0.028       2.1    6.4   0.2    14    84   236   315   225   332 0.68 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+    -            286 66691at50557         -            296   1.7e-16   59.2   6.8   1   3   3.5e-11   2.6e-09   35.6   0.2    28   199     6   164     2   165 0.90 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+    -            286 66691at50557         -            296   1.7e-16   59.2   6.8   2   3     2e-07   1.5e-05   23.3   0.2    26   194    88   243    79   248 0.77 -
40115at50557_28612_0:000941|STRG.8740.1:278-1135|+    -            286 66691at50557         -            296   1.7e-16   59.2   6.8   3   3   1.3e-05   0.00099   17.3   0.1    23   146   127   244   122   283 0.84 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 66691at50557         -            296   2.4e-16   58.7   8.2   1   8      0.65        49    1.9   0.0   120   146     4    29     2    40 0.83 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 66691at50557         -            296   2.4e-16   58.7   8.2   2   8     0.019       1.4    6.9   0.0    23    91    43   110    33   163 0.81 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 66691at50557         -            296   2.4e-16   58.7   8.2   3   8       5.6   4.2e+02   -1.2   0.0    40    57   210   227   167   234 0.56 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 66691at50557         -            296   2.4e-16   58.7   8.2   4   8   6.7e-07   5.1e-05   21.5   0.1    11    95   236   318   224   324 0.88 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 66691at50557         -            296   2.4e-16   58.7   8.2   5   8       0.2        15    3.5   0.0    16    59   366   408   358   419 0.71 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 66691at50557         -            296   2.4e-16   58.7   8.2   6   8   0.00012    0.0089   14.1   0.0    22    91   425   493   414   501 0.85 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 66691at50557         -            296   2.4e-16   58.7   8.2   7   8       6.4   4.8e+02   -1.4   0.0    27    58   562   592   555   595 0.80 -
33043at50557_568069_0:003d26|STRG.4583.1:401-2536|+   -            712 66691at50557         -            296   2.4e-16   58.7   8.2   8   8     0.075       5.7    4.9   0.0    23    95   636   707   620   712 0.71 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+   -            697 66691at50557         -            296   4.8e-16   57.7   6.0   1   7      0.02       1.5    6.8   0.0    23    91    28    95    22   148 0.81 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+   -            697 66691at50557         -            296   4.8e-16   57.7   6.0   2   7       4.4   3.3e+02   -0.9   0.1    40    58   195   213   149   222 0.58 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+   -            697 66691at50557         -            296   4.8e-16   57.7   6.0   3   7   7.1e-07   5.3e-05   21.4   0.2    11    95   221   303   211   309 0.88 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+   -            697 66691at50557         -            296   4.8e-16   57.7   6.0   4   7      0.18        13    3.7   0.0    16    60   351   394   342   408 0.72 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+   -            697 66691at50557         -            296   4.8e-16   57.7   6.0   5   7   0.00011    0.0085   14.2   0.0    22    91   410   478   398   486 0.85 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+   -            697 66691at50557         -            296   4.8e-16   57.7   6.0   6   7       6.2   4.7e+02   -1.4   0.0    27    58   547   577   540   580 0.80 -
33043at50557_568069_0:003d26|STRG.4583.2:312-2402|+   -            697 66691at50557         -            296   4.8e-16   57.7   6.0   7   7     0.073       5.5    5.0   0.0    23    95   621   692   605   697 0.71 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+   -            281 66691at50557         -            296   5.2e-11   41.2   8.2   1   3       6.6     5e+02   -1.4   0.0    34    53     3    22     1    34 0.66 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+   -            281 66691at50557         -            296   5.2e-11   41.2   8.2   2   3   1.3e-06    0.0001   20.5   1.5    24   142    35   146    25   153 0.84 -
78072at50557_7070_0:002a52|STRG.16420.1:1014-1856|+   -            281 66691at50557         -            296   5.2e-11   41.2   8.2   3   3   1.5e-07   1.2e-05   23.6   0.7    24   143   162   278   152   281 0.80 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+   -            281 66691at50557         -            296   5.2e-11   41.2   8.2   1   3       6.6     5e+02   -1.4   0.0    34    53     3    22     1    34 0.66 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+   -            281 66691at50557         -            296   5.2e-11   41.2   8.2   2   3   1.3e-06    0.0001   20.5   1.5    24   142    35   146    25   153 0.84 -
78072at50557_7070_0:002a52|STRG.16420.2:1143-1985|+   -            281 66691at50557         -            296   5.2e-11   41.2   8.2   3   3   1.5e-07   1.2e-05   23.6   0.7    24   143   162   278   152   281 0.80 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+     -            281 66691at50557         -            296   7.5e-11   40.7   0.3   1   4      0.13       9.7    4.2   0.0   164   198    40    74     3    82 0.77 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+     -            281 66691at50557         -            296   7.5e-11   40.7   0.3   2   4   1.4e-05    0.0011   17.2   0.0    23   140    80   191    74   197 0.75 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+     -            281 66691at50557         -            296   7.5e-11   40.7   0.3   3   4     1e-05   0.00076   17.7   0.0    22   145   121   238   119   243 0.87 -
40115at50557_7370_0:002473|STRG.8742.1:174-1016|+     -            281 66691at50557         -            296   7.5e-11   40.7   0.3   4   4      0.12       9.1    4.3   0.0   121   145   256   280   244   281 0.79 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+ -            329 66691at50557         -            296   1.4e-10   39.8   0.1   1   2   3.5e-05    0.0026   15.9   0.3    18   127    30   137    21   156 0.70 -
49370at50557_2015173_0:001990|STRG.15772.1:604-1590|+ -            329 66691at50557         -            296   1.4e-10   39.8   0.1   2   2   1.8e-06   0.00014   20.1   0.0    21   147   163   287   157   292 0.89 -
